Job 1: Waiting time = 0.0018818946555256844 | Resolution time = 0.0018572499975562096 | Resolution type = None
Job 2: Waiting time = 0.001119161956012249 | Resolution time = 0.0011008307337760925 | Resolution type = None
Job 3: Waiting time = 0.0009461529552936554 | Resolution time = 0.0009327661246061325 | Resolution type = None
Job 4: Waiting time = 0.0009426074102520943 | Resolution time = 0.0009284801781177521 | Resolution type = None
Job 5: Waiting time = 0.0009240470826625824 | Resolution time = 0.0009103547781705856 | Resolution type = None
Job 6: Waiting time = 0.00030560512095689774 | Resolution time = 0.00029107555747032166 | Resolution type = Policy
Job 7: Waiting time = 0.0014043822884559631 | Resolution time = 0.0013906285166740417 | Resolution type = None
Job 8: Waiting time = 0.0012073265388607979 | Resolution time = 0.0011883173137903214 | Resolution type = None
Job 9: Waiting time = 0.0006645321846008301 | Resolution time = 0.0006482638418674469 | Resolution type = Policy
Job 10: Waiting time = 0.0008405828848481178 | Resolution time = 0.0008270563557744026 | Resolution type = None
Job 11: Waiting time = 0.00012654904276132584 | Resolution time = 0.00011233985424041748 | Resolution type = Policy
Job 12: Waiting time = 0.001287001185119152 | Resolution time = 0.0012730471789836884 | Resolution type = None
Job 13: Waiting time = 0.00043981801718473434 | Resolution time = 0.0004255929961800575 | Resolution type = Policy
Job 14: Waiting time = 0.0008831527084112167 | Resolution time = 0.0008695609867572784 | Resolution type = Policy
Job 15: Waiting time = 0.000293143093585968 | Resolution time = 0.000278642401099205 | Resolution type = Policy
Job 16: Waiting time = 0.00099930539727211 | Resolution time = 0.0009863115847110748 | Resolution type = None
Job 17: Waiting time = 0.000897744670510292 | Resolution time = 0.0008827773854136467 | Resolution type = Policy
Job 18: Waiting time = 0.000500229187309742 | Resolution time = 0.00048724934458732605 | Resolution type = Policy
Job 19: Waiting time = 0.0013029854744672775 | Resolution time = 0.0012825746089220047 | Resolution type = None
Job 20: Waiting time = 0.00126632209867239 | Resolution time = 0.0012368308380246162 | Resolution type = None
Job 21: Waiting time = 0.0009372914209961891 | Resolution time = 0.0009242389351129532 | Resolution type = None
Job 22: Waiting time = 0.0016508903354406357 | Resolution time = 0.0015360135585069656 | Resolution type = None
Job 23: Waiting time = 0.001726391725242138 | Resolution time = 0.0017118416726589203 | Resolution type = None
Job 24: Waiting time = 0.001444549299776554 | Resolution time = 0.001427515409886837 | Resolution type = None
Job 25: Waiting time = 0.0003151874989271164 | Resolution time = 0.0002991883084177971 | Resolution type = Policy
Job 26: Waiting time = 0.0008026668801903725 | Resolution time = 0.000789400190114975 | Resolution type = Policy
Job 27: Waiting time = 0.0015732552856206894 | Resolution time = 0.0014555994421243668 | Resolution type = None
Job 28: Waiting time = 0.0011584404855966568 | Resolution time = 0.0011423593387007713 | Resolution type = None
Job 29: Waiting time = 0.001329055055975914 | Resolution time = 0.001313401386141777 | Resolution type = None
Job 30: Waiting time = 0.001086604781448841 | Resolution time = 0.0010721785947680473 | Resolution type = None
Job 31: Waiting time = 0.00032662320882081985 | Resolution time = 0.0003120424225926399 | Resolution type = Policy
Job 32: Waiting time = 0.0009313421323895454 | Resolution time = 0.0009167874231934547 | Resolution type = Policy
Job 33: Waiting time = 0.001099228858947754 | Resolution time = 0.0010855915024876595 | Resolution type = None
Job 34: Waiting time = 0.0011383164674043655 | Resolution time = 0.001125427894294262 | Resolution type = Policy
Job 35: Waiting time = 0.0008959472179412842 | Resolution time = 0.0008803205564618111 | Resolution type = None
Job 36: Waiting time = 0.0008751284331083298 | Resolution time = 0.0008598892018198967 | Resolution type = None
Job 37: Waiting time = 0.0008931653574109077 | Resolution time = 0.0008798418566584587 | Resolution type = None
Job 38: Waiting time = 0.0010062959045171738 | Resolution time = 0.0008987141773104668 | Resolution type = None
