Job 66: Waiting time = 1.5046329470351338 | Resolution time = 0.0007271058857440948 | Resolution type = None
Job 67: Waiting time = 1.3076533768326044 | Resolution time = 0.0007139751687645912 | Resolution type = None
Job 68: Waiting time = 1.1136285569518805 | Resolution time = 0.0006975159049034119 | Resolution type = None
Job 69: Waiting time = 0.9207508265972137 | Resolution time = 0.0007157372310757637 | Resolution type = None
Job 70: Waiting time = 0.7032816736027598 | Resolution time = 0.0006794854998588562 | Resolution type = None
Job 71: Waiting time = 0.4985223328694701 | Resolution time = 0.0007130652666091919 | Resolution type = None
Job 72: Waiting time = 0.2862097956240177 | Resolution time = 0.0007168622687458992 | Resolution type = None
Job 73: Waiting time = 0.08716621994972229 | Resolution time = 0.0006844745948910713 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 14.813509434461594
Duration: 11.457526533864439
Jobs in the system: 57
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 74: Waiting time = 11.335323351435363 | Resolution time = 0.0008786367252469063 | Resolution type = None
Job 75: Waiting time = 11.151461395435035 | Resolution time = 0.0006938138976693153 | Resolution type = None
Job 76: Waiting time = 10.955560392700136 | Resolution time = 0.0006511621177196503 | Resolution type = None
Job 77: Waiting time = 10.752907933667302 | Resolution time = 0.0006748735904693604 | Resolution type = None
Job 78: Waiting time = 10.56699139624834 | Resolution time = 0.000719219446182251 | Resolution type = None
Job 79: Waiting time = 10.367727599106729 | Resolution time = 0.000731208361685276 | Resolution type = None
Job 80: Waiting time = 10.156638433225453 | Resolution time = 0.0006866622716188431 | Resolution type = None
Job 81: Waiting time = 9.968960838392377 | Resolution time = 0.0006723543629050255 | Resolution type = None
Job 82: Waiting time = 9.754842964001 | Resolution time = 0.0006791027262806892 | Resolution type = None
Job 83: Waiting time = 9.535009551793337 | Resolution time = 0.0006724689155817032 | Resolution type = None
Job 84: Waiting time = 9.32786132954061 | Resolution time = 0.0006790449842810631 | Resolution type = None
Job 85: Waiting time = 9.139676636084914 | Resolution time = 0.0006836075335741043 | Resolution type = None
Job 86: Waiting time = 8.937725983560085 | Resolution time = 0.0006614234298467636 | Resolution type = None
Job 87: Waiting time = 8.71602910477668 | Resolution time = 0.000661252997815609 | Resolution type = None
Job 88: Waiting time = 8.545737442560494 | Resolution time = 0.0006921440362930298 | Resolution type = None
Job 89: Waiting time = 8.364742303267121 | Resolution time = 0.0006884792819619179 | Resolution type = None
Job 90: Waiting time = 8.172768359072506 | Resolution time = 0.0006688376888632774 | Resolution type = None
Job 91: Waiting time = 7.979945035651326 | Resolution time = 0.0007045203819870949 | Resolution type = None
Job 92: Waiting time = 7.776893950998783 | Resolution time = 0.0006478391587734222 | Resolution type = None
Job 93: Waiting time = 7.577224109321833 | Resolution time = 0.000660112127661705 | Resolution type = None
Job 94: Waiting time = 7.345167493447661 | Resolution time = 0.0006510373204946518 | Resolution type = None
Job 95: Waiting time = 7.155809820629656 | Resolution time = 0.0006552338600158691 | Resolution type = None
Job 96: Waiting time = 6.979176925495267 | Resolution time = 0.0006569568067789078 | Resolution type = None
Job 97: Waiting time = 6.752372046932578 | Resolution time = 0.0006667831912636757 | Resolution type = None
Job 98: Waiting time = 6.5605761324986815 | Resolution time = 0.0006524492055177689 | Resolution type = None
Job 99: Waiting time = 6.359671165235341 | Resolution time = 0.0006953589618206024 | Resolution type = None
