Job 1: Waiting time = 0.0012417873367667198 | Resolution time = 0.0012128762900829315 | Resolution type = Policy
Job 2: Waiting time = 0.0012446744367480278 | Resolution time = 0.0012360699474811554 | Resolution type = None
Job 3: Waiting time = 0.0010497532784938812 | Resolution time = 0.0010430896654725075 | Resolution type = None
Job 4: Waiting time = 0.000750894658267498 | Resolution time = 0.0007451511919498444 | Resolution type = None
Job 5: Waiting time = 0.000267871655523777 | Resolution time = 0.0002618851140141487 | Resolution type = Policy
Job 6: Waiting time = 0.0007709534838795662 | Resolution time = 0.0007568299770355225 | Resolution type = Policy
Job 7: Waiting time = 0.0015854043886065483 | Resolution time = 0.0008116979151964188 | Resolution type = Policy
Job 8: Waiting time = 0.0004697749391198158 | Resolution time = 0.0004643956199288368 | Resolution type = Policy
Job 9: Waiting time = 0.0006969822570681572 | Resolution time = 0.0006915675476193428 | Resolution type = Policy
Job 10: Waiting time = 0.000744151882827282 | Resolution time = 0.0007390202954411507 | Resolution type = None
Job 11: Waiting time = 0.00015309732407331467 | Resolution time = 0.00013669487088918686 | Resolution type = Policy
Job 12: Waiting time = 0.000498100183904171 | Resolution time = 0.00034650228917598724 | Resolution type = Policy
Job 13: Waiting time = 0.001028113067150116 | Resolution time = 0.0010105865076184273 | Resolution type = None
Job 14: Waiting time = 0.0004708860069513321 | Resolution time = 0.00046562310308218 | Resolution type = Policy
Job 15: Waiting time = 0.0007685720920562744 | Resolution time = 0.0007626144215464592 | Resolution type = None
Job 16: Waiting time = 0.0002445140853524208 | Resolution time = 0.00023904163390398026 | Resolution type = Policy
Job 17: Waiting time = 0.0007054982706904411 | Resolution time = 0.000696343369781971 | Resolution type = Policy
Job 18: Waiting time = 0.0007372861728072166 | Resolution time = 0.0007307641208171844 | Resolution type = Policy
Job 19: Waiting time = 0.0010825889185070992 | Resolution time = 0.0010764943435788155 | Resolution type = None
Job 20: Waiting time = 0.0006382819265127182 | Resolution time = 0.0006181998178362846 | Resolution type = Policy
Job 21: Waiting time = 0.0002134125679731369 | Resolution time = 0.00019417237490415573 | Resolution type = Policy
Job 22: Waiting time = 0.0008764090016484261 | Resolution time = 0.0008617006242275238 | Resolution type = None
Job 23: Waiting time = 0.0006275717169046402 | Resolution time = 0.0006142398342490196 | Resolution type = Policy
Job 24: Waiting time = 0.000856081023812294 | Resolution time = 0.0008397512137889862 | Resolution type = None
Job 25: Waiting time = 0.0007802695035934448 | Resolution time = 0.0007632505148649216 | Resolution type = None
Job 26: Waiting time = 0.00089226383715868 | Resolution time = 0.0007589422166347504 | Resolution type = None
Job 27: Waiting time = 0.0012382492423057556 | Resolution time = 0.0012237261980772018 | Resolution type = None
Job 28: Waiting time = 0.000792723149061203 | Resolution time = 0.0007786592468619347 | Resolution type = None
Job 29: Waiting time = 0.0008983444422483444 | Resolution time = 0.0008820835500955582 | Resolution type = Policy
Job 30: Waiting time = 0.0004973765462636948 | Resolution time = 0.0004832213744521141 | Resolution type = Policy
Job 31: Waiting time = 0.0010236985981464386 | Resolution time = 0.0010067997500300407 | Resolution type = None
Job 32: Waiting time = 0.0006911419332027435 | Resolution time = 0.0006744386628270149 | Resolution type = Policy
Job 33: Waiting time = 0.0008405279368162155 | Resolution time = 0.0008172597736120224 | Resolution type = None
Job 34: Waiting time = 0.0007284060120582581 | Resolution time = 0.0007151328027248383 | Resolution type = Policy
Job 35: Waiting time = 5.864817649126053e-05 | Resolution time = 4.467833787202835e-05 | Resolution type = Policy
Job 36: Waiting time = 0.0003115581348538399 | Resolution time = 0.0002966010943055153 | Resolution type = Policy
Job 37: Waiting time = 0.00028842221945524216 | Resolution time = 0.0002745212987065315 | Resolution type = Policy
Job 38: Waiting time = 0.0012087281793355942 | Resolution time = 0.001194632612168789 | Resolution type = None
Job 39: Waiting time = 0.001062513329088688 | Resolution time = 0.001048360951244831 | Resolution type = Policy
Job 40: Waiting time = 0.0008069099858403206 | Resolution time = 0.0007925210520625114 | Resolution type = None
Job 41: Waiting time = 0.0007731625810265541 | Resolution time = 0.0007599955424666405 | Resolution type = None
