Job 1: Waiting time = 0.0001851143315434456 | Resolution time = 0.00015703309327363968 | Resolution type = None
Job 2: Waiting time = 0.0001570470631122589 | Resolution time = 0.0001394227147102356 | Resolution type = None
Job 3: Waiting time = 0.00022359658032655716 | Resolution time = 0.00011736806482076645 | Resolution type = None
Job 4: Waiting time = 0.00011932477355003357 | Resolution time = 0.0001044711098074913 | Resolution type = None
Job 5: Waiting time = 0.00010055489838123322 | Resolution time = 8.310191333293915e-05 | Resolution type = None
Job 6: Waiting time = 0.000132707878947258 | Resolution time = 0.00011911708861589432 | Resolution type = None
Job 7: Waiting time = 9.286124259233475e-05 | Resolution time = 8.044857531785965e-05 | Resolution type = None
Job 8: Waiting time = 0.00011603906750679016 | Resolution time = 0.00010318588465452194 | Resolution type = None
Job 9: Waiting time = 0.0001560533419251442 | Resolution time = 0.00011642184108495712 | Resolution type = None
Job 10: Waiting time = 0.0002463553100824356 | Resolution time = 0.00010631419718265533 | Resolution type = None
Job 11: Waiting time = 0.00012758281081914902 | Resolution time = 0.00011346302926540375 | Resolution type = None
Job 12: Waiting time = 0.00010650884360074997 | Resolution time = 9.12575051188469e-05 | Resolution type = None
Job 13: Waiting time = 0.00011372007429599762 | Resolution time = 0.00010019075125455856 | Resolution type = None
Job 14: Waiting time = 9.12575051188469e-05 | Resolution time = 7.93682411313057e-05 | Resolution type = None
Job 15: Waiting time = 0.00022690091282129288 | Resolution time = 0.00010696705430746078 | Resolution type = None
Job 16: Waiting time = 0.00012937653809785843 | Resolution time = 0.00011406559497117996 | Resolution type = None
Job 17: Waiting time = 0.00012825056910514832 | Resolution time = 0.0001126118004322052 | Resolution type = None
Job 18: Waiting time = 0.00014019571244716644 | Resolution time = 0.0001242123544216156 | Resolution type = None
Job 19: Waiting time = 0.00010734517127275467 | Resolution time = 9.42125916481018e-05 | Resolution type = None
Job 20: Waiting time = 0.00012850482016801834 | Resolution time = 0.00011407025158405304 | Resolution type = None
Job 21: Waiting time = 0.00012506451457738876 | Resolution time = 0.00011169351637363434 | Resolution type = None
Job 22: Waiting time = 0.00012461934238672256 | Resolution time = 0.00011222809553146362 | Resolution type = None
Job 23: Waiting time = 0.00013734493404626846 | Resolution time = 0.00011719018220901489 | Resolution type = None
Job 24: Waiting time = 0.00011600926518440247 | Resolution time = 0.0001021847128868103 | Resolution type = None
Job 25: Waiting time = 0.00011923536658287048 | Resolution time = 0.0001042298972606659 | Resolution type = None
Job 26: Waiting time = 0.00013023614883422852 | Resolution time = 0.00011495314538478851 | Resolution type = None
Job 27: Waiting time = 0.00012007448822259903 | Resolution time = 0.00010579917579889297 | Resolution type = None
Job 28: Waiting time = 0.00011906400322914124 | Resolution time = 0.00010472908616065979 | Resolution type = None
Job 29: Waiting time = 0.00011288188397884369 | Resolution time = 9.819120168685913e-05 | Resolution type = None
Job 30: Waiting time = 0.0001337369903922081 | Resolution time = 0.0001196572557091713 | Resolution type = None
Job 31: Waiting time = 0.0001299530267715454 | Resolution time = 0.00011639110743999481 | Resolution type = None
