Job 65: Waiting time = 0.0003207223489880562 | Resolution time = 0.0003067571669816971 | Resolution type = Policy
Job 66: Waiting time = 0.0011687399819493294 | Resolution time = 0.0011548865586519241 | Resolution type = None
Job 67: Waiting time = 0.0007886737585067749 | Resolution time = 0.0007743062451481819 | Resolution type = None
Job 68: Waiting time = 0.00033318623900413513 | Resolution time = 0.000317966565489769 | Resolution type = Policy
Job 69: Waiting time = 0.0008039306849241257 | Resolution time = 0.0007833382114768028 | Resolution type = None
Job 70: Waiting time = 0.0007393145933747292 | Resolution time = 0.0007249647751450539 | Resolution type = Policy
Job 71: Waiting time = 0.0007840655744075775 | Resolution time = 0.0007701069116592407 | Resolution type = None
Job 72: Waiting time = 3.624428063631058e-05 | Resolution time = 2.213194966316223e-05 | Resolution type = Policy
Job 73: Waiting time = 0.0004613492637872696 | Resolution time = 0.0004465188831090927 | Resolution type = Policy
Job 74: Waiting time = 0.0002671116963028908 | Resolution time = 0.00025193952023983 | Resolution type = Policy
Job 75: Waiting time = 0.001008879393339157 | Resolution time = 0.0009923530742526054 | Resolution type = None
Job 76: Waiting time = 0.0011518727988004684 | Resolution time = 0.00113638024777174 | Resolution type = None
Job 77: Waiting time = 0.00031704921275377274 | Resolution time = 0.00030255410820245743 | Resolution type = Policy
Job 78: Waiting time = 0.0006763199344277382 | Resolution time = 0.0006656777113676071 | Resolution type = Policy
Job 79: Waiting time = 0.0008943658322095871 | Resolution time = 0.000879332423210144 | Resolution type = None
Job 80: Waiting time = 0.000798296183347702 | Resolution time = 0.0007818844169378281 | Resolution type = None
Job 81: Waiting time = 0.0003360295668244362 | Resolution time = 0.0003213724121451378 | Resolution type = Policy
Job 82: Waiting time = 0.0008589830249547958 | Resolution time = 0.0008446760475635529 | Resolution type = None
Job 83: Waiting time = 0.0007649706676602364 | Resolution time = 0.0007510660216212273 | Resolution type = None
Job 84: Waiting time = 0.0008719507604837418 | Resolution time = 0.000771024264395237 | Resolution type = None
Job 85: Waiting time = 0.0011517191305756569 | Resolution time = 0.0011390633881092072 | Resolution type = None
Job 86: Waiting time = 0.00025798194110393524 | Resolution time = 0.00024464912712574005 | Resolution type = Policy
Job 87: Waiting time = 0.0005887169390916824 | Resolution time = 0.0005742954090237617 | Resolution type = Policy
Job 88: Waiting time = 0.00024343933910131454 | Resolution time = 0.00022977683693170547 | Resolution type = Policy
Job 89: Waiting time = 0.00038881320506334305 | Resolution time = 0.0003744829446077347 | Resolution type = Policy
Job 90: Waiting time = 0.001146160066127777 | Resolution time = 0.0011326661333441734 | Resolution type = None
Job 91: Waiting time = 0.0008689211681485176 | Resolution time = 0.0008534044027328491 | Resolution type = None
Job 92: Waiting time = 0.0007974477484822273 | Resolution time = 0.0007816711440682411 | Resolution type = None
Job 93: Waiting time = 0.00011442508548498154 | Resolution time = 0.00010094884783029556 | Resolution type = Policy
Job 94: Waiting time = 0.000370267778635025 | Resolution time = 0.0003555072471499443 | Resolution type = Policy
Job 95: Waiting time = 0.0004074685275554657 | Resolution time = 0.00039353687316179276 | Resolution type = Policy
Job 96: Waiting time = 0.00016233790665864944 | Resolution time = 0.00014852918684482574 | Resolution type = Policy
Job 97: Waiting time = 0.0008262535557150841 | Resolution time = 0.0008132858201861382 | Resolution type = None
Job 98: Waiting time = 0.0002212291583418846 | Resolution time = 0.0002075284719467163 | Resolution type = Policy
Job 99: Waiting time = 0.0010321056470274925 | Resolution time = 0.0009277220815420151 | Resolution type = Policy
Job 100: Waiting time = 0.0003524608910083771 | Resolution time = 0.00032865721732378006 | Resolution type = Policy
Job 101: Waiting time = 0.0011142129078507423 | Resolution time = 0.0010994579643011093 | Resolution type = None
Job 102: Waiting time = 0.0008618924766778946 | Resolution time = 0.0008483557030558586 | Resolution type = None
Job 103: Waiting time = 0.00013854727149009705 | Resolution time = 0.0001255301758646965 | Resolution type = Policy
Job 104: Waiting time = 0.0003070421516895294 | Resolution time = 0.00029072631150484085 | Resolution type = Policy
Job 105: Waiting time = 0.0007082568481564522 | Resolution time = 0.0006920062005519867 | Resolution type = Policy
Job 106: Waiting time = 0.0001016426831483841 | Resolution time = 8.589401841163635e-05 | Resolution type = Policy
Job 107: Waiting time = 0.0008366657420992851 | Resolution time = 0.000820736400783062 | Resolution type = Policy
Job 108: Waiting time = 0.0005659535527229309 | Resolution time = 0.0005496712401509285 | Resolution type = Policy
Job 109: Waiting time = 0.0009883660823106766 | Resolution time = 0.000974743627011776 | Resolution type = None
Job 110: Waiting time = 0.0010816985741257668 | Resolution time = 0.0010677725076675415 | Resolution type = None
Job 111: Waiting time = 0.0007993448525667191 | Resolution time = 0.0007843123748898506 | Resolution type = None
Job 112: Waiting time = 0.0008406378328800201 | Resolution time = 0.000825079157948494 | Resolution type = None
Job 113: Waiting time = 0.0008513582870364189 | Resolution time = 0.000838560052216053 | Resolution type = Policy
Job 114: Waiting time = 0.0007990943267941475 | Resolution time = 0.0007865186780691147 | Resolution type = None
Job 115: Waiting time = 0.00019345153123140335 | Resolution time = 0.00017785374075174332 | Resolution type = Policy
Job 116: Waiting time = 0.0007524760439991951 | Resolution time = 0.0007369564846158028 | Resolution type = Policy
Job 117: Waiting time = 0.0011114636436104774 | Resolution time = 0.001095680519938469 | Resolution type = None
Job 118: Waiting time = 0.0006429962813854218 | Resolution time = 0.0005451086908578873 | Resolution type = Policy
Job 119: Waiting time = 0.0002193329855799675 | Resolution time = 0.00020569097250699997 | Resolution type = Policy
Job 120: Waiting time = 0.0005783550441265106 | Resolution time = 0.0005629677325487137 | Resolution type = Policy
Job 121: Waiting time = 0.0011660261079668999 | Resolution time = 0.0011513615027070045 | Resolution type = None
Job 122: Waiting time = 0.001233428716659546 | Resolution time = 0.0012172125279903412 | Resolution type = None
Job 123: Waiting time = 0.0007247431203722954 | Resolution time = 0.0007109222933650017 | Resolution type = Policy
Job 124: Waiting time = 0.0012045521289110184 | Resolution time = 0.001098165288567543 | Resolution type = None
Job 125: Waiting time = 0.00011376943439245224 | Resolution time = 0.00010043568909168243 | Resolution type = Policy
Job 126: Waiting time = 0.0011646831408143044 | Resolution time = 0.0011500781401991844 | Resolution type = None
Job 127: Waiting time = 0.0007670018821954727 | Resolution time = 0.0007520336657762527 | Resolution type = None
Job 128: Waiting time = 0.00045629311352968216 | Resolution time = 0.0004433365538716316 | Resolution type = Policy
Job 129: Waiting time = 0.0011011334136128426 | Resolution time = 0.001088346354663372 | Resolution type = None
Job 130: Waiting time = 0.0008829375728964806 | Resolution time = 0.0008488893508911133 | Resolution type = None
Job 131: Waiting time = 0.00033460184931755066 | Resolution time = 0.00032038334757089615 | Resolution type = Policy
Job 132: Waiting time = 0.0011685248464345932 | Resolution time = 0.001154981553554535 | Resolution type = None
Job 133: Waiting time = 0.0011860700324177742 | Resolution time = 0.00116695836186409 | Resolution type = None
Job 134: Waiting time = 0.000781279057264328 | Resolution time = 0.0007665837183594704 | Resolution type = None
Job 135: Waiting time = 0.0004452252760529518 | Resolution time = 0.00033345259726047516 | Resolution type = Policy
Job 136: Waiting time = 0.0007744962349534035 | Resolution time = 0.0007600924000144005 | Resolution type = None
Job 137: Waiting time = 0.0011158846318721771 | Resolution time = 0.0011025993153452873 | Resolution type = None
Job 138: Waiting time = 0.0006476650014519691 | Resolution time = 0.0006329687312245369 | Resolution type = Policy
Job 139: Waiting time = 0.0010677250102162361 | Resolution time = 0.0010547032579779625 | Resolution type = None
Job 140: Waiting time = 0.0009330920875072479 | Resolution time = 0.0009192563593387604 | Resolution type = None
Job 141: Waiting time = 0.0008142692968249321 | Resolution time = 0.0007908372208476067 | Resolution type = None
Job 142: Waiting time = 0.0011522695422172546 | Resolution time = 0.0011377055197954178 | Resolution type = None
Job 143: Waiting time = 5.2100978791713715e-05 | Resolution time = 3.706198185682297e-05 | Resolution type = Policy
Job 144: Waiting time = 0.0007892558351159096 | Resolution time = 0.0007755085825920105 | Resolution type = None
Job 145: Waiting time = 0.00030554458498954773 | Resolution time = 0.0002917926758527756 | Resolution type = Policy
Job 146: Waiting time = 0.0008033933117985725 | Resolution time = 0.0007883785292506218 | Resolution type = None
Job 147: Waiting time = 0.0011349720880389214 | Resolution time = 0.0011202404275536537 | Resolution type = None
Job 148: Waiting time = 0.00030265841633081436 | Resolution time = 0.00028893444687128067 | Resolution type = Policy
Job 149: Waiting time = 0.0002024983987212181 | Resolution time = 0.00018940865993499756 | Resolution type = Policy
Job 150: Waiting time = 0.000859512947499752 | Resolution time = 0.0008439300581812859 | Resolution type = None
Job 151: Waiting time = 0.0005484260618686676 | Resolution time = 0.0005336804315447807 | Resolution type = Policy
Job 152: Waiting time = 0.00018709897994995117 | Resolution time = 0.00017440412193536758 | Resolution type = Policy
Job 153: Waiting time = 0.002216021530330181 | Resolution time = 0.002176850102841854 | Resolution type = Policy
