Job 66: Waiting time = 1.6230538384988904 | Resolution time = 0.0006135562434792519 | Resolution type = None
Job 67: Waiting time = 1.4133534813299775 | Resolution time = 0.000640232115983963 | Resolution type = None
Job 68: Waiting time = 1.2173713259398937 | Resolution time = 0.0006443597376346588 | Resolution type = None
Job 69: Waiting time = 1.0276783788576722 | Resolution time = 0.0006566187366843224 | Resolution type = None
Job 70: Waiting time = 0.8116029119119048 | Resolution time = 0.0006285151466727257 | Resolution type = None
Job 71: Waiting time = 0.6319531835615635 | Resolution time = 0.0006433594971895218 | Resolution type = None
Job 72: Waiting time = 0.4270362230017781 | Resolution time = 0.0018624505028128624 | Resolution type = None
Job 73: Waiting time = 0.24126713443547487 | Resolution time = 0.0007063113152980804 | Resolution type = None
Job 74: Waiting time = 0.026083245873451233 | Resolution time = 0.0006237775087356567 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 14.955254722386599
Duration: 12.386137622408569
Jobs in the system: 62
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 75: Waiting time = 12.188669396564364 | Resolution time = 0.0008194549009203911 | Resolution type = None
Job 76: Waiting time = 12.011827046051621 | Resolution time = 0.0006738649681210518 | Resolution type = None
Job 77: Waiting time = 11.808972282335162 | Resolution time = 0.0007372824475169182 | Resolution type = None
Job 78: Waiting time = 11.601515877060592 | Resolution time = 0.0006706919521093369 | Resolution type = None
Job 79: Waiting time = 11.392477802932262 | Resolution time = 0.0006391238421201706 | Resolution type = None
Job 80: Waiting time = 11.20378643926233 | Resolution time = 0.0006792442873120308 | Resolution type = None
Job 81: Waiting time = 10.987736204639077 | Resolution time = 0.00074029341340065 | Resolution type = None
Job 82: Waiting time = 10.766519690863788 | Resolution time = 0.0007196888327598572 | Resolution type = None
Job 83: Waiting time = 10.560158480890095 | Resolution time = 0.0006927298381924629 | Resolution type = None
Job 84: Waiting time = 10.391180071979761 | Resolution time = 0.0006576376035809517 | Resolution type = None
Job 85: Waiting time = 10.221685010008514 | Resolution time = 0.0006729988381266594 | Resolution type = None
Job 86: Waiting time = 10.012092933990061 | Resolution time = 0.0006853528320789337 | Resolution type = None
Job 87: Waiting time = 9.835129070095718 | Resolution time = 0.0007447553798556328 | Resolution type = None
