Job 1: Waiting time = 0.0017776507884263992 | Resolution time = 0.0017671212553977966 | Resolution type = None
Job 2: Waiting time = 0.001347580924630165 | Resolution time = 0.0013389820232987404 | Resolution type = None
Job 3: Waiting time = 0.0012173214927315712 | Resolution time = 0.001211465336382389 | Resolution type = None
Job 4: Waiting time = 0.001217525452375412 | Resolution time = 0.0012116814032196999 | Resolution type = None
Job 5: Waiting time = 0.0014968430623412132 | Resolution time = 0.001477738842368126 | Resolution type = None
Job 6: Waiting time = 0.000133538618683815 | Resolution time = 0.00011717900633811951 | Resolution type = Policy
Job 7: Waiting time = 0.0010674837976694107 | Resolution time = 0.0010537421330809593 | Resolution type = None
Job 8: Waiting time = 0.00017999950796365738 | Resolution time = 0.00016398727893829346 | Resolution type = Policy
Job 9: Waiting time = 0.00039200764149427414 | Resolution time = 0.00037846341729164124 | Resolution type = Policy
Job 10: Waiting time = 0.0013830838724970818 | Resolution time = 0.0013689268380403519 | Resolution type = None
Job 11: Waiting time = 0.001410890370607376 | Resolution time = 0.001395968720316887 | Resolution type = None
Job 12: Waiting time = 0.0008858209475874901 | Resolution time = 0.0008705994114279747 | Resolution type = None
Job 13: Waiting time = 0.001317676156759262 | Resolution time = 0.0013025226071476936 | Resolution type = None
Job 14: Waiting time = 0.0003616670146584511 | Resolution time = 0.0003477334976196289 | Resolution type = Policy
Job 15: Waiting time = 0.0013626022264361382 | Resolution time = 0.0013462221249938011 | Resolution type = None
Job 16: Waiting time = 0.0008854400366544724 | Resolution time = 0.000867936760187149 | Resolution type = None
Job 17: Waiting time = 0.0008967332541942596 | Resolution time = 0.0008807191625237465 | Resolution type = Policy
Job 18: Waiting time = 0.0009786998853087425 | Resolution time = 0.0008489396423101425 | Resolution type = None
Job 19: Waiting time = 0.0009218240156769753 | Resolution time = 0.0009049028158187866 | Resolution type = Policy
Job 20: Waiting time = 0.00115229282528162 | Resolution time = 0.0011376384645700455 | Resolution type = None
Job 21: Waiting time = 0.0006334958598017693 | Resolution time = 0.0006194412708282471 | Resolution type = Policy
Job 22: Waiting time = 0.0002812035381793976 | Resolution time = 0.00026652589440345764 | Resolution type = Policy
Job 23: Waiting time = 0.00028918124735355377 | Resolution time = 0.00027384888380765915 | Resolution type = Policy
Job 24: Waiting time = 0.0009975023567676544 | Resolution time = 0.0008890070021152496 | Resolution type = None
Job 25: Waiting time = 0.0002383887767791748 | Resolution time = 0.000224272720515728 | Resolution type = Policy
Job 26: Waiting time = 0.0003112060949206352 | Resolution time = 0.0002948986366391182 | Resolution type = Policy
Job 27: Waiting time = 0.0005312208086252213 | Resolution time = 0.0005169399082660675 | Resolution type = Policy
Job 28: Waiting time = 0.0005024513229727745 | Resolution time = 0.0004851957783102989 | Resolution type = Policy
Job 29: Waiting time = 0.0005382532253861427 | Resolution time = 0.0005228053778409958 | Resolution type = Policy
