Job 1: Waiting time = 0.0013052839785814285 | Resolution time = 0.0012861676514148712 | Resolution type = None
Job 2: Waiting time = 0.0012738704681396484 | Resolution time = 0.0012636138126254082 | Resolution type = None
Job 3: Waiting time = 0.00039605889469385147 | Resolution time = 0.0003867810592055321 | Resolution type = Policy
Job 4: Waiting time = 0.0013274755328893661 | Resolution time = 0.001319127157330513 | Resolution type = None
Job 5: Waiting time = 0.0013171816244721413 | Resolution time = 0.001307981088757515 | Resolution type = None
Job 6: Waiting time = 0.0022108228877186775 | Resolution time = 0.0022030845284461975 | Resolution type = None
Job 7: Waiting time = 0.0013308217748999596 | Resolution time = 0.001312614418566227 | Resolution type = None
Job 8: Waiting time = 0.0013697817921638489 | Resolution time = 0.0013524750247597694 | Resolution type = None
Job 9: Waiting time = 0.0001889606937766075 | Resolution time = 0.00017257407307624817 | Resolution type = Policy
Job 10: Waiting time = 0.0017714472487568855 | Resolution time = 0.0017544450238347054 | Resolution type = None
Job 11: Waiting time = 0.0014040665701031685 | Resolution time = 0.0013880915939807892 | Resolution type = None
Job 12: Waiting time = 0.0017843563109636307 | Resolution time = 0.0017684772610664368 | Resolution type = None
Job 13: Waiting time = 0.0006888378411531448 | Resolution time = 0.0006720088422298431 | Resolution type = Policy
Job 14: Waiting time = 0.0014496399089694023 | Resolution time = 0.001433689147233963 | Resolution type = None

----- VACATION Started -----
Start time: 3.000219341367483
Duration: 11.96494212653488
Jobs in the system: 59
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 15: Waiting time = 11.832056451588869 | Resolution time = 0.0015960996970534325 | Resolution type = None
Job 16: Waiting time = 11.636284432373941 | Resolution time = 0.0007732268422842026 | Resolution type = None
Job 17: Waiting time = 11.42896444350481 | Resolution time = 0.0006979601457715034 | Resolution type = None
Job 18: Waiting time = 11.232778494246304 | Resolution time = 0.0006831232458353043 | Resolution type = None
Job 19: Waiting time = 11.038070094771683 | Resolution time = 0.0007307771593332291 | Resolution type = None
Job 20: Waiting time = 10.838858890347183 | Resolution time = 0.0007472904399037361 | Resolution type = None
Job 21: Waiting time = 10.623003254644573 | Resolution time = 0.0007267612963914871 | Resolution type = None
Job 22: Waiting time = 10.401857182383537 | Resolution time = 0.000720820389688015 | Resolution type = None
Job 23: Waiting time = 10.192481701262295 | Resolution time = 0.0006873076781630516 | Resolution type = None
Job 24: Waiting time = 10.008395623415709 | Resolution time = 0.0007131816819310188 | Resolution type = None
Job 25: Waiting time = 9.784444419667125 | Resolution time = 0.0006730817258358002 | Resolution type = None
Job 26: Waiting time = 9.610465942882001 | Resolution time = 0.0006827181205153465 | Resolution type = None
Job 27: Waiting time = 9.386355350725353 | Resolution time = 0.0007422566413879395 | Resolution type = None
Job 28: Waiting time = 9.185616792179644 | Resolution time = 0.0007119178771972656 | Resolution type = None
Job 29: Waiting time = 8.974020568653941 | Resolution time = 0.0007074335590004921 | Resolution type = None
Job 30: Waiting time = 8.797877561300993 | Resolution time = 0.0007123090326786041 | Resolution type = None
Job 31: Waiting time = 8.606349972076714 | Resolution time = 0.0007126219570636749 | Resolution type = None
Job 32: Waiting time = 8.412450284697115 | Resolution time = 0.0007325885817408562 | Resolution type = None
Job 33: Waiting time = 8.223494545556605 | Resolution time = 0.0007231459021568298 | Resolution type = None
Job 34: Waiting time = 8.015912210568786 | Resolution time = 0.0007108533754944801 | Resolution type = None
Job 35: Waiting time = 7.836989118717611 | Resolution time = 0.0006818212568759918 | Resolution type = None
Job 36: Waiting time = 7.654197529889643 | Resolution time = 0.0007494809105992317 | Resolution type = None
Job 37: Waiting time = 7.447569068521261 | Resolution time = 0.0007264092564582825 | Resolution type = None
Job 38: Waiting time = 7.250925610773265 | Resolution time = 0.000695500522851944 | Resolution type = None
Job 39: Waiting time = 7.055042142979801 | Resolution time = 0.0007208753377199173 | Resolution type = None
Job 40: Waiting time = 6.851170428097248 | Resolution time = 0.0006835432723164558 | Resolution type = None
Job 41: Waiting time = 6.6321755247190595 | Resolution time = 0.0007315613329410553 | Resolution type = None
Job 42: Waiting time = 6.437380902469158 | Resolution time = 0.0010761348530650139 | Resolution type = None
Job 43: Waiting time = 6.224197953939438 | Resolution time = 0.0007712328806519508 | Resolution type = None
Job 44: Waiting time = 5.998392261564732 | Resolution time = 0.0006970847025513649 | Resolution type = None
Job 45: Waiting time = 5.796125468797982 | Resolution time = 0.0006950302049517632 | Resolution type = None
Job 46: Waiting time = 5.590205584652722 | Resolution time = 0.0007373606786131859 | Resolution type = None
Job 47: Waiting time = 5.393613828346133 | Resolution time = 0.0006975885480642319 | Resolution type = None
Job 48: Waiting time = 5.182915437035263 | Resolution time = 0.0007741879671812057 | Resolution type = None
Job 49: Waiting time = 5.004076153971255 | Resolution time = 0.000833926722407341 | Resolution type = None
Job 50: Waiting time = 4.813624732196331 | Resolution time = 0.0007058540359139442 | Resolution type = None
Job 51: Waiting time = 4.652364492416382 | Resolution time = 0.0007103327661752701 | Resolution type = None
Job 52: Waiting time = 4.436935901641846 | Resolution time = 0.000736200250685215 | Resolution type = None
Job 53: Waiting time = 4.245015908032656 | Resolution time = 0.0007338933646678925 | Resolution type = None
Job 54: Waiting time = 4.0307832062244415 | Resolution time = 0.0007043331861495972 | Resolution type = None
Job 55: Waiting time = 3.8230226822197437 | Resolution time = 0.0006858576089143753 | Resolution type = None
Job 56: Waiting time = 3.6110280845314264 | Resolution time = 0.0007071709260344505 | Resolution type = None
Job 57: Waiting time = 3.395973506383598 | Resolution time = 0.0006911288946866989 | Resolution type = None
Job 58: Waiting time = 3.190720461308956 | Resolution time = 0.000696835108101368 | Resolution type = None
Job 59: Waiting time = 3.0069771967828274 | Resolution time = 0.0007312800735235214 | Resolution type = None
Job 60: Waiting time = 2.804209136404097 | Resolution time = 0.0007359208539128304 | Resolution type = None
Job 61: Waiting time = 2.608791545033455 | Resolution time = 0.000701666809618473 | Resolution type = None
Job 62: Waiting time = 2.4104906572028995 | Resolution time = 0.0007640523836016655 | Resolution type = None
Job 63: Waiting time = 2.1978671653196216 | Resolution time = 0.0008100299164652824 | Resolution type = None
Job 64: Waiting time = 2.0030403956770897 | Resolution time = 0.0006992164999246597 | Resolution type = None
Job 65: Waiting time = 1.8388627171516418 | Resolution time = 0.0007489277049899101 | Resolution type = None
Job 66: Waiting time = 1.6361243007704616 | Resolution time = 0.0006901230663061142 | Resolution type = None
Job 67: Waiting time = 1.455381921492517 | Resolution time = 0.0007463749498128891 | Resolution type = None
