Job 1: Waiting time = 0.0011567166075110435 | Resolution time = 0.0011466322466731071 | Resolution type = None
Job 2: Waiting time = 0.0008834647014737129 | Resolution time = 0.0008761659264564514 | Resolution type = None
Job 3: Waiting time = 0.0008492628112435341 | Resolution time = 0.0008427053689956665 | Resolution type = None
Job 4: Waiting time = 0.00023350585252046585 | Resolution time = 0.00022744294255971909 | Resolution type = Policy
Job 5: Waiting time = 0.0007551880553364754 | Resolution time = 0.0007495284080505371 | Resolution type = None
Job 6: Waiting time = 0.00018461141735315323 | Resolution time = 0.0001789778470993042 | Resolution type = Policy
Job 7: Waiting time = 0.0005914969369769096 | Resolution time = 0.0005862042307853699 | Resolution type = Policy
Job 8: Waiting time = 0.0007929317653179169 | Resolution time = 0.0007874853909015656 | Resolution type = None
Job 9: Waiting time = 0.0006883349269628525 | Resolution time = 0.0006826231256127357 | Resolution type = Policy
Job 10: Waiting time = 0.0008541624993085861 | Resolution time = 0.0008488232269883156 | Resolution type = None
Job 11: Waiting time = 0.0008327765390276909 | Resolution time = 0.0008191922679543495 | Resolution type = Policy
Job 12: Waiting time = 0.00042242836207151413 | Resolution time = 0.00041631702333688736 | Resolution type = Policy
Job 13: Waiting time = 0.0005341870710253716 | Resolution time = 0.0005289409309625626 | Resolution type = Policy
Job 14: Waiting time = 5.340948700904846e-05 | Resolution time = 4.8819929361343384e-05 | Resolution type = Policy
Job 15: Waiting time = 0.0008690794929862022 | Resolution time = 0.0008629746735095978 | Resolution type = Policy
Job 16: Waiting time = 0.001226496882736683 | Resolution time = 0.001221134327352047 | Resolution type = None
Job 17: Waiting time = 0.0008677169680595398 | Resolution time = 0.0008582109585404396 | Resolution type = None
Job 18: Waiting time = 0.0008663740009069443 | Resolution time = 0.0008607218042016029 | Resolution type = None
Job 19: Waiting time = 0.0007784990593791008 | Resolution time = 0.0007657976821064949 | Resolution type = None
Job 20: Waiting time = 0.00039511267095804214 | Resolution time = 0.0003747595474123955 | Resolution type = Policy
Job 21: Waiting time = 0.0007335059344768524 | Resolution time = 0.0007164785638451576 | Resolution type = None
Job 22: Waiting time = 0.001229441724717617 | Resolution time = 0.0012165522202849388 | Resolution type = None
Job 23: Waiting time = 0.001074761152267456 | Resolution time = 0.001061997376382351 | Resolution type = None
Job 24: Waiting time = 0.0010095052421092987 | Resolution time = 0.0009757503867149353 | Resolution type = None
Job 25: Waiting time = 0.00010864529758691788 | Resolution time = 9.36165452003479e-05 | Resolution type = Policy
Job 26: Waiting time = 0.0012350836768746376 | Resolution time = 0.0012193378061056137 | Resolution type = None
Job 27: Waiting time = 0.0011829352006316185 | Resolution time = 0.0011693388223648071 | Resolution type = None
Job 28: Waiting time = 0.0007294891402125359 | Resolution time = 0.0007160985842347145 | Resolution type = None
Job 29: Waiting time = 0.0009700385853648186 | Resolution time = 0.0009561367332935333 | Resolution type = None
Job 30: Waiting time = 0.001106821931898594 | Resolution time = 0.0010867547243833542 | Resolution type = None
Job 31: Waiting time = 0.0009244624525308609 | Resolution time = 0.0009105484932661057 | Resolution type = Policy
Job 32: Waiting time = 0.00035418663173913956 | Resolution time = 0.0003378298133611679 | Resolution type = Policy
Job 33: Waiting time = 0.000500149093568325 | Resolution time = 0.00048534758388996124 | Resolution type = Policy
Job 34: Waiting time = 6.206613034009933e-05 | Resolution time = 4.8430636525154114e-05 | Resolution type = Policy
Job 35: Waiting time = 0.0013883356004953384 | Resolution time = 0.001375097781419754 | Resolution type = None
Job 36: Waiting time = 0.0008217291906476021 | Resolution time = 0.0008086171001195908 | Resolution type = Policy
Job 37: Waiting time = 0.0009918930009007454 | Resolution time = 0.0009761573746800423 | Resolution type = Policy
Job 38: Waiting time = 0.0013834424316883087 | Resolution time = 0.0013692034408450127 | Resolution type = None
Job 39: Waiting time = 0.0014153020456433296 | Resolution time = 0.0013984804973006248 | Resolution type = None
Job 40: Waiting time = 0.0010598916560411453 | Resolution time = 0.0010058851912617683 | Resolution type = Policy
Job 41: Waiting time = 0.0008713752031326294 | Resolution time = 0.0008542919531464577 | Resolution type = None
Job 42: Waiting time = 0.0007777251303195953 | Resolution time = 0.0007643159478902817 | Resolution type = None
Job 43: Waiting time = 0.0007358836010098457 | Resolution time = 0.0007218746468424797 | Resolution type = None
Job 44: Waiting time = 0.0008652862161397934 | Resolution time = 0.0008526043966412544 | Resolution type = Policy
Job 45: Waiting time = 0.0008024862036108971 | Resolution time = 0.0007830727845430374 | Resolution type = None
Job 46: Waiting time = 0.0011147195473313332 | Resolution time = 0.0011000195518136024 | Resolution type = None
Job 47: Waiting time = 0.0007770564407110214 | Resolution time = 0.0007620342075824738 | Resolution type = Policy
Job 48: Waiting time = 0.000568099319934845 | Resolution time = 0.0005548074841499329 | Resolution type = Policy
Job 49: Waiting time = 0.0007669897750020027 | Resolution time = 0.000751269981265068 | Resolution type = None
Job 50: Waiting time = 0.00037111900746822357 | Resolution time = 0.0003588879480957985 | Resolution type = Policy
Job 51: Waiting time = 0.0010662879794836044 | Resolution time = 0.0010514669120311737 | Resolution type = None
Job 52: Waiting time = 0.0008817315101623535 | Resolution time = 0.0008679172024130821 | Resolution type = Policy
Job 53: Waiting time = 0.001139707863330841 | Resolution time = 0.0011250190436840057 | Resolution type = None
Job 54: Waiting time = 0.000726526603102684 | Resolution time = 0.0007113777101039886 | Resolution type = None
Job 55: Waiting time = 0.0007390566170215607 | Resolution time = 0.0007123108953237534 | Resolution type = None
Job 56: Waiting time = 0.0004087192937731743 | Resolution time = 0.00039581209421157837 | Resolution type = Policy
Job 57: Waiting time = 0.0008605876937508583 | Resolution time = 0.0008439235389232635 | Resolution type = Policy
Job 58: Waiting time = 0.0003830268979072571 | Resolution time = 0.00037021003663539886 | Resolution type = Policy
Job 59: Waiting time = 0.0006574224680662155 | Resolution time = 0.0006305612623691559 | Resolution type = Policy
Job 60: Waiting time = 0.0010526729747653008 | Resolution time = 0.0010374728590250015 | Resolution type = None
Job 61: Waiting time = 0.0011434061452746391 | Resolution time = 0.0011285971850156784 | Resolution type = None
Job 62: Waiting time = 0.0007923338562250137 | Resolution time = 0.0007776198908686638 | Resolution type = None
Job 63: Waiting time = 0.0007182974368333817 | Resolution time = 0.0007040547206997871 | Resolution type = None
Job 64: Waiting time = 0.0010769935324788094 | Resolution time = 0.001063949428498745 | Resolution type = None
Job 65: Waiting time = 0.0012044701725244522 | Resolution time = 0.0011910591274499893 | Resolution type = None
Job 66: Waiting time = 0.0006739366799592972 | Resolution time = 0.0006602620705962181 | Resolution type = None
Job 67: Waiting time = 0.0003115711733698845 | Resolution time = 0.00029677804559469223 | Resolution type = Policy
Job 68: Waiting time = 0.0010585011914372444 | Resolution time = 0.0010450202971696854 | Resolution type = None
Job 69: Waiting time = 0.0011006807908415794 | Resolution time = 0.0010869605466723442 | Resolution type = None
Job 70: Waiting time = 0.0007860036566853523 | Resolution time = 0.0007699811831116676 | Resolution type = None
Job 71: Waiting time = 0.000519883818924427 | Resolution time = 0.0005072401836514473 | Resolution type = Policy
Job 72: Waiting time = 0.0010350150987505913 | Resolution time = 0.0010208403691649437 | Resolution type = None
Job 73: Waiting time = 0.0009218109771609306 | Resolution time = 0.0009058201685547829 | Resolution type = None
Job 74: Waiting time = 0.0006618071347475052 | Resolution time = 0.0006416235119104385 | Resolution type = Policy
Job 75: Waiting time = 0.0009979680180549622 | Resolution time = 0.0009828628972172737 | Resolution type = None
Job 76: Waiting time = 9.392574429512024e-05 | Resolution time = 7.964018732309341e-05 | Resolution type = Policy
Job 77: Waiting time = 0.0012708911672234535 | Resolution time = 0.0012573068961501122 | Resolution type = None
Job 78: Waiting time = 0.0009016720578074455 | Resolution time = 0.0008767507970333099 | Resolution type = None
