Job 1: Waiting time = 0.0013542817905545235 | Resolution time = 0.0013372721150517464 | Resolution type = None
Job 2: Waiting time = 0.00045332498848438263 | Resolution time = 0.0004367781803011894 | Resolution type = Policy
Job 3: Waiting time = 0.0012824824079871178 | Resolution time = 0.001266680657863617 | Resolution type = None
Job 4: Waiting time = 0.0010056858882308006 | Resolution time = 0.0009898636490106583 | Resolution type = Policy
Job 5: Waiting time = 0.0007881168276071548 | Resolution time = 0.0007752152159810066 | Resolution type = None
Job 6: Waiting time = 0.0008848030120134354 | Resolution time = 0.0008689891546964645 | Resolution type = None
Job 7: Waiting time = 0.0011624153703451157 | Resolution time = 0.001048133708536625 | Resolution type = None
Job 8: Waiting time = 4.1554681956768036e-05 | Resolution time = 2.8437934815883636e-05 | Resolution type = Policy
Job 9: Waiting time = 0.0007853629067540169 | Resolution time = 0.0007481994107365608 | Resolution type = None
Job 10: Waiting time = 0.0010224031284451485 | Resolution time = 0.00025094859302043915 | Resolution type = Policy
Job 11: Waiting time = 0.0009428178891539574 | Resolution time = 0.0009284550324082375 | Resolution type = None
Job 12: Waiting time = 0.0008628591895103455 | Resolution time = 0.0008475789800286293 | Resolution type = None
Job 13: Waiting time = 0.00046477559953927994 | Resolution time = 0.00045142415910959244 | Resolution type = Policy
Job 14: Waiting time = 0.00016668438911437988 | Resolution time = 0.00015238486230373383 | Resolution type = Policy
Job 15: Waiting time = 0.0003711078315973282 | Resolution time = 0.0003581782802939415 | Resolution type = Policy
Job 16: Waiting time = 0.00068699661642313 | Resolution time = 0.0006716232746839523 | Resolution type = Policy
Job 17: Waiting time = 0.0006104633212089539 | Resolution time = 0.0005971686914563179 | Resolution type = Policy
Job 18: Waiting time = 0.0012127608060836792 | Resolution time = 0.0011994307860732079 | Resolution type = None
Job 19: Waiting time = 0.0001798681914806366 | Resolution time = 6.785057485103607e-05 | Resolution type = Policy
Job 20: Waiting time = 0.00017977971583604813 | Resolution time = 0.00016507040709257126 | Resolution type = Policy
Job 21: Waiting time = 0.0011987872421741486 | Resolution time = 0.001184375025331974 | Resolution type = None
Job 22: Waiting time = 0.0002366369590163231 | Resolution time = 0.00022391881793737411 | Resolution type = Policy
Job 23: Waiting time = 0.0005424860864877701 | Resolution time = 0.000528872013092041 | Resolution type = Policy
Job 24: Waiting time = 0.0008838167414069176 | Resolution time = 0.000866282731294632 | Resolution type = None
Job 25: Waiting time = 0.0011788653209805489 | Resolution time = 0.0011636726558208466 | Resolution type = None
Job 26: Waiting time = 0.0008813785389065742 | Resolution time = 0.0008571585640311241 | Resolution type = None
Job 27: Waiting time = 0.00115228071808815 | Resolution time = 0.0011362945660948753 | Resolution type = None
Job 28: Waiting time = 0.0008772099390625954 | Resolution time = 0.0008621569722890854 | Resolution type = None
Job 29: Waiting time = 0.000779464840888977 | Resolution time = 0.000764370895922184 | Resolution type = None
Job 30: Waiting time = 0.0006337370723485947 | Resolution time = 0.0006190575659275055 | Resolution type = Policy
Job 31: Waiting time = 0.0005230512470006943 | Resolution time = 0.00031430087983608246 | Resolution type = Policy
Job 32: Waiting time = 0.00031026825308799744 | Resolution time = 0.00028812140226364136 | Resolution type = Policy
Job 33: Waiting time = 0.001039985567331314 | Resolution time = 0.0010239556431770325 | Resolution type = Policy
Job 34: Waiting time = 0.001467246562242508 | Resolution time = 0.0014521852135658264 | Resolution type = None
Job 35: Waiting time = 0.0014100857079029083 | Resolution time = 0.0013945866376161575 | Resolution type = None
Job 36: Waiting time = 0.0011198362335562706 | Resolution time = 0.0011067325249314308 | Resolution type = None
Job 37: Waiting time = 0.0004637502133846283 | Resolution time = 0.0004500504583120346 | Resolution type = Policy
Job 38: Waiting time = 0.0007684230804443359 | Resolution time = 0.0007557645440101624 | Resolution type = None
Job 39: Waiting time = 0.0010907193645834923 | Resolution time = 0.0010750563815236092 | Resolution type = None
Job 40: Waiting time = 0.000558188185095787 | Resolution time = 0.0005454933270812035 | Resolution type = Policy
Job 41: Waiting time = 0.0010858364403247833 | Resolution time = 0.0010701855644583702 | Resolution type = None
Job 42: Waiting time = 0.0011089993640780449 | Resolution time = 0.0010938169434666634 | Resolution type = None
Job 43: Waiting time = 0.001007012091577053 | Resolution time = 0.0009937183931469917 | Resolution type = None
Job 44: Waiting time = 0.000758967362344265 | Resolution time = 0.0007460014894604683 | Resolution type = None
Job 45: Waiting time = 0.0010758880525827408 | Resolution time = 0.0010610073804855347 | Resolution type = None
Job 46: Waiting time = 0.000741155818104744 | Resolution time = 0.0007267864421010017 | Resolution type = None
Job 47: Waiting time = 0.001112540252506733 | Resolution time = 0.0010965317487716675 | Resolution type = None
Job 48: Waiting time = 0.0007385388016700745 | Resolution time = 0.0007156636565923691 | Resolution type = None
Job 49: Waiting time = 0.00061004888266325 | Resolution time = 0.0005935793742537498 | Resolution type = Policy
Job 50: Waiting time = 0.00031349901109933853 | Resolution time = 0.0002983352169394493 | Resolution type = Policy
Job 51: Waiting time = 0.0008594375103712082 | Resolution time = 0.0008441461250185966 | Resolution type = None
Job 52: Waiting time = 0.0006271200254559517 | Resolution time = 0.0006126472726464272 | Resolution type = Policy
Job 53: Waiting time = 0.0009497012943029404 | Resolution time = 0.0009349910542368889 | Resolution type = None
Job 54: Waiting time = 0.0010448545217514038 | Resolution time = 0.001013459637761116 | Resolution type = None
Job 55: Waiting time = 0.0007299557328224182 | Resolution time = 0.0007162867113947868 | Resolution type = None
Job 56: Waiting time = 0.0008048173040151596 | Resolution time = 0.0007899589836597443 | Resolution type = None
Job 57: Waiting time = 0.001013023778796196 | Resolution time = 0.0009966008365154266 | Resolution type = None
Job 58: Waiting time = 0.0011020833626389503 | Resolution time = 0.0009989850223064423 | Resolution type = None
Job 59: Waiting time = 0.0011276230216026306 | Resolution time = 0.0011129314079880714 | Resolution type = None
Job 60: Waiting time = 0.0008378280326724052 | Resolution time = 0.0008212579414248466 | Resolution type = Policy
Job 61: Waiting time = 0.0009848764166235924 | Resolution time = 0.0009719403460621834 | Resolution type = None
Job 62: Waiting time = 0.0009926939383149147 | Resolution time = 0.0009746216237545013 | Resolution type = None
Job 63: Waiting time = 0.0007094629108905792 | Resolution time = 0.0006943773478269577 | Resolution type = None
Job 64: Waiting time = 0.00015806499868631363 | Resolution time = 0.00014540739357471466 | Resolution type = Policy
Job 65: Waiting time = 0.0010059485211968422 | Resolution time = 0.0009874477982521057 | Resolution type = None
Job 66: Waiting time = 0.0008213762193918228 | Resolution time = 0.0008061220869421959 | Resolution type = None
Job 67: Waiting time = 0.0008091786876320839 | Resolution time = 0.0007938239723443985 | Resolution type = None
Job 68: Waiting time = 0.0007313080132007599 | Resolution time = 0.0007164282724261284 | Resolution type = None
Job 69: Waiting time = 0.0010322313755750656 | Resolution time = 0.001019689254462719 | Resolution type = None
Job 70: Waiting time = 0.0007339445874094963 | Resolution time = 0.0007214415818452835 | Resolution type = None
Job 71: Waiting time = 0.0011066310107707977 | Resolution time = 0.0010040169581770897 | Resolution type = None
Job 72: Waiting time = 0.0011808844283223152 | Resolution time = 0.0011551417410373688 | Resolution type = None
Job 73: Waiting time = 0.000813349150121212 | Resolution time = 0.0007977364584803581 | Resolution type = Policy
Job 74: Waiting time = 0.0007175533100962639 | Resolution time = 0.0007035806775093079 | Resolution type = None
Job 75: Waiting time = 0.0007392121478915215 | Resolution time = 0.0007255235686898232 | Resolution type = None
Job 76: Waiting time = 0.0013255858793854713 | Resolution time = 0.0012156171724200249 | Resolution type = None
Job 77: Waiting time = 0.00018862076103687286 | Resolution time = 0.0001721251755952835 | Resolution type = Policy
Job 78: Waiting time = 0.0008394699543714523 | Resolution time = 0.0008269008249044418 | Resolution type = Policy
Job 79: Waiting time = 0.0008706385269761086 | Resolution time = 0.0008557131513953209 | Resolution type = None
Job 80: Waiting time = 0.0007985467091202736 | Resolution time = 0.0007847165688872337 | Resolution type = None
Job 81: Waiting time = 0.0007773395627737045 | Resolution time = 0.0007630372419953346 | Resolution type = None
Job 82: Waiting time = 0.0007940065115690231 | Resolution time = 0.0007816245779395103 | Resolution type = None
Job 83: Waiting time = 0.0010740011930465698 | Resolution time = 0.0010611191391944885 | Resolution type = None
Job 84: Waiting time = 0.0011058440431952477 | Resolution time = 0.0010910257697105408 | Resolution type = None
Job 85: Waiting time = 0.00010657496750354767 | Resolution time = 9.310059249401093e-05 | Resolution type = Policy
Job 86: Waiting time = 0.0009440500289201736 | Resolution time = 0.0009177746251225471 | Resolution type = None
Job 87: Waiting time = 0.0008565094321966171 | Resolution time = 0.0008398769423365593 | Resolution type = None
Job 88: Waiting time = 0.0008414778858423233 | Resolution time = 0.0008276067674160004 | Resolution type = None
Job 89: Waiting time = 0.0007980726659297943 | Resolution time = 0.000779593363404274 | Resolution type = None
Job 90: Waiting time = 0.0007451167330145836 | Resolution time = 0.0007320372387766838 | Resolution type = None
Job 91: Waiting time = 0.0011006565764546394 | Resolution time = 0.0010880716145038605 | Resolution type = None
Job 92: Waiting time = 0.0004017222672700882 | Resolution time = 0.0003881007432937622 | Resolution type = Policy
Job 93: Waiting time = 0.0004914291203022003 | Resolution time = 0.0003809761255979538 | Resolution type = Policy
Job 94: Waiting time = 0.0003279540687799454 | Resolution time = 0.00031539611518383026 | Resolution type = Policy
Job 95: Waiting time = 0.0011933371424674988 | Resolution time = 0.0011770287528634071 | Resolution type = None
Job 96: Waiting time = 9.453948587179184e-05 | Resolution time = 7.936172187328339e-05 | Resolution type = Policy
Job 97: Waiting time = 0.00111285038292408 | Resolution time = 0.001003921963274479 | Resolution type = None
Job 98: Waiting time = 0.0007520131766796112 | Resolution time = 0.0007378691807389259 | Resolution type = Policy
