Job 1: Waiting time = 0.0018333187326788902 | Resolution time = 0.001824759878218174 | Resolution type = None
Job 2: Waiting time = 0.0013111559674143791 | Resolution time = 0.0013026464730501175 | Resolution type = Policy
Job 3: Waiting time = 0.0006576282903552055 | Resolution time = 0.000651470385491848 | Resolution type = Policy
Job 4: Waiting time = 0.0013104891404509544 | Resolution time = 0.0013036616146564484 | Resolution type = None
Job 5: Waiting time = 0.001097084954380989 | Resolution time = 0.0010916991159319878 | Resolution type = None
Job 6: Waiting time = 7.412955164909363e-05 | Resolution time = 6.902776658535004e-05 | Resolution type = Policy
Job 7: Waiting time = 0.0011881077662110329 | Resolution time = 0.0011827340349555016 | Resolution type = None
Job 8: Waiting time = 0.0009977351874113083 | Resolution time = 0.0009917886927723885 | Resolution type = None
Job 9: Waiting time = 0.0010844236239790916 | Resolution time = 0.0010785656049847603 | Resolution type = None
Job 10: Waiting time = 0.0010091625154018402 | Resolution time = 0.0010029459372162819 | Resolution type = None
Job 11: Waiting time = 0.0011924775317311287 | Resolution time = 0.0011864276602864265 | Resolution type = None
Job 12: Waiting time = 8.561275899410248e-05 | Resolution time = 8.053425699472427e-05 | Resolution type = Policy
Job 13: Waiting time = 0.0008248360827565193 | Resolution time = 0.0008195517584681511 | Resolution type = None
Job 14: Waiting time = 0.0009046783670783043 | Resolution time = 0.0008981591090559959 | Resolution type = None
Job 15: Waiting time = 0.0005174018442630768 | Resolution time = 0.0005123000591993332 | Resolution type = Policy
Job 16: Waiting time = 3.525707870721817e-05 | Resolution time = 3.0365772545337677e-05 | Resolution type = Policy
Job 17: Waiting time = 0.0007846206426620483 | Resolution time = 0.0007792962715029716 | Resolution type = Policy
Job 18: Waiting time = 0.0013436898589134216 | Resolution time = 0.001336970366537571 | Resolution type = None
Job 19: Waiting time = 0.0008494378998875618 | Resolution time = 0.0008431514725089073 | Resolution type = None
Job 20: Waiting time = 0.0008454928174614906 | Resolution time = 0.0008393265306949615 | Resolution type = None
Job 21: Waiting time = 0.0008854605257511139 | Resolution time = 0.0008701058104634285 | Resolution type = None
Job 22: Waiting time = 0.0003516869619488716 | Resolution time = 0.0003372989594936371 | Resolution type = Policy
Job 23: Waiting time = 0.0011633345857262611 | Resolution time = 0.0011491002514958382 | Resolution type = None
Job 24: Waiting time = 0.0008187349885702133 | Resolution time = 0.0007214928045868874 | Resolution type = Policy
Job 25: Waiting time = 0.0011010151356458664 | Resolution time = 0.001088346354663372 | Resolution type = None
Job 26: Waiting time = 0.0007674666121602058 | Resolution time = 0.0007543265819549561 | Resolution type = Policy
Job 27: Waiting time = 0.00016320962458848953 | Resolution time = 0.00014676060527563095 | Resolution type = Policy
Job 28: Waiting time = 0.0008567562326788902 | Resolution time = 0.0008425693958997726 | Resolution type = None
Job 29: Waiting time = 0.0004378482699394226 | Resolution time = 0.0004227049648761749 | Resolution type = Policy
Job 30: Waiting time = 0.001389448530972004 | Resolution time = 0.0012682406231760979 | Resolution type = None
Job 31: Waiting time = 0.0009060921147465706 | Resolution time = 0.0008919509127736092 | Resolution type = None
Job 32: Waiting time = 0.000607585534453392 | Resolution time = 0.0005952613428235054 | Resolution type = Policy
Job 33: Waiting time = 0.0008919509127736092 | Resolution time = 0.0008796509355306625 | Resolution type = Policy
Job 34: Waiting time = 0.0012436117976903915 | Resolution time = 0.0012291958555579185 | Resolution type = None
Job 35: Waiting time = 0.0009026816114783287 | Resolution time = 0.0008884277194738388 | Resolution type = Policy
Job 36: Waiting time = 0.0011989809572696686 | Resolution time = 0.0011802781373262405 | Resolution type = None
Job 37: Waiting time = 0.0010366877540946007 | Resolution time = 0.0010240357369184494 | Resolution type = None
Job 38: Waiting time = 0.0012848097831010818 | Resolution time = 0.001271379180252552 | Resolution type = None
Job 39: Waiting time = 0.0009363889694213867 | Resolution time = 0.0009218249469995499 | Resolution type = Policy
Job 40: Waiting time = 0.0008258353918790817 | Resolution time = 0.000812252052128315 | Resolution type = Policy
Job 41: Waiting time = 0.0009075840935111046 | Resolution time = 0.0008937213569879532 | Resolution type = None
Job 42: Waiting time = 0.0008884584531188011 | Resolution time = 0.0008747046813368797 | Resolution type = None
Job 43: Waiting time = 0.0009499704465270042 | Resolution time = 0.0009372252970933914 | Resolution type = None
Job 44: Waiting time = 0.0010559000074863434 | Resolution time = 0.001041896641254425 | Resolution type = None
Job 45: Waiting time = 0.0008577564731240273 | Resolution time = 0.0008458700031042099 | Resolution type = None
Job 46: Waiting time = 0.0011007199063897133 | Resolution time = 0.0010719597339630127 | Resolution type = None
Job 47: Waiting time = 0.0005433792248368263 | Resolution time = 0.0005270326510071754 | Resolution type = Policy
Job 48: Waiting time = 0.0011212602257728577 | Resolution time = 0.00109897181391716 | Resolution type = None
Job 49: Waiting time = 0.0010983720421791077 | Resolution time = 0.0010834168642759323 | Resolution type = None
Job 50: Waiting time = 0.0010283347219228745 | Resolution time = 0.0010158950462937355 | Resolution type = None
Job 51: Waiting time = 0.0008269380778074265 | Resolution time = 0.0008134227246046066 | Resolution type = None
Job 52: Waiting time = 4.191882908344269e-05 | Resolution time = 3.0011869966983795e-05 | Resolution type = Policy
Job 53: Waiting time = 0.0005677510052919388 | Resolution time = 0.0005476204678416252 | Resolution type = Policy
Job 54: Waiting time = 0.000820632092654705 | Resolution time = 0.0008055679500102997 | Resolution type = None
Job 55: Waiting time = 0.00024712830781936646 | Resolution time = 0.00022960733622312546 | Resolution type = Policy
Job 56: Waiting time = 0.0011902796104550362 | Resolution time = 0.0011767931282520294 | Resolution type = None
