Job 64: Waiting time = 0.00012222211807966232 | Resolution time = 0.00010859780013561249 | Resolution type = None
Job 65: Waiting time = 0.0001164870336651802 | Resolution time = 0.00010237935930490494 | Resolution type = None
Job 66: Waiting time = 0.00010871514678001404 | Resolution time = 9.307079017162323e-05 | Resolution type = None
Job 67: Waiting time = 0.0001332433894276619 | Resolution time = 0.00011865608394145966 | Resolution type = None
Job 68: Waiting time = 0.00011707469820976257 | Resolution time = 0.0001032315194606781 | Resolution type = None
Job 69: Waiting time = 0.00013437680900096893 | Resolution time = 0.00011699087917804718 | Resolution type = None
Job 70: Waiting time = 0.00014746841043233871 | Resolution time = 0.0001272326335310936 | Resolution type = None
Job 71: Waiting time = 0.00010398868471384048 | Resolution time = 9.03075560927391e-05 | Resolution type = None
Job 72: Waiting time = 0.0002576680853962898 | Resolution time = 0.00011414662003517151 | Resolution type = None
Job 73: Waiting time = 0.00020195171236991882 | Resolution time = 0.00018897280097007751 | Resolution type = None
Job 74: Waiting time = 0.00018761120736598969 | Resolution time = 0.00017242133617401123 | Resolution type = None
Job 75: Waiting time = 0.00015194155275821686 | Resolution time = 0.00013203546404838562 | Resolution type = None
Job 76: Waiting time = 0.0001194830983877182 | Resolution time = 0.00010481104254722595 | Resolution type = None
Job 77: Waiting time = 0.00025938544422388077 | Resolution time = 0.00015194807201623917 | Resolution type = None
Job 78: Waiting time = 0.0001625875011086464 | Resolution time = 0.000148736871778965 | Resolution type = None
Job 79: Waiting time = 0.00014550704509019852 | Resolution time = 0.00012866780161857605 | Resolution type = None
Job 80: Waiting time = 0.00011610239744186401 | Resolution time = 0.00010416284203529358 | Resolution type = None
Job 81: Waiting time = 0.00013719312846660614 | Resolution time = 0.00012310780584812164 | Resolution type = None
Job 82: Waiting time = 0.0001413179561495781 | Resolution time = 0.00013037677854299545 | Resolution type = None
Job 83: Waiting time = 0.00012763775885105133 | Resolution time = 0.0001146933063864708 | Resolution type = None
Job 84: Waiting time = 0.00013041682541370392 | Resolution time = 0.00011601019650697708 | Resolution type = None
Job 85: Waiting time = 0.00012993160635232925 | Resolution time = 0.00011647772043943405 | Resolution type = None
Job 86: Waiting time = 0.00011818483471870422 | Resolution time = 0.00010475330054759979 | Resolution type = None
Job 87: Waiting time = 0.00016150251030921936 | Resolution time = 0.00014111120253801346 | Resolution type = None
Job 88: Waiting time = 0.0001340135931968689 | Resolution time = 0.00012051500380039215 | Resolution type = None
Job 89: Waiting time = 0.0001627197489142418 | Resolution time = 0.0001468425616621971 | Resolution type = None
Job 90: Waiting time = 0.00014039967209100723 | Resolution time = 0.00012586265802383423 | Resolution type = None
Job 91: Waiting time = 0.00015201792120933533 | Resolution time = 0.0001369146630167961 | Resolution type = None
Job 92: Waiting time = 0.00023315194994211197 | Resolution time = 0.00013224035501480103 | Resolution type = None
Job 93: Waiting time = 0.00017739739269018173 | Resolution time = 0.00016310252249240875 | Resolution type = None
Job 94: Waiting time = 0.00013596657663583755 | Resolution time = 0.00012331455945968628 | Resolution type = None
Job 95: Waiting time = 0.00015105772763490677 | Resolution time = 0.00013585202395915985 | Resolution type = None
Job 96: Waiting time = 0.0001517999917268753 | Resolution time = 0.00013784226030111313 | Resolution type = None
Job 97: Waiting time = 0.00013583339750766754 | Resolution time = 0.00012148544192314148 | Resolution type = None
Job 98: Waiting time = 0.0002238340675830841 | Resolution time = 0.00011934153735637665 | Resolution type = None
Job 99: Waiting time = 0.00015784148126840591 | Resolution time = 0.000141877681016922 | Resolution type = None
Job 100: Waiting time = 0.00019512884318828583 | Resolution time = 0.00018068496137857437 | Resolution type = None
Job 101: Waiting time = 0.00013978872448205948 | Resolution time = 0.00012607872486114502 | Resolution type = None
Job 102: Waiting time = 0.00015868060290813446 | Resolution time = 0.00014371424913406372 | Resolution type = None
Job 103: Waiting time = 0.0001346208155155182 | Resolution time = 0.00011893454939126968 | Resolution type = None
Job 104: Waiting time = 0.00014571938663721085 | Resolution time = 0.00012793857604265213 | Resolution type = None
Job 105: Waiting time = 0.00011903978884220123 | Resolution time = 0.00010548438876867294 | Resolution type = None
Job 106: Waiting time = 0.00017276592552661896 | Resolution time = 0.00015727709978818893 | Resolution type = None
Job 107: Waiting time = 0.00014042574912309647 | Resolution time = 0.00012691505253314972 | Resolution type = None
Job 108: Waiting time = 0.00024523399770259857 | Resolution time = 0.0001325756311416626 | Resolution type = None
Job 109: Waiting time = 0.00013883505016565323 | Resolution time = 0.00012105144560337067 | Resolution type = None
Job 110: Waiting time = 0.00012033618986606598 | Resolution time = 0.00010745227336883545 | Resolution type = None
Job 111: Waiting time = 0.0001473771408200264 | Resolution time = 0.00013413652777671814 | Resolution type = None
Job 112: Waiting time = 0.00015426333993673325 | Resolution time = 0.0001395801082253456 | Resolution type = None
Job 113: Waiting time = 0.00013080425560474396 | Resolution time = 0.00011916458606719971 | Resolution type = None
Job 114: Waiting time = 0.00014673825353384018 | Resolution time = 0.00013306643813848495 | Resolution type = None
Job 115: Waiting time = 0.0002630287781357765 | Resolution time = 0.00015776511281728745 | Resolution type = None
Job 116: Waiting time = 0.00016029924154281616 | Resolution time = 0.00014468934386968613 | Resolution type = None
Job 117: Waiting time = 0.00014088302850723267 | Resolution time = 0.00012676138430833817 | Resolution type = None
Job 118: Waiting time = 0.0001385807991027832 | Resolution time = 0.00012391526252031326 | Resolution type = None
Job 119: Waiting time = 0.00014327745884656906 | Resolution time = 0.00012963823974132538 | Resolution type = None
Job 120: Waiting time = 0.00018451735377311707 | Resolution time = 0.00016212090849876404 | Resolution type = None
Job 121: Waiting time = 0.0001498498022556305 | Resolution time = 0.00013481918722391129 | Resolution type = None
Job 122: Waiting time = 0.00015258416533470154 | Resolution time = 0.0001403428614139557 | Resolution type = None
Job 123: Waiting time = 0.00016032159328460693 | Resolution time = 0.000146486796438694 | Resolution type = None
Job 124: Waiting time = 0.0001528160646557808 | Resolution time = 0.00013887789100408554 | Resolution type = None
Job 125: Waiting time = 0.00017320085316896439 | Resolution time = 0.0001510120928287506 | Resolution type = None
Job 126: Waiting time = 0.0001257350668311119 | Resolution time = 0.0001125037670135498 | Resolution type = None
Job 127: Waiting time = 0.00022448785603046417 | Resolution time = 0.00012538302689790726 | Resolution type = None
Job 128: Waiting time = 0.00017521530389785767 | Resolution time = 0.00016174465417861938 | Resolution type = None
Job 129: Waiting time = 0.00015554018318653107 | Resolution time = 0.00014034099876880646 | Resolution type = None
Job 130: Waiting time = 0.00019483640789985657 | Resolution time = 0.00017856992781162262 | Resolution type = None
Job 131: Waiting time = 0.00018408522009849548 | Resolution time = 0.00016935262829065323 | Resolution type = None
Job 132: Waiting time = 0.00016608741134405136 | Resolution time = 0.00015270337462425232 | Resolution type = None
Job 133: Waiting time = 0.00014140363782644272 | Resolution time = 0.00012874510139226913 | Resolution type = None
Job 134: Waiting time = 0.00016482919454574585 | Resolution time = 0.00014982465654611588 | Resolution type = None
Job 135: Waiting time = 0.0001666313037276268 | Resolution time = 0.0001547606661915779 | Resolution type = None
Job 136: Waiting time = 0.00014315079897642136 | Resolution time = 0.00012757163494825363 | Resolution type = None
Job 137: Waiting time = 0.00015963055193424225 | Resolution time = 0.00014716759324073792 | Resolution type = None
Job 138: Waiting time = 0.00016142893582582474 | Resolution time = 0.00014563091099262238 | Resolution type = None
Job 139: Waiting time = 0.0001855725422501564 | Resolution time = 0.00015508010983467102 | Resolution type = None
Job 140: Waiting time = 0.0001468360424041748 | Resolution time = 0.00013147201389074326 | Resolution type = None
Job 141: Waiting time = 0.00015946011990308762 | Resolution time = 0.0001482972875237465 | Resolution type = None
Job 142: Waiting time = 0.00016437284648418427 | Resolution time = 0.00015058089047670364 | Resolution type = None
Job 143: Waiting time = 0.00016232114285230637 | Resolution time = 0.00014715362340211868 | Resolution type = None
Job 144: Waiting time = 0.00014501437544822693 | Resolution time = 0.0001307353377342224 | Resolution type = None
Job 145: Waiting time = 0.00028967950493097305 | Resolution time = 0.0001772502437233925 | Resolution type = None
Job 146: Waiting time = 0.0001406017690896988 | Resolution time = 0.00012812484055757523 | Resolution type = None
Job 147: Waiting time = 0.0001613851636648178 | Resolution time = 0.0001477561891078949 | Resolution type = None
Job 148: Waiting time = 0.00016651954501867294 | Resolution time = 0.00015255156904459 | Resolution type = None
Job 149: Waiting time = 0.0001882258802652359 | Resolution time = 0.00015977118164300919 | Resolution type = None
Job 150: Waiting time = 0.0002058427780866623 | Resolution time = 0.00019053928554058075 | Resolution type = None
Job 151: Waiting time = 0.00020268931984901428 | Resolution time = 0.00018825475126504898 | Resolution type = None
Job 152: Waiting time = 0.00019064731895923615 | Resolution time = 0.00017460621893405914 | Resolution type = None
Job 153: Waiting time = 0.00016457028687000275 | Resolution time = 0.00015045516192913055 | Resolution type = None
Job 154: Waiting time = 0.00017890054732561111 | Resolution time = 0.0001640794798731804 | Resolution type = None
Job 155: Waiting time = 0.00032262131571769714 | Resolution time = 0.00023168325424194336 | Resolution type = None
Job 156: Waiting time = 0.00020884722471237183 | Resolution time = 0.0001954827457666397 | Resolution type = None
Job 157: Waiting time = 0.0001728469505906105 | Resolution time = 0.0001593390479683876 | Resolution type = None
Job 158: Waiting time = 0.00020301807671785355 | Resolution time = 0.000189194455742836 | Resolution type = None
Job 159: Waiting time = 0.00018411874771118164 | Resolution time = 0.00016838964074850082 | Resolution type = None
Job 160: Waiting time = 0.00019173510372638702 | Resolution time = 0.00017628446221351624 | Resolution type = None
Job 161: Waiting time = 0.0001756632700562477 | Resolution time = 0.00016211159527301788 | Resolution type = None
Job 162: Waiting time = 0.00018946174532175064 | Resolution time = 0.00017509795725345612 | Resolution type = None
Job 163: Waiting time = 0.00019880011677742004 | Resolution time = 0.00018557999283075333 | Resolution type = None
Job 164: Waiting time = 0.00017794128507375717 | Resolution time = 0.00016240309923887253 | Resolution type = None
Job 165: Waiting time = 0.0001996578648686409 | Resolution time = 0.00017235428094863892 | Resolution type = None
Job 166: Waiting time = 0.00014718901365995407 | Resolution time = 0.0001359870657324791 | Resolution type = None
Job 167: Waiting time = 0.00026506930589675903 | Resolution time = 0.0002500796690583229 | Resolution type = None
Job 168: Waiting time = 0.00023024063557386398 | Resolution time = 0.0002180449664592743 | Resolution type = None
Job 169: Waiting time = 0.00017695873975753784 | Resolution time = 0.00016289856284856796 | Resolution type = None
Job 170: Waiting time = 0.00016096513718366623 | Resolution time = 0.00014612823724746704 | Resolution type = None
Job 171: Waiting time = 0.00020109862089157104 | Resolution time = 0.0001876354217529297 | Resolution type = None
Job 172: Waiting time = 0.0001780511811375618 | Resolution time = 0.00016618706285953522 | Resolution type = None
Job 173: Waiting time = 0.00018726103007793427 | Resolution time = 0.00017269980162382126 | Resolution type = None
Job 174: Waiting time = 0.00018602143973112106 | Resolution time = 0.0001735202968120575 | Resolution type = None
Job 175: Waiting time = 0.00020185299217700958 | Resolution time = 0.00018911249935626984 | Resolution type = None
Job 176: Waiting time = 0.0002237195149064064 | Resolution time = 0.000195198692381382 | Resolution type = None
Job 177: Waiting time = 0.00020316243171691895 | Resolution time = 0.00018901750445365906 | Resolution type = None
Job 178: Waiting time = 0.0001902477815747261 | Resolution time = 0.00017439574003219604 | Resolution type = None
Job 179: Waiting time = 0.00017467420548200607 | Resolution time = 0.00016138330101966858 | Resolution type = None
Job 180: Waiting time = 0.00021644681692123413 | Resolution time = 0.00019963551312685013 | Resolution type = None
Job 181: Waiting time = 0.00017918087542057037 | Resolution time = 0.00016472581773996353 | Resolution type = None
Job 182: Waiting time = 0.00020755454897880554 | Resolution time = 0.00019329693168401718 | Resolution type = None
Job 183: Waiting time = 0.00018609873950481415 | Resolution time = 0.00017333123832941055 | Resolution type = None
Job 184: Waiting time = 0.00019064918160438538 | Resolution time = 0.00017677340656518936 | Resolution type = None
Job 185: Waiting time = 0.00018179882317781448 | Resolution time = 0.00016657449305057526 | Resolution type = None
Job 186: Waiting time = 0.00020776595920324326 | Resolution time = 0.00019286945462226868 | Resolution type = None
Job 187: Waiting time = 0.00020319782197475433 | Resolution time = 0.00017896294593811035 | Resolution type = None
Job 188: Waiting time = 0.00020095612853765488 | Resolution time = 0.00018638651818037033 | Resolution type = None
Job 189: Waiting time = 0.00021334458142518997 | Resolution time = 0.00019811652600765228 | Resolution type = None
Job 190: Waiting time = 0.00020773336291313171 | Resolution time = 0.00019390322268009186 | Resolution type = None
Job 191: Waiting time = 0.00020285788923501968 | Resolution time = 0.0001874854788184166 | Resolution type = None
Job 192: Waiting time = 0.0002590669319033623 | Resolution time = 0.0002463255077600479 | Resolution type = None
Job 193: Waiting time = 0.00021440163254737854 | Resolution time = 0.00020025204867124557 | Resolution type = None
Job 194: Waiting time = 0.00021543074399232864 | Resolution time = 0.0002018306404352188 | Resolution type = None
Job 195: Waiting time = 0.00017863605171442032 | Resolution time = 0.00016656704246997833 | Resolution type = None
Job 196: Waiting time = 0.00024061556905508041 | Resolution time = 0.0002267519012093544 | Resolution type = None
Job 197: Waiting time = 0.00020271353423595428 | Resolution time = 0.0001901211217045784 | Resolution type = None
Job 198: Waiting time = 0.00018499977886676788 | Resolution time = 0.00016998406499624252 | Resolution type = None
Job 199: Waiting time = 0.00018032081425189972 | Resolution time = 0.00016575492918491364 | Resolution type = None
Job 200: Waiting time = 0.0002058316022157669 | Resolution time = 0.00019136909395456314 | Resolution type = None
Job 201: Waiting time = 0.00020305439829826355 | Resolution time = 0.00018843170255422592 | Resolution type = None
Job 202: Waiting time = 0.00020564720034599304 | Resolution time = 0.00019349902868270874 | Resolution type = None
Job 203: Waiting time = 0.00019680988043546677 | Resolution time = 0.0001820707693696022 | Resolution type = None
Job 204: Waiting time = 0.0002045314759016037 | Resolution time = 0.0001896331086754799 | Resolution type = None
Job 205: Waiting time = 0.00016885995864868164 | Resolution time = 0.00015581492334604263 | Resolution type = None
Job 206: Waiting time = 0.00021887850016355515 | Resolution time = 0.00020220130681991577 | Resolution type = None
Job 207: Waiting time = 0.00019847135990858078 | Resolution time = 0.00018387474119663239 | Resolution type = None
Job 208: Waiting time = 0.00020381901413202286 | Resolution time = 0.0001905178651213646 | Resolution type = None
Job 209: Waiting time = 0.00018795859068632126 | Resolution time = 0.00017276406288146973 | Resolution type = None
Job 210: Waiting time = 0.00022872257977724075 | Resolution time = 0.00021585356444120407 | Resolution type = None
Job 211: Waiting time = 0.0002134302631020546 | Resolution time = 0.0001985020935535431 | Resolution type = None
Job 212: Waiting time = 0.00021239370107650757 | Resolution time = 0.00019839685410261154 | Resolution type = None
Job 213: Waiting time = 0.00019730348140001297 | Resolution time = 0.00018223747611045837 | Resolution type = None
Job 214: Waiting time = 0.00024517253041267395 | Resolution time = 0.00022378657013177872 | Resolution type = None
Job 215: Waiting time = 0.0003577573224902153 | Resolution time = 0.00034322869032621384 | Resolution type = None
Job 216: Waiting time = 0.0002574017271399498 | Resolution time = 0.00024199392646551132 | Resolution type = None
Job 217: Waiting time = 0.00019272230565547943 | Resolution time = 0.0001803319901227951 | Resolution type = None
Job 218: Waiting time = 0.0002038087695837021 | Resolution time = 0.00018922612071037292 | Resolution type = None
Job 219: Waiting time = 0.00031390879303216934 | Resolution time = 0.00021472666412591934 | Resolution type = None
Job 220: Waiting time = 0.00021832622587680817 | Resolution time = 0.00020360108464956284 | Resolution type = None
Job 221: Waiting time = 0.00024428311735391617 | Resolution time = 0.0002302415668964386 | Resolution type = None
Job 222: Waiting time = 0.00020648352801799774 | Resolution time = 0.00019150041043758392 | Resolution type = None
Job 223: Waiting time = 0.0002185683697462082 | Resolution time = 0.0002033878117799759 | Resolution type = None
Job 224: Waiting time = 0.0002057887613773346 | Resolution time = 0.00019136909395456314 | Resolution type = None
Job 225: Waiting time = 0.00019049271941184998 | Resolution time = 0.00017567817121744156 | Resolution type = None
Job 226: Waiting time = 0.0002637123689055443 | Resolution time = 0.00025016721338033676 | Resolution type = None
Job 227: Waiting time = 0.00020822323858737946 | Resolution time = 0.00019533000886440277 | Resolution type = None
Job 228: Waiting time = 0.00023048371076583862 | Resolution time = 0.0002153497189283371 | Resolution type = None

----- VACATION Started -----
Start time: 3.000253085978329
Duration: 11.656767148524523
Jobs in the system: 884
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 229: Waiting time = 11.657835467718542 | Resolution time = 0.0016551520675420761 | Resolution type = None
Job 230: Waiting time = 11.645323811098933 | Resolution time = 0.0007119309157133102 | Resolution type = None
Job 231: Waiting time = 11.63618515059352 | Resolution time = 0.0007208604365587234 | Resolution type = None
Job 232: Waiting time = 11.61464867554605 | Resolution time = 0.0007191868498921394 | Resolution type = None
Job 233: Waiting time = 11.601042494177818 | Resolution time = 0.000643385574221611 | Resolution type = None
Job 234: Waiting time = 11.589861652813852 | Resolution time = 0.0006921682506799698 | Resolution type = None
Job 235: Waiting time = 11.574513234198093 | Resolution time = 0.0006574969738721848 | Resolution type = None
Job 236: Waiting time = 11.56493201199919 | Resolution time = 0.0006184354424476624 | Resolution type = None
Job 237: Waiting time = 11.547094165347517 | Resolution time = 0.0006932299584150314 | Resolution type = None
Job 238: Waiting time = 11.539583013392985 | Resolution time = 0.0007497267797589302 | Resolution type = None
Job 239: Waiting time = 11.530065027996898 | Resolution time = 0.0007133595645427704 | Resolution type = None
Job 240: Waiting time = 11.511675214394927 | Resolution time = 0.0007723849266767502 | Resolution type = None
Job 241: Waiting time = 11.504081977531314 | Resolution time = 0.0007135495543479919 | Resolution type = None
Job 242: Waiting time = 11.494162200018764 | Resolution time = 0.000688101164996624 | Resolution type = None
Job 243: Waiting time = 11.4855868043378 | Resolution time = 0.0006667030975222588 | Resolution type = None
Job 244: Waiting time = 11.475102114491165 | Resolution time = 0.0006353175267577171 | Resolution type = None
Job 245: Waiting time = 11.459781697019935 | Resolution time = 0.0006638253107666969 | Resolution type = None
Job 246: Waiting time = 11.449232856743038 | Resolution time = 0.0007048929110169411 | Resolution type = None
Job 247: Waiting time = 11.433433527126908 | Resolution time = 0.000727066770195961 | Resolution type = None
Job 248: Waiting time = 11.421178265474737 | Resolution time = 0.0007225312292575836 | Resolution type = None
Job 249: Waiting time = 11.412036530673504 | Resolution time = 0.001642635092139244 | Resolution type = None
Job 250: Waiting time = 11.401069166138768 | Resolution time = 0.0012801699340343475 | Resolution type = None
Job 251: Waiting time = 11.388559963554144 | Resolution time = 0.0007055951282382011 | Resolution type = None
Job 252: Waiting time = 11.373223716393113 | Resolution time = 0.0009085303172469139 | Resolution type = None
Job 253: Waiting time = 11.361649384722114 | Resolution time = 0.0006675375625491142 | Resolution type = None
Job 254: Waiting time = 11.351074131205678 | Resolution time = 0.0007458170875906944 | Resolution type = None
Job 255: Waiting time = 11.341073885560036 | Resolution time = 0.0007074475288391113 | Resolution type = None
