Job 1: Waiting time = 0.0014223791658878326 | Resolution time = 0.0014015650376677513 | Resolution type = None
Job 2: Waiting time = 0.000938895158469677 | Resolution time = 0.0009209336712956429 | Resolution type = None
Job 3: Waiting time = 0.00032987259328365326 | Resolution time = 0.00031064171344041824 | Resolution type = Policy
Job 4: Waiting time = 0.0011249585077166557 | Resolution time = 0.00109895970672369 | Resolution type = None
Job 5: Waiting time = 0.00015925895422697067 | Resolution time = 0.000143430195748806 | Resolution type = Policy
Job 6: Waiting time = 0.00012217368930578232 | Resolution time = 0.00010915379971265793 | Resolution type = Policy
Job 7: Waiting time = 0.0009340550750494003 | Resolution time = 0.0009200843051075935 | Resolution type = None
Job 8: Waiting time = 0.00024608150124549866 | Resolution time = 0.00023323390632867813 | Resolution type = Policy
Job 9: Waiting time = 0.0009089382365345955 | Resolution time = 0.0008960999548435211 | Resolution type = None
Job 10: Waiting time = 0.0001719025894999504 | Resolution time = 0.00015909690409898758 | Resolution type = Policy
Job 11: Waiting time = 0.0009324681013822556 | Resolution time = 0.0009172922000288963 | Resolution type = None
Job 12: Waiting time = 0.0010500876232981682 | Resolution time = 0.0010332940146327019 | Resolution type = None
Job 13: Waiting time = 0.0006214110180735588 | Resolution time = 0.0006085503846406937 | Resolution type = Policy
Job 14: Waiting time = 8.553732186555862e-05 | Resolution time = 7.350556552410126e-05 | Resolution type = Policy
Job 15: Waiting time = 0.0007121069356799126 | Resolution time = 0.0006988560780882835 | Resolution type = None
Job 16: Waiting time = 0.0007054135203361511 | Resolution time = 0.0006926795467734337 | Resolution type = None
Job 17: Waiting time = 0.0007391413673758507 | Resolution time = 0.000723925419151783 | Resolution type = None
Job 18: Waiting time = 0.0011808928102254868 | Resolution time = 0.001163966953754425 | Resolution type = None
Job 19: Waiting time = 0.001112811267375946 | Resolution time = 0.0010997466742992401 | Resolution type = None
Job 20: Waiting time = 0.0006066663190722466 | Resolution time = 0.0005903569981455803 | Resolution type = Policy
Job 21: Waiting time = 0.000876336358487606 | Resolution time = 0.0008618421852588654 | Resolution type = None
Job 22: Waiting time = 0.0006679641082882881 | Resolution time = 0.0006537158042192459 | Resolution type = None
Job 23: Waiting time = 0.0001707039773464203 | Resolution time = 5.1004812121391296e-05 | Resolution type = Policy
Job 24: Waiting time = 0.0009991955012083054 | Resolution time = 0.0009867576882243156 | Resolution type = None
