Job 65: Waiting time = 0.0009627090767025948 | Resolution time = 0.0009495029225945473 | Resolution type = None
Job 66: Waiting time = 0.0009213797748088837 | Resolution time = 0.000903780572116375 | Resolution type = Policy
Job 67: Waiting time = 0.00023016054183244705 | Resolution time = 0.00011390447616577148 | Resolution type = Policy
Job 68: Waiting time = 0.0009585898369550705 | Resolution time = 0.0009458716958761215 | Resolution type = Policy
Job 69: Waiting time = 0.00064059067517519 | Resolution time = 0.0006280858069658279 | Resolution type = Policy
Job 70: Waiting time = 0.0010365266352891922 | Resolution time = 0.001012633554637432 | Resolution type = None
Job 71: Waiting time = 0.0013863341882824898 | Resolution time = 0.0013708174228668213 | Resolution type = None
Job 72: Waiting time = 0.0007725171744823456 | Resolution time = 0.0007582884281873703 | Resolution type = Policy
Job 73: Waiting time = 0.0010041743516921997 | Resolution time = 0.0009903917089104652 | Resolution type = None
Job 74: Waiting time = 0.0003361701965332031 | Resolution time = 0.00032316893339157104 | Resolution type = Policy
Job 75: Waiting time = 0.00041497405618429184 | Resolution time = 0.00039902515709400177 | Resolution type = Policy
Job 76: Waiting time = 0.0010959096252918243 | Resolution time = 0.0010756691917777061 | Resolution type = None
Job 77: Waiting time = 0.001067059114575386 | Resolution time = 0.001053614541888237 | Resolution type = None
Job 78: Waiting time = 0.0009316029027104378 | Resolution time = 0.0009112805128097534 | Resolution type = Policy
Job 79: Waiting time = 0.0008597932755947113 | Resolution time = 0.0008449535816907883 | Resolution type = Policy
Job 80: Waiting time = 0.0013991538435220718 | Resolution time = 0.0013853581622242928 | Resolution type = None
Job 81: Waiting time = 0.001372416503727436 | Resolution time = 0.0013587968423962593 | Resolution type = None
Job 82: Waiting time = 0.0013970714062452316 | Resolution time = 0.0013825548812747002 | Resolution type = None
Job 83: Waiting time = 0.0012707840651273727 | Resolution time = 0.0012557394802570343 | Resolution type = None
Job 84: Waiting time = 0.0004482734948396683 | Resolution time = 0.0004358021542429924 | Resolution type = Policy
Job 85: Waiting time = 0.000291687436401844 | Resolution time = 0.00027660001069307327 | Resolution type = Policy
Job 86: Waiting time = 0.0015294142067432404 | Resolution time = 0.001498316414654255 | Resolution type = None
Job 87: Waiting time = 0.001084599643945694 | Resolution time = 0.0010607624426484108 | Resolution type = None
Job 88: Waiting time = 0.00023066066205501556 | Resolution time = 0.00021639931946992874 | Resolution type = Policy
Job 89: Waiting time = 0.0013972753658890724 | Resolution time = 0.0013846084475517273 | Resolution type = None
Job 90: Waiting time = 0.0010454338043928146 | Resolution time = 0.0010220948606729507 | Resolution type = None
Job 91: Waiting time = 0.001279979944229126 | Resolution time = 0.0012631136924028397 | Resolution type = None
Job 92: Waiting time = 0.0011668559163808823 | Resolution time = 0.0011536497622728348 | Resolution type = None
Job 93: Waiting time = 0.0008742436766624451 | Resolution time = 0.0008607096970081329 | Resolution type = None
Job 94: Waiting time = 0.0009087761864066124 | Resolution time = 0.0008876807987689972 | Resolution type = Policy
Job 95: Waiting time = 0.0011864323168992996 | Resolution time = 0.0011719977483153343 | Resolution type = None
Job 96: Waiting time = 0.000416596420109272 | Resolution time = 0.0004017530009150505 | Resolution type = Policy
Job 97: Waiting time = 0.0008370624855160713 | Resolution time = 0.0008090585470199585 | Resolution type = Policy
Job 98: Waiting time = 0.0009442334994673729 | Resolution time = 0.0009313011541962624 | Resolution type = None
Job 99: Waiting time = 0.00022399518638849258 | Resolution time = 0.00019889511168003082 | Resolution type = Policy
Job 100: Waiting time = 0.0004039555788040161 | Resolution time = 0.00038299430161714554 | Resolution type = Policy
Job 101: Waiting time = 0.0014047706499695778 | Resolution time = 0.0013907244428992271 | Resolution type = None
Job 102: Waiting time = 0.000965324230492115 | Resolution time = 0.0009491406381130219 | Resolution type = Policy
Job 103: Waiting time = 0.0009020809084177017 | Resolution time = 0.0008877962827682495 | Resolution type = None
Job 104: Waiting time = 0.0005721878260374069 | Resolution time = 0.0005576387047767639 | Resolution type = Policy
Job 105: Waiting time = 0.0010956209152936935 | Resolution time = 0.0010811882093548775 | Resolution type = None
Job 106: Waiting time = 7.833261042833328e-05 | Resolution time = 6.527267396450043e-05 | Resolution type = Policy
Job 107: Waiting time = 0.0010878229513764381 | Resolution time = 0.0010720528662204742 | Resolution type = None
Job 108: Waiting time = 0.0009901737794280052 | Resolution time = 0.0009734602645039558 | Resolution type = Policy
Job 109: Waiting time = 0.0012587262317538261 | Resolution time = 0.0012450963258743286 | Resolution type = None
Job 110: Waiting time = 0.00032936595380306244 | Resolution time = 0.0003144349902868271 | Resolution type = Policy
Job 111: Waiting time = 0.0012935986742377281 | Resolution time = 0.001269943080842495 | Resolution type = None
Job 112: Waiting time = 0.0006154933944344521 | Resolution time = 0.0006004851311445236 | Resolution type = Policy
Job 113: Waiting time = 0.0009648846462368965 | Resolution time = 0.0009502284228801727 | Resolution type = Policy
Job 114: Waiting time = 0.0009715063497424126 | Resolution time = 0.000958513468503952 | Resolution type = None
Job 115: Waiting time = 0.0006623193621635437 | Resolution time = 0.000643228180706501 | Resolution type = Policy
Job 116: Waiting time = 0.0011518634855747223 | Resolution time = 0.001138901337981224 | Resolution type = None
Job 117: Waiting time = 0.000566006638109684 | Resolution time = 0.0005488255992531776 | Resolution type = Policy
Job 118: Waiting time = 0.0015138546004891396 | Resolution time = 0.0014925645664334297 | Resolution type = None
Job 119: Waiting time = 0.0013614492490887642 | Resolution time = 0.001339837908744812 | Resolution type = None
Job 120: Waiting time = 0.0009922916069626808 | Resolution time = 0.0009618615731596947 | Resolution type = None
Job 121: Waiting time = 0.0013228096067905426 | Resolution time = 0.0012058857828378677 | Resolution type = None
Job 122: Waiting time = 0.0012623677030205727 | Resolution time = 0.0012460686266422272 | Resolution type = None
Job 123: Waiting time = 0.0012522060424089432 | Resolution time = 0.0012361174449324608 | Resolution type = None
Job 124: Waiting time = 0.0007322374731302261 | Resolution time = 0.0007185554131865501 | Resolution type = Policy
Job 125: Waiting time = 6.918609142303467e-05 | Resolution time = 5.4243020713329315e-05 | Resolution type = Policy
Job 126: Waiting time = 0.00013284943997859955 | Resolution time = 0.00011933315545320511 | Resolution type = Policy
Job 127: Waiting time = 0.0008624214679002762 | Resolution time = 0.0008489275351166725 | Resolution type = Policy
Job 128: Waiting time = 0.0009176936000585556 | Resolution time = 0.0009052874520421028 | Resolution type = None
Job 129: Waiting time = 0.0011960109695792198 | Resolution time = 0.0011838637292385101 | Resolution type = None
Job 130: Waiting time = 0.0005767242982983589 | Resolution time = 0.000564059242606163 | Resolution type = Policy
Job 131: Waiting time = 0.0009023621678352356 | Resolution time = 0.0008893059566617012 | Resolution type = None
Job 132: Waiting time = 0.0013811225071549416 | Resolution time = 0.001347426325082779 | Resolution type = None
Job 133: Waiting time = 0.0011576144024729729 | Resolution time = 0.0011385157704353333 | Resolution type = None
Job 134: Waiting time = 0.0008734604343771935 | Resolution time = 0.0008580246940255165 | Resolution type = None
Job 135: Waiting time = 0.00034626852720975876 | Resolution time = 0.00033206865191459656 | Resolution type = Policy
Job 136: Waiting time = 0.0007862094789743423 | Resolution time = 0.0007734904065728188 | Resolution type = Policy
Job 137: Waiting time = 0.0004771687090396881 | Resolution time = 0.0004409532994031906 | Resolution type = Policy
Job 138: Waiting time = 0.0012091798707842827 | Resolution time = 0.0011954037472605705 | Resolution type = None
Job 139: Waiting time = 0.001345394179224968 | Resolution time = 0.0013316459953784943 | Resolution type = None
Job 140: Waiting time = 0.0009348848834633827 | Resolution time = 0.0009186007082462311 | Resolution type = None
Job 141: Waiting time = 0.0011716466397047043 | Resolution time = 0.0010720044374465942 | Resolution type = None
Job 142: Waiting time = 0.001362779177725315 | Resolution time = 0.0013473667204380035 | Resolution type = None
Job 143: Waiting time = 0.001004522666335106 | Resolution time = 0.0009897137060761452 | Resolution type = None
Job 144: Waiting time = 0.0008922722190618515 | Resolution time = 0.0008778199553489685 | Resolution type = Policy
Job 145: Waiting time = 0.001348576508462429 | Resolution time = 0.0013338597491383553 | Resolution type = None
Job 146: Waiting time = 0.0004879431799054146 | Resolution time = 0.00046203751116991043 | Resolution type = Policy
Job 147: Waiting time = 0.001208735629916191 | Resolution time = 0.0011938419193029404 | Resolution type = None
Job 148: Waiting time = 0.0012494083493947983 | Resolution time = 0.0012340676039457321 | Resolution type = None
Job 149: Waiting time = 0.0012247171252965927 | Resolution time = 0.0012103365734219551 | Resolution type = None
Job 150: Waiting time = 0.0001740744337439537 | Resolution time = 0.0001564091071486473 | Resolution type = Policy
Job 151: Waiting time = 0.0012185107916593552 | Resolution time = 0.0012041274458169937 | Resolution type = None
Job 152: Waiting time = 0.0013314634561538696 | Resolution time = 0.001316482201218605 | Resolution type = None
Job 153: Waiting time = 0.00015027355402708054 | Resolution time = 0.0001377509906888008 | Resolution type = Policy
