Job 66: Waiting time = 0.00027213897556066513 | Resolution time = 0.0001583527773618698 | Resolution type = None
Job 67: Waiting time = 0.00020182225853204727 | Resolution time = 0.0001835627481341362 | Resolution type = None
Job 68: Waiting time = 0.00013548415154218674 | Resolution time = 0.00012099184095859528 | Resolution type = None
Job 69: Waiting time = 0.00018248986452817917 | Resolution time = 0.00016783084720373154 | Resolution type = None
Job 70: Waiting time = 0.00016372092068195343 | Resolution time = 0.00014663953334093094 | Resolution type = None
Job 71: Waiting time = 0.00018020346760749817 | Resolution time = 0.0001661265268921852 | Resolution type = None
Job 72: Waiting time = 0.00016651209443807602 | Resolution time = 0.00015247054398059845 | Resolution type = None
Job 73: Waiting time = 0.00015502143651247025 | Resolution time = 0.00014150980859994888 | Resolution type = None
Job 74: Waiting time = 0.00018269754946231842 | Resolution time = 0.0001689661294221878 | Resolution type = None
Job 75: Waiting time = 0.00015823263674974442 | Resolution time = 0.00014431867748498917 | Resolution type = None
Job 76: Waiting time = 0.0001742485910654068 | Resolution time = 0.00015984755009412766 | Resolution type = None
Job 77: Waiting time = 0.00024657975882291794 | Resolution time = 0.00013374071568250656 | Resolution type = None
Job 78: Waiting time = 0.00017903558909893036 | Resolution time = 0.0001655248925089836 | Resolution type = None
Job 79: Waiting time = 0.00018941238522529602 | Resolution time = 0.0001739664003252983 | Resolution type = None
Job 80: Waiting time = 0.00013534165918827057 | Resolution time = 0.0001222267746925354 | Resolution type = None
Job 81: Waiting time = 0.00015318207442760468 | Resolution time = 0.00013704318553209305 | Resolution type = None
Job 82: Waiting time = 0.00017551612108945847 | Resolution time = 0.000161781907081604 | Resolution type = None
Job 83: Waiting time = 0.0001701805740594864 | Resolution time = 0.0001501990482211113 | Resolution type = None
Job 84: Waiting time = 0.00017921626567840576 | Resolution time = 0.00016373023390769958 | Resolution type = None
Job 85: Waiting time = 0.00017705373466014862 | Resolution time = 0.00016171857714653015 | Resolution type = None
Job 86: Waiting time = 0.00013665854930877686 | Resolution time = 0.0001238752156496048 | Resolution type = None
Job 87: Waiting time = 0.00018585752695798874 | Resolution time = 0.00016708578914403915 | Resolution type = None
Job 88: Waiting time = 0.00017109792679548264 | Resolution time = 0.00015689432621002197 | Resolution type = None
Job 89: Waiting time = 0.00020010117441415787 | Resolution time = 0.00018584541976451874 | Resolution type = None
Job 90: Waiting time = 0.00022409018129110336 | Resolution time = 0.0002025701105594635 | Resolution type = None
Job 91: Waiting time = 0.0002891533076763153 | Resolution time = 0.0001682564616203308 | Resolution type = None
Job 92: Waiting time = 0.00020272471010684967 | Resolution time = 0.00018205121159553528 | Resolution type = None
Job 93: Waiting time = 0.0001746630296111107 | Resolution time = 0.00016088783740997314 | Resolution type = None
Job 94: Waiting time = 0.00024896953254938126 | Resolution time = 0.00022750068455934525 | Resolution type = None
Job 95: Waiting time = 0.00017324741929769516 | Resolution time = 0.00015929248183965683 | Resolution type = None
Job 96: Waiting time = 0.0003061853349208832 | Resolution time = 0.00018482748419046402 | Resolution type = None
Job 97: Waiting time = 0.0001504514366388321 | Resolution time = 0.00013648532330989838 | Resolution type = None
Job 98: Waiting time = 0.0003241579979658127 | Resolution time = 0.0003095753490924835 | Resolution type = None
Job 99: Waiting time = 0.00020747631788253784 | Resolution time = 0.00019340403378009796 | Resolution type = None
Job 100: Waiting time = 0.00017530005425214767 | Resolution time = 0.0001622624695301056 | Resolution type = None
Job 101: Waiting time = 0.000250302255153656 | Resolution time = 0.0002236347645521164 | Resolution type = None
Job 102: Waiting time = 0.00018366239964962006 | Resolution time = 0.0001704879105091095 | Resolution type = None
Job 103: Waiting time = 0.00020043645054101944 | Resolution time = 0.00018501654267311096 | Resolution type = None
Job 104: Waiting time = 0.00023058615624904633 | Resolution time = 0.00020961090922355652 | Resolution type = None
Job 105: Waiting time = 0.00019320286810398102 | Resolution time = 0.00017957668751478195 | Resolution type = None
Job 106: Waiting time = 0.00018240232020616531 | Resolution time = 0.00016617029905319214 | Resolution type = None
Job 107: Waiting time = 0.0001873224973678589 | Resolution time = 0.00017441809177398682 | Resolution type = None
Job 108: Waiting time = 0.00020632892847061157 | Resolution time = 0.000192178413271904 | Resolution type = None
Job 109: Waiting time = 0.0002054218202829361 | Resolution time = 0.00019199959933757782 | Resolution type = None
Job 110: Waiting time = 0.00017572753131389618 | Resolution time = 0.00016207341104745865 | Resolution type = None
Job 111: Waiting time = 0.00022634677588939667 | Resolution time = 0.00021005142480134964 | Resolution type = None
Job 112: Waiting time = 0.0002168668434023857 | Resolution time = 0.00020348560065031052 | Resolution type = None
Job 113: Waiting time = 0.0002835802733898163 | Resolution time = 0.00017103739082813263 | Resolution type = None
Job 114: Waiting time = 0.00023488420993089676 | Resolution time = 0.00021913088858127594 | Resolution type = None
Job 115: Waiting time = 0.00018586311489343643 | Resolution time = 0.000170181505382061 | Resolution type = None
Job 116: Waiting time = 0.00020924676209688187 | Resolution time = 0.00019712746143341064 | Resolution type = None
Job 117: Waiting time = 0.00022923946380615234 | Resolution time = 0.00019973423331975937 | Resolution type = None
Job 118: Waiting time = 0.00019438937306404114 | Resolution time = 0.00017979368567466736 | Resolution type = None
Job 119: Waiting time = 0.00018825847655534744 | Resolution time = 0.00017376523464918137 | Resolution type = None
Job 120: Waiting time = 0.00024490151554346085 | Resolution time = 0.00022084638476371765 | Resolution type = None
Job 121: Waiting time = 0.00022142846137285233 | Resolution time = 0.00020662974566221237 | Resolution type = None
Job 122: Waiting time = 0.00023200735449790955 | Resolution time = 0.00021835975348949432 | Resolution type = None
Job 123: Waiting time = 0.0002326667308807373 | Resolution time = 0.00021837931126356125 | Resolution type = None
Job 124: Waiting time = 0.0002258848398923874 | Resolution time = 0.00021243374794721603 | Resolution type = None
Job 125: Waiting time = 0.00020761601626873016 | Resolution time = 0.00019435863941907883 | Resolution type = None
Job 126: Waiting time = 0.0002094106748700142 | Resolution time = 0.00019561871886253357 | Resolution type = None
Job 127: Waiting time = 0.00020336080342531204 | Resolution time = 0.00019006617367267609 | Resolution type = None
Job 128: Waiting time = 0.0002508135512471199 | Resolution time = 0.0002369750291109085 | Resolution type = None
Job 129: Waiting time = 0.0003168554976582527 | Resolution time = 0.00029939040541648865 | Resolution type = None
Job 130: Waiting time = 0.0003143688663840294 | Resolution time = 0.00020377710461616516 | Resolution type = None
Job 131: Waiting time = 0.00021031033247709274 | Resolution time = 0.000195247121155262 | Resolution type = None
Job 132: Waiting time = 0.00021591223776340485 | Resolution time = 0.00020273961126804352 | Resolution type = None
Job 133: Waiting time = 0.00020223576575517654 | Resolution time = 0.0001889234408736229 | Resolution type = None
Job 134: Waiting time = 0.00023724883794784546 | Resolution time = 0.0002239421010017395 | Resolution type = None
Job 135: Waiting time = 0.0003085825592279434 | Resolution time = 0.000204392708837986 | Resolution type = None
Job 136: Waiting time = 0.00023725628852844238 | Resolution time = 0.00022395234555006027 | Resolution type = None
Job 137: Waiting time = 0.00020753499120473862 | Resolution time = 0.00019374582916498184 | Resolution type = None
Job 138: Waiting time = 0.00024368613958358765 | Resolution time = 0.00022910069674253464 | Resolution type = None
Job 139: Waiting time = 0.0002678530290722847 | Resolution time = 0.00025254301726818085 | Resolution type = None
Job 140: Waiting time = 0.00038620922714471817 | Resolution time = 0.0002495851367712021 | Resolution type = None
Job 141: Waiting time = 0.00025450997054576874 | Resolution time = 0.00024116132408380508 | Resolution type = None
Job 142: Waiting time = 0.0002602525055408478 | Resolution time = 0.0002301996573805809 | Resolution type = None
Job 143: Waiting time = 0.00024417415261268616 | Resolution time = 0.00023248512297868729 | Resolution type = None
