Job 65: Waiting time = 0.0005473783239722252 | Resolution time = 0.0005323179066181183 | Resolution type = Policy
Job 66: Waiting time = 0.00029175402596592903 | Resolution time = 0.0002776309847831726 | Resolution type = Policy
Job 67: Waiting time = 0.0006665429100394249 | Resolution time = 0.000650492962449789 | Resolution type = Policy
Job 68: Waiting time = 0.001256715040653944 | Resolution time = 0.00124324019998312 | Resolution type = None
Job 69: Waiting time = 0.0011995090171694756 | Resolution time = 0.0011847061105072498 | Resolution type = None
Job 70: Waiting time = 0.001119603868573904 | Resolution time = 0.0011030822061002254 | Resolution type = None
Job 71: Waiting time = 0.0005283067002892494 | Resolution time = 0.0005112788639962673 | Resolution type = Policy
Job 72: Waiting time = 0.00042303232476115227 | Resolution time = 0.00040654465556144714 | Resolution type = Policy
Job 73: Waiting time = 0.0007859007455408573 | Resolution time = 0.0007741148583590984 | Resolution type = Policy
Job 74: Waiting time = 0.0012013548985123634 | Resolution time = 0.0011819340288639069 | Resolution type = None
Job 75: Waiting time = 0.0006354749202728271 | Resolution time = 0.0005249199457466602 | Resolution type = Policy
Job 76: Waiting time = 0.00043060723692178726 | Resolution time = 0.0004075998440384865 | Resolution type = Policy
Job 77: Waiting time = 0.0011078296229243279 | Resolution time = 0.0010909782722592354 | Resolution type = None
Job 78: Waiting time = 0.0007998389191925526 | Resolution time = 0.0007844390347599983 | Resolution type = Policy
Job 79: Waiting time = 0.00010971305891871452 | Resolution time = 9.109405800700188e-05 | Resolution type = Policy
Job 80: Waiting time = 0.001085792202502489 | Resolution time = 0.00107180280610919 | Resolution type = None
Job 81: Waiting time = 0.001034867949783802 | Resolution time = 0.0010188673622906208 | Resolution type = None
Job 82: Waiting time = 0.0005845190025866032 | Resolution time = 0.0005692620761692524 | Resolution type = Policy
Job 83: Waiting time = 0.001066234428435564 | Resolution time = 0.0010463735088706017 | Resolution type = None
Job 84: Waiting time = 0.0007213596254587173 | Resolution time = 0.0006915200501680374 | Resolution type = Policy
Job 85: Waiting time = 0.00031126290559768677 | Resolution time = 0.00018114689737558365 | Resolution type = Policy
Job 86: Waiting time = 0.0003205593675374985 | Resolution time = 0.00030627381056547165 | Resolution type = Policy
Job 87: Waiting time = 0.0006306320428848267 | Resolution time = 0.0006045219488441944 | Resolution type = Policy
Job 88: Waiting time = 0.001256382092833519 | Resolution time = 0.0012396047823131084 | Resolution type = None
Job 89: Waiting time = 0.0012199520133435726 | Resolution time = 0.001206718385219574 | Resolution type = None
Job 90: Waiting time = 0.001177238766103983 | Resolution time = 0.0011614416725933552 | Resolution type = None
Job 91: Waiting time = 0.000386958010494709 | Resolution time = 0.0003391709178686142 | Resolution type = Policy
Job 92: Waiting time = 0.0011414648033678532 | Resolution time = 0.0011265529319643974 | Resolution type = None
Job 93: Waiting time = 0.00027734600007534027 | Resolution time = 0.00026211468502879143 | Resolution type = Policy
Job 94: Waiting time = 0.00032002897933125496 | Resolution time = 0.0003042537719011307 | Resolution type = Policy
Job 95: Waiting time = 0.0011797789484262466 | Resolution time = 0.0011613392271101475 | Resolution type = None
Job 96: Waiting time = 0.0012258747592568398 | Resolution time = 0.0012098541483283043 | Resolution type = None
Job 97: Waiting time = 0.0011969790793955326 | Resolution time = 0.0011823601089417934 | Resolution type = None
Job 98: Waiting time = 0.0010904553346335888 | Resolution time = 0.001067273784428835 | Resolution type = None
Job 99: Waiting time = 0.00016842689365148544 | Resolution time = 0.00015422003343701363 | Resolution type = Policy
Job 100: Waiting time = 0.0010907161049544811 | Resolution time = 0.0010770498774945736 | Resolution type = None
Job 101: Waiting time = 0.0011369693093001842 | Resolution time = 0.0011207722127437592 | Resolution type = None
Job 102: Waiting time = 0.0002043512649834156 | Resolution time = 0.00017706304788589478 | Resolution type = Policy
Job 103: Waiting time = 0.001123014371842146 | Resolution time = 0.0011059478856623173 | Resolution type = None
Job 104: Waiting time = 0.00013105059042572975 | Resolution time = 0.00011712778359651566 | Resolution type = Policy
Job 105: Waiting time = 0.0005680769681930542 | Resolution time = 0.0005519790574908257 | Resolution type = Policy
Job 106: Waiting time = 0.001100313849747181 | Resolution time = 0.00107958959415555 | Resolution type = None
Job 107: Waiting time = 0.0011767777614295483 | Resolution time = 0.0011605974286794662 | Resolution type = None
Job 108: Waiting time = 0.0008659278973937035 | Resolution time = 0.0007484541274607182 | Resolution type = Policy
Job 109: Waiting time = 0.0010345797054469585 | Resolution time = 0.0010208748281002045 | Resolution type = None
Job 110: Waiting time = 0.0009525292553007603 | Resolution time = 0.000937111210078001 | Resolution type = None
Job 111: Waiting time = 0.0009918422438204288 | Resolution time = 0.0009753820486366749 | Resolution type = None
Job 112: Waiting time = 0.0014282409101724625 | Resolution time = 0.0014082789421081543 | Resolution type = None
Job 113: Waiting time = 9.845290333032608e-05 | Resolution time = 8.53310339152813e-05 | Resolution type = Policy
