--- Normal Period 2 starts... ---
Job 65: Waiting time = 11.918075367808342 | Resolution time = 0.0015352638438344002 | Resolution type = None
Job 66: Waiting time = 11.720924469642341 | Resolution time = 0.0006117578595876694 | Resolution type = None
Job 67: Waiting time = 11.504698041826487 | Resolution time = 0.0005903448909521103 | Resolution type = None
Job 68: Waiting time = 11.291027608327568 | Resolution time = 0.0006139487959444523 | Resolution type = None
Job 69: Waiting time = 11.10081538092345 | Resolution time = 0.0006613028235733509 | Resolution type = None
Job 70: Waiting time = 10.913831790909171 | Resolution time = 0.0006216242909431458 | Resolution type = None
Job 71: Waiting time = 10.719448785763234 | Resolution time = 0.0006228960119187832 | Resolution type = None
Job 72: Waiting time = 10.47541496483609 | Resolution time = 0.000589245930314064 | Resolution type = None
Job 73: Waiting time = 10.292250256985426 | Resolution time = 0.0006476016715168953 | Resolution type = None
Job 74: Waiting time = 10.089734843932092 | Resolution time = 0.0006090397946536541 | Resolution type = None
Job 75: Waiting time = 9.89847139781341 | Resolution time = 0.0006652818992733955 | Resolution type = None
Job 76: Waiting time = 9.698079403024167 | Resolution time = 0.0006157029420137405 | Resolution type = None
Job 77: Waiting time = 9.48587639303878 | Resolution time = 0.000591004267334938 | Resolution type = None
Job 78: Waiting time = 9.286696434020996 | Resolution time = 0.0006387080065906048 | Resolution type = None
Job 79: Waiting time = 9.096980222966522 | Resolution time = 0.0007178960368037224 | Resolution type = None
Job 80: Waiting time = 8.91988680511713 | Resolution time = 0.0005749473348259926 | Resolution type = None
Job 81: Waiting time = 8.739715029019862 | Resolution time = 0.0006336579099297523 | Resolution type = None
Job 82: Waiting time = 8.529673103243113 | Resolution time = 0.0006435709074139595 | Resolution type = None
Job 83: Waiting time = 8.316713626962155 | Resolution time = 0.0006494070403277874 | Resolution type = None
Job 84: Waiting time = 8.119792768731713 | Resolution time = 0.000653150025755167 | Resolution type = None
Job 85: Waiting time = 7.904466175008565 | Resolution time = 0.002012318931519985 | Resolution type = None
Job 86: Waiting time = 7.689719960093498 | Resolution time = 0.0006625000387430191 | Resolution type = None
Job 87: Waiting time = 7.491346089169383 | Resolution time = 0.0007158680818974972 | Resolution type = None
Job 88: Waiting time = 7.2834029900841415 | Resolution time = 0.000643847044557333 | Resolution type = None
Job 89: Waiting time = 7.072079456876963 | Resolution time = 0.0007577310316264629 | Resolution type = None
Job 90: Waiting time = 6.866427406203002 | Resolution time = 0.0005816719494760036 | Resolution type = None
Job 91: Waiting time = 6.689994334243238 | Resolution time = 0.0005684839561581612 | Resolution type = None
Job 92: Waiting time = 6.471641242038459 | Resolution time = 0.0006218920461833477 | Resolution type = None
Job 93: Waiting time = 6.2831758740358055 | Resolution time = 0.0006155399605631828 | Resolution type = None
Job 94: Waiting time = 6.0821829829365015 | Resolution time = 0.0005921646952629089 | Resolution type = None
Job 95: Waiting time = 5.883668208960444 | Resolution time = 0.0005643740296363831 | Resolution type = None
Job 96: Waiting time = 5.665868985000998 | Resolution time = 0.0005838498473167419 | Resolution type = None
Job 97: Waiting time = 5.461739623919129 | Resolution time = 0.000614384189248085 | Resolution type = None
Job 98: Waiting time = 5.241393931210041 | Resolution time = 0.0005961088463664055 | Resolution type = None
Job 99: Waiting time = 5.0394882201217115 | Resolution time = 0.0006225905381143093 | Resolution type = None
Job 100: Waiting time = 4.807730813045055 | Resolution time = 0.0006592771969735622 | Resolution type = None
Job 101: Waiting time = 4.608408792875707 | Resolution time = 0.0005591758526861668 | Resolution type = None
Job 102: Waiting time = 4.397343948017806 | Resolution time = 0.0005342927761375904 | Resolution type = None
Job 103: Waiting time = 4.1848373198881745 | Resolution time = 0.000583224929869175 | Resolution type = None
Job 104: Waiting time = 3.952638597227633 | Resolution time = 0.0006309309974312782 | Resolution type = None
Job 105: Waiting time = 3.7296329899691045 | Resolution time = 0.0006387298926711082 | Resolution type = None
Job 106: Waiting time = 3.538395978976041 | Resolution time = 0.000630820170044899 | Resolution type = None
Job 107: Waiting time = 3.34690207708627 | Resolution time = 0.0006403629668056965 | Resolution type = None
Job 108: Waiting time = 3.1295499582774937 | Resolution time = 0.0005941013805568218 | Resolution type = None
Job 109: Waiting time = 2.920521107967943 | Resolution time = 0.0005580880679190159 | Resolution type = None
Job 110: Waiting time = 2.7230513198301196 | Resolution time = 0.0005570920184254646 | Resolution type = None
Job 111: Waiting time = 2.514574605040252 | Resolution time = 0.0006978409364819527 | Resolution type = None
Job 112: Waiting time = 2.3072572317905724 | Resolution time = 0.0006309621967375278 | Resolution type = None
Job 113: Waiting time = 2.1095756590366364 | Resolution time = 0.0006304248236119747 | Resolution type = None
Job 114: Waiting time = 1.8915533307008445 | Resolution time = 0.0005789571441709995 | Resolution type = None
Job 115: Waiting time = 1.6829820945858955 | Resolution time = 0.0005413093604147434 | Resolution type = None
Job 116: Waiting time = 1.488962066359818 | Resolution time = 0.0005701147019863129 | Resolution type = None
Job 117: Waiting time = 1.2898438973352313 | Resolution time = 0.0005816570483148098 | Resolution type = None
Job 118: Waiting time = 1.1008703359402716 | Resolution time = 0.0006202198565006256 | Resolution type = None
Job 119: Waiting time = 0.8833431978709996 | Resolution time = 0.0006026569753885269 | Resolution type = None
Job 120: Waiting time = 0.6669546561315656 | Resolution time = 0.0006238697096705437 | Resolution type = None
Job 121: Waiting time = 0.45454580103978515 | Resolution time = 0.0006199879571795464 | Resolution type = None
Job 122: Waiting time = 0.2286096620373428 | Resolution time = 0.0005705589428544044 | Resolution type = None
Job 123: Waiting time = 0.02133331773802638 | Resolution time = 0.0006080572493374348 | Resolution type = None
Job 124: Waiting time = 0.0007144799456000328 | Resolution time = 0.0007001776248216629 | Resolution type = None
Job 125: Waiting time = 0.0006921272724866867 | Resolution time = 0.0006772950291633606 | Resolution type = None
Job 126: Waiting time = 0.0007920670323073864 | Resolution time = 0.0007755421102046967 | Resolution type = None
Job 127: Waiting time = 0.0006694290786981583 | Resolution time = 0.0006541968323290348 | Resolution type = None
Job 128: Waiting time = 0.0007455521263182163 | Resolution time = 0.0007311287336051464 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 26.18502352014184
Duration: 11.10358646698296
Jobs in the system: 54
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 10.907496702857316 | Resolution time = 0.0006729904562234879 | Resolution type = None
Job 130: Waiting time = 10.721307892352343 | Resolution time = 0.0005782041698694229 | Resolution type = None
Job 131: Waiting time = 10.524296010378748 | Resolution time = 0.0005314568988978863 | Resolution type = None
Job 132: Waiting time = 10.307990375906229 | Resolution time = 0.0005498509854078293 | Resolution type = None
Job 133: Waiting time = 10.126033985055983 | Resolution time = 0.0005941838026046753 | Resolution type = None
Job 134: Waiting time = 9.932860064320266 | Resolution time = 0.0005806386470794678 | Resolution type = None
Job 135: Waiting time = 9.7368666511029 | Resolution time = 0.0005815750919282436 | Resolution type = None
Job 136: Waiting time = 9.507806478068233 | Resolution time = 0.0005938541144132614 | Resolution type = None
Job 137: Waiting time = 9.319506412837654 | Resolution time = 0.00058739073574543 | Resolution type = None
Job 138: Waiting time = 9.109764318913221 | Resolution time = 0.0005939686670899391 | Resolution type = None
Job 139: Waiting time = 8.896197394002229 | Resolution time = 0.0005277046002447605 | Resolution type = None
Job 140: Waiting time = 8.691938024014235 | Resolution time = 0.0005803513340651989 | Resolution type = None
Job 141: Waiting time = 8.493815548717976 | Resolution time = 0.0005741091445088387 | Resolution type = None
Job 142: Waiting time = 8.271267114207149 | Resolution time = 0.0005926252342760563 | Resolution type = None
Job 143: Waiting time = 8.075817658100277 | Resolution time = 0.000552264042198658 | Resolution type = None
Job 144: Waiting time = 7.872367491945624 | Resolution time = 0.0005346843972802162 | Resolution type = None
Job 145: Waiting time = 7.660249589942396 | Resolution time = 0.0005495441146194935 | Resolution type = None
Job 146: Waiting time = 7.432305088732392 | Resolution time = 0.0005862666293978691 | Resolution type = None
Job 147: Waiting time = 7.246628289110959 | Resolution time = 0.0005400972440838814 | Resolution type = None
Job 148: Waiting time = 7.061353022232652 | Resolution time = 0.000573501456528902 | Resolution type = None
Job 149: Waiting time = 6.865274032112211 | Resolution time = 0.0005772910080850124 | Resolution type = None
Job 150: Waiting time = 6.645818751305342 | Resolution time = 0.0005454798229038715 | Resolution type = None
Job 151: Waiting time = 6.447862308938056 | Resolution time = 0.0005531869828701019 | Resolution type = None
Job 152: Waiting time = 6.248868600931019 | Resolution time = 0.0005663861520588398 | Resolution type = None
Job 153: Waiting time = 6.055577002931386 | Resolution time = 0.00056108133867383 | Resolution type = None
Job 154: Waiting time = 5.839236331637949 | Resolution time = 0.0005740681663155556 | Resolution type = None
Job 155: Waiting time = 5.641891190782189 | Resolution time = 0.0005598580464720726 | Resolution type = None
Job 156: Waiting time = 5.428747678175569 | Resolution time = 0.0005819126963615417 | Resolution type = None
Job 157: Waiting time = 5.192322648130357 | Resolution time = 0.0005638599395751953 | Resolution type = None
Job 158: Waiting time = 5.004350546281785 | Resolution time = 0.0005250358954071999 | Resolution type = None
