Job 1: Waiting time = 0.001462788786739111 | Resolution time = 0.0014458280056715012 | Resolution type = None
Job 2: Waiting time = 0.0004343567416071892 | Resolution time = 0.00041758734732866287 | Resolution type = Policy
Job 3: Waiting time = 0.0013568829745054245 | Resolution time = 0.0013411128893494606 | Resolution type = None
Job 4: Waiting time = 0.00019878707826137543 | Resolution time = 9.783916175365448e-05 | Resolution type = Policy
Job 5: Waiting time = 0.0014241398312151432 | Resolution time = 0.0014092675410211086 | Resolution type = None
Job 6: Waiting time = 0.0015111439861357212 | Resolution time = 0.0014962349086999893 | Resolution type = None
Job 7: Waiting time = 0.0014818808995187283 | Resolution time = 0.0014659399166703224 | Resolution type = None
Job 8: Waiting time = 0.0014609722420573235 | Resolution time = 0.00144664803519845 | Resolution type = None
Job 9: Waiting time = 0.0015217149630188942 | Resolution time = 0.0015075490809977055 | Resolution type = None
Job 10: Waiting time = 0.001254524104297161 | Resolution time = 0.001237279735505581 | Resolution type = Policy
Job 11: Waiting time = 0.001469296868890524 | Resolution time = 0.0014557857066392899 | Resolution type = None
Job 12: Waiting time = 0.00044793402776122093 | Resolution time = 0.00043133320286870003 | Resolution type = Policy
Job 13: Waiting time = 0.0016209552995860577 | Resolution time = 0.0016079870983958244 | Resolution type = None
Job 14: Waiting time = 0.001099522691220045 | Resolution time = 0.0010838289745151997 | Resolution type = Policy
Job 15: Waiting time = 0.00143892178311944 | Resolution time = 0.0014243591576814651 | Resolution type = None
Job 16: Waiting time = 0.00023099221289157867 | Resolution time = 0.00020367512479424477 | Resolution type = Policy
Job 17: Waiting time = 0.0017363941296935081 | Resolution time = 0.0017222845926880836 | Resolution type = None
Job 18: Waiting time = 0.001142582856118679 | Resolution time = 0.0011288956739008427 | Resolution type = Policy
Job 19: Waiting time = 0.00025877729058265686 | Resolution time = 0.00024395622313022614 | Resolution type = Policy
Job 20: Waiting time = 0.0009482600726187229 | Resolution time = 0.0009318790398538113 | Resolution type = Policy
Job 21: Waiting time = 0.00117781525477767 | Resolution time = 0.0011622728779911995 | Resolution type = Policy
Job 22: Waiting time = 0.00045495806261897087 | Resolution time = 0.000439952127635479 | Resolution type = Policy
Job 23: Waiting time = 0.0015554619021713734 | Resolution time = 0.0015429789200425148 | Resolution type = None
Job 24: Waiting time = 0.0001366846263408661 | Resolution time = 0.0001235147938132286 | Resolution type = Policy
Job 25: Waiting time = 9.993603453040123e-05 | Resolution time = 8.612312376499176e-05 | Resolution type = Policy
Job 26: Waiting time = 0.0010798401199281216 | Resolution time = 0.0009613707661628723 | Resolution type = Policy
Job 27: Waiting time = 0.0007317159324884415 | Resolution time = 0.0007163761183619499 | Resolution type = Policy
