Job 1: Waiting time = 0.0006248257122933865 | Resolution time = 0.0006156656891107559 | Resolution type = Policy
Job 2: Waiting time = 0.0013210102915763855 | Resolution time = 0.0013128230348229408 | Resolution type = None
Job 3: Waiting time = 0.0009752861224114895 | Resolution time = 0.0009691626764833927 | Resolution type = Policy
Job 4: Waiting time = 0.0010846219956874847 | Resolution time = 0.0010783732868731022 | Resolution type = None
Job 5: Waiting time = 0.0010919119231402874 | Resolution time = 0.0010857568122446537 | Resolution type = None
Job 6: Waiting time = 0.000479050911962986 | Resolution time = 0.00047371024265885353 | Resolution type = Policy
Job 7: Waiting time = 0.00029097963124513626 | Resolution time = 0.0002858559601008892 | Resolution type = Policy
Job 8: Waiting time = 0.00012138113379478455 | Resolution time = 0.00011623185127973557 | Resolution type = Policy
Job 9: Waiting time = 0.001039728056639433 | Resolution time = 0.0010339291766285896 | Resolution type = None
Job 10: Waiting time = 0.00014212913811206818 | Resolution time = 0.00013647694140672684 | Resolution type = Policy
Job 11: Waiting time = 0.0007471749559044838 | Resolution time = 0.0007418631576001644 | Resolution type = Policy
Job 12: Waiting time = 0.00047782668843865395 | Resolution time = 0.0004728487692773342 | Resolution type = Policy
Job 13: Waiting time = 0.0011040270328521729 | Resolution time = 0.0010984539985656738 | Resolution type = None
Job 14: Waiting time = 0.0009685540571808815 | Resolution time = 0.0009632897563278675 | Resolution type = None
Job 15: Waiting time = 0.00031660590320825577 | Resolution time = 0.00031185662373900414 | Resolution type = Policy
Job 16: Waiting time = 0.0003304118290543556 | Resolution time = 0.0003254539333283901 | Resolution type = Policy
Job 17: Waiting time = 0.0011371821165084839 | Resolution time = 0.001131169032305479 | Resolution type = None
Job 18: Waiting time = 0.0010823211632668972 | Resolution time = 0.0010768142528831959 | Resolution type = None
Job 19: Waiting time = 0.0010230308398604393 | Resolution time = 0.0010167215950787067 | Resolution type = None
Job 20: Waiting time = 0.0005258959718048573 | Resolution time = 0.0005193967372179031 | Resolution type = Policy
Job 21: Waiting time = 4.166364669799805e-05 | Resolution time = 3.624940291047096e-05 | Resolution type = Policy
Job 22: Waiting time = 9.451014921069145e-05 | Resolution time = 6.951671093702316e-05 | Resolution type = Policy
Job 23: Waiting time = 0.0005684490315616131 | Resolution time = 0.0005521462298929691 | Resolution type = Policy
Job 24: Waiting time = 0.0008271890692412853 | Resolution time = 0.0008149389177560806 | Resolution type = Policy
Job 25: Waiting time = 0.00111742177978158 | Resolution time = 0.0011043380945920944 | Resolution type = None
Job 26: Waiting time = 0.00030017783865332603 | Resolution time = 0.0002863421104848385 | Resolution type = Policy
Job 27: Waiting time = 0.0008476660586893559 | Resolution time = 0.0008331178687512875 | Resolution type = Policy
Job 28: Waiting time = 0.0011492432095110416 | Resolution time = 0.0011333092115819454 | Resolution type = None
Job 29: Waiting time = 0.0002694716677069664 | Resolution time = 0.00025399867445230484 | Resolution type = Policy
Job 30: Waiting time = 0.0014770189300179482 | Resolution time = 0.0014493269845843315 | Resolution type = None
Job 31: Waiting time = 0.00016476400196552277 | Resolution time = 0.0001514269970357418 | Resolution type = Policy
Job 32: Waiting time = 0.0002576601691544056 | Resolution time = 0.00024204887449741364 | Resolution type = Policy
Job 33: Waiting time = 0.0011943760327994823 | Resolution time = 0.0011789007112383842 | Resolution type = None
