Job 1: Waiting time = 0.0001091640442609787 | Resolution time = 9.056227281689644e-05 | Resolution type = None
Job 2: Waiting time = 0.00011445675045251846 | Resolution time = 9.777909144759178e-05 | Resolution type = None
Job 3: Waiting time = 4.835706204175949e-05 | Resolution time = 3.167940303683281e-05 | Resolution type = None
Job 4: Waiting time = 7.507484406232834e-05 | Resolution time = 5.994411185383797e-05 | Resolution type = None
Job 5: Waiting time = 8.042110130190849e-05 | Resolution time = 6.647501140832901e-05 | Resolution type = None
Job 6: Waiting time = 0.00010465504601597786 | Resolution time = 9.150011464953423e-05 | Resolution type = None
Job 7: Waiting time = 6.678607314825058e-05 | Resolution time = 5.374103784561157e-05 | Resolution type = None
Job 8: Waiting time = 4.7309789806604385e-05 | Resolution time = 3.4091994166374207e-05 | Resolution type = None
Job 9: Waiting time = 9.412085637450218e-05 | Resolution time = 6.278650835156441e-05 | Resolution type = None
Job 10: Waiting time = 7.583387196063995e-05 | Resolution time = 6.133457645773888e-05 | Resolution type = None
Job 11: Waiting time = 8.081179112195969e-05 | Resolution time = 5.776435136795044e-05 | Resolution type = None
Job 12: Waiting time = 8.715828880667686e-05 | Resolution time = 7.256260141730309e-05 | Resolution type = None
Job 13: Waiting time = 5.198456346988678e-05 | Resolution time = 3.763148561120033e-05 | Resolution type = None
Job 14: Waiting time = 0.00016185501590371132 | Resolution time = 4.5019201934337616e-05 | Resolution type = None
Job 15: Waiting time = 8.101807907223701e-05 | Resolution time = 6.661796942353249e-05 | Resolution type = None
Job 16: Waiting time = 0.00012474507093429565 | Resolution time = 0.00010945741087198257 | Resolution type = None
Job 17: Waiting time = 7.79307447373867e-05 | Resolution time = 6.265100091695786e-05 | Resolution type = None
Job 18: Waiting time = 6.402703002095222e-05 | Resolution time = 4.763482138514519e-05 | Resolution type = None
Job 19: Waiting time = 0.0014932085759937763 | Resolution time = 7.648114114999771e-05 | Resolution type = None
Job 20: Waiting time = 0.00013984506949782372 | Resolution time = 3.0321534723043442e-05 | Resolution type = None
Job 21: Waiting time = 8.124206215143204e-05 | Resolution time = 6.732530891895294e-05 | Resolution type = None
Job 22: Waiting time = 6.711622700095177e-05 | Resolution time = 5.109701305627823e-05 | Resolution type = None
Job 23: Waiting time = 4.551233723759651e-05 | Resolution time = 3.1908974051475525e-05 | Resolution type = None
Job 24: Waiting time = 0.0001186830922961235 | Resolution time = 9.25152562558651e-05 | Resolution type = None
Job 25: Waiting time = 5.974201485514641e-05 | Resolution time = 4.542618989944458e-05 | Resolution type = None
Job 26: Waiting time = 7.216678932309151e-05 | Resolution time = 5.8921054005622864e-05 | Resolution type = None
Job 27: Waiting time = 8.476432412862778e-05 | Resolution time = 6.893696263432503e-05 | Resolution type = None
Job 28: Waiting time = 6.885593757033348e-05 | Resolution time = 5.3904950618743896e-05 | Resolution type = None
Job 29: Waiting time = 8.543021976947784e-05 | Resolution time = 6.895791739225388e-05 | Resolution type = None
Job 30: Waiting time = 7.756287232041359e-05 | Resolution time = 6.383471190929413e-05 | Resolution type = None
Job 31: Waiting time = 9.50000248849392e-05 | Resolution time = 7.734401151537895e-05 | Resolution type = None
Job 32: Waiting time = 6.842706352472305e-05 | Resolution time = 5.383789539337158e-05 | Resolution type = None
Job 33: Waiting time = 6.479909643530846e-05 | Resolution time = 5.097733810544014e-05 | Resolution type = None
Job 34: Waiting time = 0.00023583974689245224 | Resolution time = 0.00011332985013723373 | Resolution type = None
