Job 1: Waiting time = 0.0003677988424897194 | Resolution time = 0.00035597290843725204 | Resolution type = Policy
Job 2: Waiting time = 0.0013486663810908794 | Resolution time = 0.0013402076438069344 | Resolution type = None
Job 3: Waiting time = 0.0014452808536589146 | Resolution time = 0.001437552273273468 | Resolution type = None
Job 4: Waiting time = 0.0005045519210398197 | Resolution time = 0.0004981518723070621 | Resolution type = Policy
Job 5: Waiting time = 6.355671212077141e-05 | Resolution time = 5.8088917285203934e-05 | Resolution type = Policy
Job 6: Waiting time = 0.00036514271050691605 | Resolution time = 0.0003595072776079178 | Resolution type = Policy
Job 7: Waiting time = 0.0006821202114224434 | Resolution time = 0.0006764889694750309 | Resolution type = Policy
Job 8: Waiting time = 0.001154731959104538 | Resolution time = 0.0011344128288328648 | Resolution type = None
Job 9: Waiting time = 0.00015652971342206 | Resolution time = 0.00014000525698065758 | Resolution type = Policy
Job 10: Waiting time = 0.0005182279273867607 | Resolution time = 0.0003626621328294277 | Resolution type = Policy
Job 11: Waiting time = 0.0011701378971338272 | Resolution time = 0.0011640763841569424 | Resolution type = None
Job 12: Waiting time = 0.00041893497109413147 | Resolution time = 0.00041340384632349014 | Resolution type = Policy
Job 13: Waiting time = 0.0011389381252229214 | Resolution time = 0.0011330791749060154 | Resolution type = None
Job 14: Waiting time = 0.0012830658815801144 | Resolution time = 0.001276454422622919 | Resolution type = None
Job 15: Waiting time = 0.0004943800158798695 | Resolution time = 0.00048794690519571304 | Resolution type = Policy
Job 16: Waiting time = 0.00090382294729352 | Resolution time = 0.0008977213874459267 | Resolution type = Policy
Job 17: Waiting time = 0.0003275461494922638 | Resolution time = 0.00032070791348814964 | Resolution type = Policy
Job 18: Waiting time = 0.0003971620462834835 | Resolution time = 0.0003909831866621971 | Resolution type = Policy
Job 19: Waiting time = 0.0003938223235309124 | Resolution time = 0.000374798197299242 | Resolution type = Policy
Job 20: Waiting time = 0.0011523310095071793 | Resolution time = 0.0007618898525834084 | Resolution type = Policy
Job 21: Waiting time = 0.0006104707717895508 | Resolution time = 0.0006044250912964344 | Resolution type = Policy
Job 22: Waiting time = 0.0011507309973239899 | Resolution time = 0.001142638735473156 | Resolution type = None
Job 23: Waiting time = 0.0004202127456665039 | Resolution time = 0.0004134690389037132 | Resolution type = Policy
Job 24: Waiting time = 0.0008139084093272686 | Resolution time = 0.0007982160896062851 | Resolution type = Policy
Job 25: Waiting time = 0.00023895781487226486 | Resolution time = 0.00022317515686154366 | Resolution type = Policy
Job 26: Waiting time = 0.0006449660286307335 | Resolution time = 0.00062968535348773 | Resolution type = Policy
Job 27: Waiting time = 0.0003752489574253559 | Resolution time = 0.00035797804594039917 | Resolution type = Policy
Job 28: Waiting time = 0.0001141042448580265 | Resolution time = 9.94950532913208e-05 | Resolution type = Policy
Job 29: Waiting time = 0.0007289941422641277 | Resolution time = 0.0006971089169383049 | Resolution type = Policy
Job 30: Waiting time = 0.0012209932319819927 | Resolution time = 0.0012081502936780453 | Resolution type = None
Job 31: Waiting time = 0.0012933486141264439 | Resolution time = 0.001277079340070486 | Resolution type = None
Job 32: Waiting time = 0.00120519008487463 | Resolution time = 0.001187085174024105 | Resolution type = None
Job 33: Waiting time = 0.0002504098229110241 | Resolution time = 0.00023485999554395676 | Resolution type = Policy
Job 34: Waiting time = 0.00015050917863845825 | Resolution time = 0.00013675400987267494 | Resolution type = Policy
Job 35: Waiting time = 0.0012474609538912773 | Resolution time = 0.0011360556818544865 | Resolution type = None
Job 36: Waiting time = 0.0007706861943006516 | Resolution time = 0.0007555517368018627 | Resolution type = Policy
Job 37: Waiting time = 0.000370049849152565 | Resolution time = 0.0003541340120136738 | Resolution type = Policy
Job 38: Waiting time = 0.00014832289889454842 | Resolution time = 0.0001311199739575386 | Resolution type = Policy
Job 39: Waiting time = 0.001169042196124792 | Resolution time = 0.0011540488339960575 | Resolution type = None
Job 40: Waiting time = 0.00011570611968636513 | Resolution time = 0.00010116491466760635 | Resolution type = Policy
Job 41: Waiting time = 0.0011688829399645329 | Resolution time = 0.001144689042121172 | Resolution type = None
Job 42: Waiting time = 0.0004488229751586914 | Resolution time = 0.0004357108846306801 | Resolution type = Policy
Job 43: Waiting time = 0.0011858781799674034 | Resolution time = 0.0011688354425132275 | Resolution type = None
Job 44: Waiting time = 0.0013420162722468376 | Resolution time = 0.0013274652883410454 | Resolution type = Policy
Job 45: Waiting time = 0.0012083044275641441 | Resolution time = 0.0011941748671233654 | Resolution type = None
Job 46: Waiting time = 0.0012735179625451565 | Resolution time = 0.001257504802197218 | Resolution type = None
Job 47: Waiting time = 0.0005417610518634319 | Resolution time = 0.0005289800465106964 | Resolution type = Policy
Job 48: Waiting time = 0.00017298199236392975 | Resolution time = 6.888993084430695e-05 | Resolution type = Policy
Job 49: Waiting time = 6.993673741817474e-05 | Resolution time = 5.175312981009483e-05 | Resolution type = Policy
Job 50: Waiting time = 0.0012111039832234383 | Resolution time = 0.0011941143311560154 | Resolution type = None
Job 51: Waiting time = 0.0013444102369248867 | Resolution time = 0.0013261698186397552 | Resolution type = None
Job 52: Waiting time = 0.0010873712599277496 | Resolution time = 0.0010707858018577099 | Resolution type = None
