Job 1: Waiting time = 0.00011003809049725533 | Resolution time = 0.00010057119652628899 | Resolution type = None
Job 2: Waiting time = 6.690016016364098e-05 | Resolution time = 3.957608714699745e-05 | Resolution type = None
Job 3: Waiting time = 7.202895358204842e-05 | Resolution time = 6.499653682112694e-05 | Resolution type = None
Job 4: Waiting time = 8.55601392686367e-05 | Resolution time = 7.972260937094688e-05 | Resolution type = None
Job 5: Waiting time = 5.130516365170479e-05 | Resolution time = 3.725104033946991e-05 | Resolution type = None
Job 6: Waiting time = 7.626786828041077e-05 | Resolution time = 6.273621693253517e-05 | Resolution type = None
Job 7: Waiting time = 9.693391621112823e-05 | Resolution time = 5.827983841300011e-05 | Resolution type = None
Job 8: Waiting time = 7.339799776673317e-05 | Resolution time = 5.950871855020523e-05 | Resolution type = None
Job 9: Waiting time = 0.0001507648266851902 | Resolution time = 0.0001366198994219303 | Resolution type = None
Job 10: Waiting time = 6.877537816762924e-05 | Resolution time = 5.586119368672371e-05 | Resolution type = None
Job 11: Waiting time = 5.953200161457062e-05 | Resolution time = 4.055863246321678e-05 | Resolution type = None
Job 12: Waiting time = 9.937072172760963e-05 | Resolution time = 8.042948320508003e-05 | Resolution type = None
Job 13: Waiting time = 9.34661366045475e-05 | Resolution time = 7.822224870324135e-05 | Resolution type = None
Job 14: Waiting time = 0.00011350121349096298 | Resolution time = 7.563317194581032e-05 | Resolution type = None
Job 15: Waiting time = 0.00013526435941457748 | Resolution time = 9.211571887135506e-05 | Resolution type = None
Job 16: Waiting time = 0.00017290562391281128 | Resolution time = 5.474686622619629e-05 | Resolution type = None
Job 17: Waiting time = 6.211921572685242e-05 | Resolution time = 4.6506524085998535e-05 | Resolution type = None
Job 18: Waiting time = 9.02470201253891e-05 | Resolution time = 7.622828707098961e-05 | Resolution type = None
Job 19: Waiting time = 5.547190085053444e-05 | Resolution time = 4.24729660153389e-05 | Resolution type = None
Job 20: Waiting time = 7.699709385633469e-05 | Resolution time = 6.158789619803429e-05 | Resolution type = None
Job 21: Waiting time = 0.00010037887841463089 | Resolution time = 8.655013516545296e-05 | Resolution type = None
Job 22: Waiting time = 0.00011267373338341713 | Resolution time = 9.82130877673626e-05 | Resolution type = None
Job 23: Waiting time = 9.253807365894318e-05 | Resolution time = 7.799873128533363e-05 | Resolution type = None
Job 24: Waiting time = 6.0599762946367264e-05 | Resolution time = 4.725530743598938e-05 | Resolution type = None
Job 25: Waiting time = 0.00010114908218383789 | Resolution time = 8.647935464978218e-05 | Resolution type = None
Job 26: Waiting time = 0.00010712724179029465 | Resolution time = 9.24970954656601e-05 | Resolution type = None
Job 27: Waiting time = 0.0001797061413526535 | Resolution time = 5.612196400761604e-05 | Resolution type = None
Job 28: Waiting time = 7.290998473763466e-05 | Resolution time = 5.735224112868309e-05 | Resolution type = None
Job 29: Waiting time = 0.00010143686085939407 | Resolution time = 8.769985288381577e-05 | Resolution type = None
Job 30: Waiting time = 0.00010207295417785645 | Resolution time = 8.883001282811165e-05 | Resolution type = None
Job 31: Waiting time = 9.567616507411003e-05 | Resolution time = 8.146371692419052e-05 | Resolution type = None
Job 32: Waiting time = 9.902613237500191e-05 | Resolution time = 8.573196828365326e-05 | Resolution type = None
Job 33: Waiting time = 0.00010856101289391518 | Resolution time = 9.409477934241295e-05 | Resolution type = None
Job 34: Waiting time = 5.936017259955406e-05 | Resolution time = 4.607904702425003e-05 | Resolution type = None
Job 35: Waiting time = 0.00011601625010371208 | Resolution time = 0.0001009572297334671 | Resolution type = None
Job 36: Waiting time = 7.728114724159241e-05 | Resolution time = 6.357720121741295e-05 | Resolution type = None
Job 37: Waiting time = 9.65287908911705e-05 | Resolution time = 8.30325298011303e-05 | Resolution type = None
Job 38: Waiting time = 0.00011466117575764656 | Resolution time = 9.555229917168617e-05 | Resolution type = None
