Job 1: Waiting time = 9.224563837051392e-05 | Resolution time = 7.233768701553345e-05 | Resolution type = None
Job 2: Waiting time = 0.00010627694427967072 | Resolution time = 9.079137817025185e-05 | Resolution type = None
Job 3: Waiting time = 0.00011770613491535187 | Resolution time = 0.0001020398922264576 | Resolution type = None
Job 4: Waiting time = 0.000151884276419878 | Resolution time = 0.00013587670400738716 | Resolution type = None
Job 5: Waiting time = 0.00010931817814707756 | Resolution time = 9.694695472717285e-05 | Resolution type = None
Job 6: Waiting time = 0.0001381835900247097 | Resolution time = 0.00012326426804065704 | Resolution type = None
Job 7: Waiting time = 0.00017661228775978088 | Resolution time = 0.00015987269580364227 | Resolution type = None
Job 8: Waiting time = 0.00019828835502266884 | Resolution time = 0.00017740391194820404 | Resolution type = None
Job 9: Waiting time = 0.00017354125156998634 | Resolution time = 0.00015879515558481216 | Resolution type = None
Job 10: Waiting time = 0.00016919290646910667 | Resolution time = 0.00014343997463583946 | Resolution type = None
Job 11: Waiting time = 0.0001972028985619545 | Resolution time = 0.0001829373650252819 | Resolution type = None
Job 12: Waiting time = 0.00022993981838226318 | Resolution time = 0.00021452736109495163 | Resolution type = None
Job 13: Waiting time = 0.00020627491176128387 | Resolution time = 0.0001934962347149849 | Resolution type = None
Job 14: Waiting time = 0.00022087711840867996 | Resolution time = 0.00020438013598322868 | Resolution type = None

----- VACATION Started -----
Start time: 3.0002053808420897
Duration: 12.663838479667902
Jobs in the system: 61
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 15: Waiting time = 12.532069464679807 | Resolution time = 0.0015092729590833187 | Resolution type = None
Job 16: Waiting time = 12.3254913832061 | Resolution time = 0.0006080023013055325 | Resolution type = None
Job 17: Waiting time = 12.125747674144804 | Resolution time = 0.0006807218305766582 | Resolution type = None
Job 18: Waiting time = 11.919147050008178 | Resolution time = 0.0006524501368403435 | Resolution type = None
Job 19: Waiting time = 11.724386407993734 | Resolution time = 0.0006349477916955948 | Resolution type = None
Job 20: Waiting time = 11.539825269021094 | Resolution time = 0.0006736209616065025 | Resolution type = None
Job 21: Waiting time = 11.309784214012325 | Resolution time = 0.0006428849883377552 | Resolution type = None
Job 22: Waiting time = 11.103400349151343 | Resolution time = 0.0006824932061135769 | Resolution type = None
Job 23: Waiting time = 10.89568298170343 | Resolution time = 0.0006268639117479324 | Resolution type = None
Job 24: Waiting time = 10.692438527941704 | Resolution time = 0.0006928700022399426 | Resolution type = None
Job 25: Waiting time = 10.466058428864926 | Resolution time = 0.0006479574367403984 | Resolution type = None
Job 26: Waiting time = 10.266495059709996 | Resolution time = 0.000669888686388731 | Resolution type = None
Job 27: Waiting time = 10.069220806937665 | Resolution time = 0.0006521651521325111 | Resolution type = None
Job 28: Waiting time = 9.856939556077123 | Resolution time = 0.0006743208505213261 | Resolution type = None
Job 29: Waiting time = 9.683233695104718 | Resolution time = 0.0006649191491305828 | Resolution type = None
Job 30: Waiting time = 9.473960293922573 | Resolution time = 0.0006559891626238823 | Resolution type = None
Job 31: Waiting time = 9.294955845922232 | Resolution time = 0.0005634087137877941 | Resolution type = None
Job 32: Waiting time = 9.078178168274462 | Resolution time = 0.0005949796177446842 | Resolution type = None
Job 33: Waiting time = 8.855189411900938 | Resolution time = 0.0005894196219742298 | Resolution type = None
Job 34: Waiting time = 8.664057032670826 | Resolution time = 0.0006100372411310673 | Resolution type = None
Job 35: Waiting time = 8.445500289089978 | Resolution time = 0.0006708581931889057 | Resolution type = None
Job 36: Waiting time = 8.236117974855006 | Resolution time = 0.0006566783413290977 | Resolution type = None
Job 37: Waiting time = 8.022265172097832 | Resolution time = 0.0006075534038245678 | Resolution type = None
Job 38: Waiting time = 7.812752963975072 | Resolution time = 0.000591666903346777 | Resolution type = None
Job 39: Waiting time = 7.618078019004315 | Resolution time = 0.0005987542681396008 | Resolution type = None
Job 40: Waiting time = 7.438006043899804 | Resolution time = 0.0006251130253076553 | Resolution type = None
Job 41: Waiting time = 7.243982383981347 | Resolution time = 0.0006549796089529991 | Resolution type = None
Job 42: Waiting time = 7.019014315679669 | Resolution time = 0.0006672353483736515 | Resolution type = None
Job 43: Waiting time = 6.794267268385738 | Resolution time = 0.0006816876120865345 | Resolution type = None
Job 44: Waiting time = 6.590466541238129 | Resolution time = 0.0006372141651809216 | Resolution type = None
Job 45: Waiting time = 6.368936269078404 | Resolution time = 0.0005949372425675392 | Resolution type = None
Job 46: Waiting time = 6.1784649500623345 | Resolution time = 0.0006299740634858608 | Resolution type = None
Job 47: Waiting time = 5.9559107683598995 | Resolution time = 0.0006822054274380207 | Resolution type = None
