Job 66: Waiting time = 1.7455968149006367 | Resolution time = 0.0006437050178647041 | Resolution type = None
Job 67: Waiting time = 1.5345104979351163 | Resolution time = 0.0006241998635232449 | Resolution type = None
Job 68: Waiting time = 1.317985855974257 | Resolution time = 0.0006605414673686028 | Resolution type = None
Job 69: Waiting time = 1.1126797003671527 | Resolution time = 0.0006551030091941357 | Resolution type = None
Job 70: Waiting time = 0.8988108783960342 | Resolution time = 0.00063340924680233 | Resolution type = None
Job 71: Waiting time = 0.6965145939029753 | Resolution time = 0.0006113625131547451 | Resolution type = None
Job 72: Waiting time = 0.4833946507424116 | Resolution time = 0.000657934695482254 | Resolution type = None
Job 73: Waiting time = 0.2798769073560834 | Resolution time = 0.0006543407216668129 | Resolution type = None
Job 74: Waiting time = 0.07534446706995368 | Resolution time = 0.0006466512568295002 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 15.22821308998391
Duration: 11.781403521075845
Jobs in the system: 57
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 75: Waiting time = 11.653673639986664 | Resolution time = 0.0007461374625563622 | Resolution type = None
Job 76: Waiting time = 11.458584107924253 | Resolution time = 0.0006561879999935627 | Resolution type = None
Job 77: Waiting time = 11.248812397010624 | Resolution time = 0.0006530317477881908 | Resolution type = None
Job 78: Waiting time = 11.034395612310618 | Resolution time = 0.0006332597695291042 | Resolution type = None
Job 79: Waiting time = 10.833104030694813 | Resolution time = 0.000615343451499939 | Resolution type = None
Job 80: Waiting time = 10.62429157923907 | Resolution time = 0.0006140470504760742 | Resolution type = None
Job 81: Waiting time = 10.400548183824867 | Resolution time = 0.0006161457858979702 | Resolution type = None
Job 82: Waiting time = 10.201821302063763 | Resolution time = 0.0006206687539815903 | Resolution type = None
Job 83: Waiting time = 9.995443182066083 | Resolution time = 0.0006073117256164551 | Resolution type = None
Job 84: Waiting time = 9.793182488065213 | Resolution time = 0.0006525563076138496 | Resolution type = None
Job 85: Waiting time = 9.582061066757888 | Resolution time = 0.000642038881778717 | Resolution type = None
Job 86: Waiting time = 9.360044583212584 | Resolution time = 0.0006252219900488853 | Resolution type = None
Job 87: Waiting time = 9.165825832635164 | Resolution time = 0.0006305812858045101 | Resolution type = None
Job 88: Waiting time = 8.963857692666352 | Resolution time = 0.0006179101765155792 | Resolution type = None
Job 89: Waiting time = 8.771422089077532 | Resolution time = 0.0006159613840281963 | Resolution type = None
Job 90: Waiting time = 8.581885267980397 | Resolution time = 0.0006019547581672668 | Resolution type = None
Job 91: Waiting time = 8.36796807544306 | Resolution time = 0.0006309826858341694 | Resolution type = None
Job 92: Waiting time = 8.146834431681782 | Resolution time = 0.0006294981576502323 | Resolution type = None
Job 93: Waiting time = 7.945580403786153 | Resolution time = 0.0006262520328164101 | Resolution type = None
Job 94: Waiting time = 7.737507008947432 | Resolution time = 0.0006175036542117596 | Resolution type = None
Job 95: Waiting time = 7.543932324275374 | Resolution time = 0.0006091822870075703 | Resolution type = None
