Job 64: Waiting time = 0.0018081320449709892 | Resolution time = 0.0017947647720575333 | Resolution type = None

----- VACATION Started -----
Start time: 0.974790969863534
Duration: 12.179120435845107
Jobs in the system: 729
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 12.18156316690147 | Resolution time = 0.002798807807266712 | Resolution type = None
Job 66: Waiting time = 12.164971608668566 | Resolution time = 0.0006777741946280003 | Resolution type = None
Job 67: Waiting time = 12.148572580888867 | Resolution time = 0.0007636449299752712 | Resolution type = None
Job 68: Waiting time = 12.137058007065207 | Resolution time = 0.0006712670437991619 | Resolution type = None
Job 69: Waiting time = 12.124225694220513 | Resolution time = 0.0006673051975667477 | Resolution type = None
Job 70: Waiting time = 12.108293556142598 | Resolution time = 0.0005970471538603306 | Resolution type = None
Job 71: Waiting time = 12.091579635161906 | Resolution time = 0.0007552369497716427 | Resolution type = None
Job 72: Waiting time = 12.072321767918766 | Resolution time = 0.000633586198091507 | Resolution type = None
Job 73: Waiting time = 12.061497411690652 | Resolution time = 0.0007150410674512386 | Resolution type = None
Job 74: Waiting time = 12.038166532758623 | Resolution time = 0.000720461830496788 | Resolution type = None
Job 75: Waiting time = 12.022267923224717 | Resolution time = 0.0007306942716240883 | Resolution type = None
Job 76: Waiting time = 12.007926679216325 | Resolution time = 0.0006827027536928654 | Resolution type = None
Job 77: Waiting time = 11.991423309314996 | Resolution time = 0.0009997966699302197 | Resolution type = None
Job 78: Waiting time = 11.97695076605305 | Resolution time = 0.0012370138429105282 | Resolution type = None
Job 79: Waiting time = 11.966910372953862 | Resolution time = 0.0007187505252659321 | Resolution type = None
Job 80: Waiting time = 11.950179095380008 | Resolution time = 0.0007028901018202305 | Resolution type = None
Job 81: Waiting time = 11.935422244947404 | Resolution time = 0.000653610099107027 | Resolution type = None
Job 82: Waiting time = 11.918993092607707 | Resolution time = 0.0006795916706323624 | Resolution type = None
Job 83: Waiting time = 11.910351007711142 | Resolution time = 0.0008242377080023289 | Resolution type = None
Job 84: Waiting time = 11.89743885397911 | Resolution time = 0.0006922655738890171 | Resolution type = None
Job 85: Waiting time = 11.889453683048487 | Resolution time = 0.0007329811342060566 | Resolution type = None
Job 86: Waiting time = 11.871612153947353 | Resolution time = 0.0006477376446127892 | Resolution type = None
Job 87: Waiting time = 11.854110149201006 | Resolution time = 0.0006491434760391712 | Resolution type = None
Job 88: Waiting time = 11.835401247255504 | Resolution time = 0.0006710602901875973 | Resolution type = None
Job 89: Waiting time = 11.82347539998591 | Resolution time = 0.0006768736056983471 | Resolution type = None
Job 90: Waiting time = 11.807292428333312 | Resolution time = 0.0007027937099337578 | Resolution type = None
Job 91: Waiting time = 11.792765446007252 | Resolution time = 0.0006674733012914658 | Resolution type = None
Job 92: Waiting time = 11.77896949229762 | Resolution time = 0.0006944495253264904 | Resolution type = None
Job 93: Waiting time = 11.771588257979602 | Resolution time = 0.000654127448797226 | Resolution type = None
Job 94: Waiting time = 11.758821168914437 | Resolution time = 0.0007609883323311806 | Resolution type = None
Job 95: Waiting time = 11.74458796158433 | Resolution time = 0.0010852091945707798 | Resolution type = None
Job 96: Waiting time = 11.724256609100848 | Resolution time = 0.0006952974945306778 | Resolution type = None
