Job 1: Waiting time = 0.00020319083705544472 | Resolution time = 0.00016429973766207695 | Resolution type = None
Job 2: Waiting time = 6.657605990767479e-05 | Resolution time = 4.096515476703644e-05 | Resolution type = None
Job 3: Waiting time = 9.907595813274384e-05 | Resolution time = 5.500437691807747e-05 | Resolution type = None
Job 4: Waiting time = 0.00013659615069627762 | Resolution time = 5.66309317946434e-05 | Resolution type = None
Job 5: Waiting time = 7.802527397871017e-05 | Resolution time = 6.483588367700577e-05 | Resolution type = None
Job 6: Waiting time = 9.540887549519539e-05 | Resolution time = 8.142367005348206e-05 | Resolution type = None
Job 7: Waiting time = 4.5102089643478394e-05 | Resolution time = 3.212271258234978e-05 | Resolution type = None
Job 8: Waiting time = 9.361794218420982e-05 | Resolution time = 7.97836109995842e-05 | Resolution type = None
Job 9: Waiting time = 0.00016018468886613846 | Resolution time = 9.949319064617157e-05 | Resolution type = None
Job 10: Waiting time = 5.6741759181022644e-05 | Resolution time = 4.157423973083496e-05 | Resolution type = None
Job 11: Waiting time = 8.180970326066017e-05 | Resolution time = 6.718607619404793e-05 | Resolution type = None
Job 12: Waiting time = 0.00010282360017299652 | Resolution time = 7.555214688181877e-05 | Resolution type = None
Job 13: Waiting time = 9.205006062984467e-05 | Resolution time = 7.821992039680481e-05 | Resolution type = None
Job 14: Waiting time = 0.00012311898171901703 | Resolution time = 0.00010699871927499771 | Resolution type = None
Job 15: Waiting time = 9.436998516321182e-05 | Resolution time = 7.766811177134514e-05 | Resolution type = None
Job 16: Waiting time = 5.755200982093811e-05 | Resolution time = 4.3773557990789413e-05 | Resolution type = None
Job 17: Waiting time = 9.040115401148796e-05 | Resolution time = 7.737241685390472e-05 | Resolution type = None
Job 18: Waiting time = 0.000162431038916111 | Resolution time = 5.377456545829773e-05 | Resolution type = None
Job 19: Waiting time = 0.00013731280341744423 | Resolution time = 0.00011147046461701393 | Resolution type = None
Job 20: Waiting time = 7.182778790593147e-05 | Resolution time = 5.7886820286512375e-05 | Resolution type = None
Job 21: Waiting time = 0.00018119998276233673 | Resolution time = 0.000164165161550045 | Resolution type = None
Job 22: Waiting time = 0.00010129576548933983 | Resolution time = 8.52053053677082e-05 | Resolution type = None
Job 23: Waiting time = 0.00010644318535923958 | Resolution time = 8.890684694051743e-05 | Resolution type = None
Job 24: Waiting time = 0.00010018981993198395 | Resolution time = 7.186317816376686e-05 | Resolution type = None
Job 25: Waiting time = 0.00011370424181222916 | Resolution time = 9.933765977621078e-05 | Resolution type = None
Job 26: Waiting time = 0.00011956319212913513 | Resolution time = 0.00010499497875571251 | Resolution type = None
Job 27: Waiting time = 6.97840005159378e-05 | Resolution time = 5.6002289056777954e-05 | Resolution type = None
Job 28: Waiting time = 0.00011486280709505081 | Resolution time = 9.749643504619598e-05 | Resolution type = None
Job 29: Waiting time = 9.145820513367653e-05 | Resolution time = 7.519219070672989e-05 | Resolution type = None
Job 30: Waiting time = 0.00010835705325007439 | Resolution time = 9.441003203392029e-05 | Resolution type = None
Job 31: Waiting time = 0.0002220640890300274 | Resolution time = 0.00010756775736808777 | Resolution type = None
Job 32: Waiting time = 9.756023064255714e-05 | Resolution time = 8.354801684617996e-05 | Resolution type = None
Job 33: Waiting time = 0.00019295141100883484 | Resolution time = 0.0001776488497853279 | Resolution type = None
Job 34: Waiting time = 7.778825238347054e-05 | Resolution time = 6.368104368448257e-05 | Resolution type = None
Job 35: Waiting time = 0.0001440071500837803 | Resolution time = 0.00012911250814795494 | Resolution type = None
Job 36: Waiting time = 0.0001080688089132309 | Resolution time = 9.232526645064354e-05 | Resolution type = None
Job 37: Waiting time = 9.969808161258698e-05 | Resolution time = 8.393591269850731e-05 | Resolution type = None
Job 38: Waiting time = 0.00011789379641413689 | Resolution time = 8.661579340696335e-05 | Resolution type = None
Job 39: Waiting time = 0.00011604605242609978 | Resolution time = 0.00010215071961283684 | Resolution type = None
Job 40: Waiting time = 0.00014361413195729256 | Resolution time = 0.000128990039229393 | Resolution type = None
Job 41: Waiting time = 0.00020458362996578217 | Resolution time = 8.213287219405174e-05 | Resolution type = None
Job 42: Waiting time = 0.0001256382092833519 | Resolution time = 0.00011073192581534386 | Resolution type = None
Job 43: Waiting time = 0.00016042683273553848 | Resolution time = 0.0001468178816139698 | Resolution type = None
Job 44: Waiting time = 0.00010650698095560074 | Resolution time = 9.096693247556686e-05 | Resolution type = None
Job 45: Waiting time = 8.742138743400574e-05 | Resolution time = 7.358146831393242e-05 | Resolution type = None
Job 46: Waiting time = 0.00010518496856093407 | Resolution time = 7.916847243905067e-05 | Resolution type = None
Job 47: Waiting time = 0.00022501591593027115 | Resolution time = 0.00011498760432004929 | Resolution type = None
Job 48: Waiting time = 0.00016636867076158524 | Resolution time = 0.0001522451639175415 | Resolution type = None
Job 49: Waiting time = 0.00011544395238161087 | Resolution time = 0.00010074861347675323 | Resolution type = None
Job 50: Waiting time = 0.00017492705956101418 | Resolution time = 0.00015665078535676003 | Resolution type = None
Job 51: Waiting time = 9.640399366617203e-05 | Resolution time = 8.156057447195053e-05 | Resolution type = None
Job 52: Waiting time = 0.00014655617997050285 | Resolution time = 0.00013014394789934158 | Resolution type = None
Job 53: Waiting time = 0.00013657333329319954 | Resolution time = 0.00011815596371889114 | Resolution type = None
Job 54: Waiting time = 0.00017806096002459526 | Resolution time = 0.00015559233725070953 | Resolution type = None
Job 55: Waiting time = 0.0001599709503352642 | Resolution time = 0.00013738078996539116 | Resolution type = None
Job 56: Waiting time = 0.00011847028508782387 | Resolution time = 0.000102984718978405 | Resolution type = None
Job 57: Waiting time = 0.0001919679343700409 | Resolution time = 8.584186434745789e-05 | Resolution type = None
Job 58: Waiting time = 0.00012278417125344276 | Resolution time = 0.00010925577953457832 | Resolution type = None
Job 59: Waiting time = 0.00010279286652803421 | Resolution time = 8.829217404127121e-05 | Resolution type = None
Job 60: Waiting time = 0.00012169079855084419 | Resolution time = 0.00010661780834197998 | Resolution type = None
Job 61: Waiting time = 0.00010365992784500122 | Resolution time = 8.448120206594467e-05 | Resolution type = None
Job 62: Waiting time = 0.0002490011975169182 | Resolution time = 0.00014056777581572533 | Resolution type = None
Job 63: Waiting time = 0.00010336097329854965 | Resolution time = 8.854689076542854e-05 | Resolution type = None
Job 64: Waiting time = 0.00011829799041152 | Resolution time = 0.00010481616482138634 | Resolution type = None
Job 65: Waiting time = 0.00014396663755178452 | Resolution time = 0.00012896442785859108 | Resolution type = None
Job 66: Waiting time = 0.00016620522364974022 | Resolution time = 0.00014165090397000313 | Resolution type = None
Job 67: Waiting time = 0.00010542664676904678 | Resolution time = 9.119464084506035e-05 | Resolution type = None
Job 68: Waiting time = 0.00011543091386556625 | Resolution time = 0.00010132091119885445 | Resolution type = None
Job 69: Waiting time = 0.0001409747637808323 | Resolution time = 0.00012388965114951134 | Resolution type = None
Job 70: Waiting time = 0.00014104600995779037 | Resolution time = 0.0001259446144104004 | Resolution type = None
Job 71: Waiting time = 0.0002531101927161217 | Resolution time = 0.0001427442766726017 | Resolution type = None
Job 72: Waiting time = 0.0001730388030409813 | Resolution time = 0.0001574619673192501 | Resolution type = None
Job 73: Waiting time = 0.00018013594672083855 | Resolution time = 0.0001635323278605938 | Resolution type = None
Job 74: Waiting time = 0.00012222817167639732 | Resolution time = 0.00010558124631643295 | Resolution type = None
Job 75: Waiting time = 0.0001254878006875515 | Resolution time = 0.00011315615847706795 | Resolution type = None
Job 76: Waiting time = 0.00024054478853940964 | Resolution time = 0.0001311921514570713 | Resolution type = None
Job 77: Waiting time = 0.0001811021938920021 | Resolution time = 0.0001671072095632553 | Resolution type = None
Job 78: Waiting time = 0.00014799879863858223 | Resolution time = 0.00013248203322291374 | Resolution type = None
Job 79: Waiting time = 0.0001271609216928482 | Resolution time = 0.00011032074689865112 | Resolution type = None
Job 80: Waiting time = 0.00016943085938692093 | Resolution time = 0.00013172300532460213 | Resolution type = None
Job 81: Waiting time = 0.00022940011695027351 | Resolution time = 0.00021158577874302864 | Resolution type = None
Job 82: Waiting time = 0.00012472877278923988 | Resolution time = 0.00011117197573184967 | Resolution type = None
Job 83: Waiting time = 0.00016614282503724098 | Resolution time = 0.00015204120427370071 | Resolution type = None
Job 84: Waiting time = 0.0001977686770260334 | Resolution time = 0.00018022116273641586 | Resolution type = None
Job 85: Waiting time = 0.0001661074347794056 | Resolution time = 0.0001521492376923561 | Resolution type = None
Job 86: Waiting time = 0.00018202699720859528 | Resolution time = 0.00016496889293193817 | Resolution type = None
Job 87: Waiting time = 0.0001467638649046421 | Resolution time = 0.00011625001206994057 | Resolution type = None
