Job 65: Waiting time = 0.0009717019274830818 | Resolution time = 0.0009571840055286884 | Resolution type = Policy
Job 66: Waiting time = 0.0003968500532209873 | Resolution time = 0.0003824979066848755 | Resolution type = Policy
Job 67: Waiting time = 0.00025530485436320305 | Resolution time = 0.00024040695279836655 | Resolution type = Policy
Job 68: Waiting time = 0.0007786848582327366 | Resolution time = 0.0006588767282664776 | Resolution type = Policy
Job 69: Waiting time = 0.0007988940924406052 | Resolution time = 0.0007835598662495613 | Resolution type = Policy
Job 70: Waiting time = 0.0014844262041151524 | Resolution time = 0.0014574667438864708 | Resolution type = None
Job 71: Waiting time = 6.2545295804739e-05 | Resolution time = 4.619220271706581e-05 | Resolution type = Policy
Job 72: Waiting time = 0.0015267622657120228 | Resolution time = 0.0015090475790202618 | Resolution type = None
Job 73: Waiting time = 0.0002942611463367939 | Resolution time = 0.0002799360081553459 | Resolution type = Policy
Job 74: Waiting time = 0.0015305876731872559 | Resolution time = 0.0015143081545829773 | Resolution type = None
Job 75: Waiting time = 0.0006692549213767052 | Resolution time = 0.0006528520025312901 | Resolution type = Policy
Job 76: Waiting time = 0.00107509084045887 | Resolution time = 0.0010594520717859268 | Resolution type = Policy
Job 77: Waiting time = 0.00022372882813215256 | Resolution time = 0.0002070111222565174 | Resolution type = Policy
Job 78: Waiting time = 0.00013011926785111427 | Resolution time = 0.00011503789573907852 | Resolution type = Policy
Job 79: Waiting time = 0.0015695239417254925 | Resolution time = 0.0015531792305409908 | Resolution type = None
Job 80: Waiting time = 0.0015286481939256191 | Resolution time = 0.001495211385190487 | Resolution type = None
Job 81: Waiting time = 0.00030615320429205894 | Resolution time = 0.0002902178093791008 | Resolution type = Policy
Job 82: Waiting time = 0.0017631840892136097 | Resolution time = 0.0017480719834566116 | Resolution type = None
Job 83: Waiting time = 0.0003987979143857956 | Resolution time = 0.00029354915022850037 | Resolution type = Policy
Job 84: Waiting time = 0.0017675822600722313 | Resolution time = 0.0017517376691102982 | Resolution type = None
Job 85: Waiting time = 0.0011967690661549568 | Resolution time = 0.001182266976684332 | Resolution type = Policy
Job 86: Waiting time = 0.0003063371405005455 | Resolution time = 0.00029212702065706253 | Resolution type = Policy
Job 87: Waiting time = 0.0014922809787094593 | Resolution time = 0.0014783190563321114 | Resolution type = Policy
Job 88: Waiting time = 0.0018566902726888657 | Resolution time = 0.0017328388057649136 | Resolution type = None
Job 89: Waiting time = 0.001423778012394905 | Resolution time = 0.0014056162908673286 | Resolution type = None
Job 90: Waiting time = 0.0011642263270914555 | Resolution time = 0.001149273943156004 | Resolution type = Policy
Job 91: Waiting time = 0.0005378429777920246 | Resolution time = 0.0005217711441218853 | Resolution type = Policy
