Job 1: Waiting time = 0.00015717791393399239 | Resolution time = 0.00014696503058075905 | Resolution type = Policy
Job 2: Waiting time = 0.0013433904387056828 | Resolution time = 0.0013348800130188465 | Resolution type = None
Job 3: Waiting time = 0.0012258738279342651 | Resolution time = 0.0012180530466139317 | Resolution type = None
Job 4: Waiting time = 0.0005502859130501747 | Resolution time = 0.0005433778278529644 | Resolution type = Policy
Job 5: Waiting time = 0.001135912723839283 | Resolution time = 0.0011303918436169624 | Resolution type = Policy
Job 6: Waiting time = 9.211665019392967e-05 | Resolution time = 8.733198046684265e-05 | Resolution type = Policy
Job 7: Waiting time = 0.0011233440600335598 | Resolution time = 0.0011171000078320503 | Resolution type = None
Job 8: Waiting time = 0.0005126865580677986 | Resolution time = 0.0005072331987321377 | Resolution type = Policy
Job 9: Waiting time = 0.0010498599149286747 | Resolution time = 0.001043940894305706 | Resolution type = None
Job 10: Waiting time = 0.0004824940115213394 | Resolution time = 0.00047676265239715576 | Resolution type = Policy
Job 11: Waiting time = 0.0010765721090137959 | Resolution time = 0.0010710367932915688 | Resolution type = None
Job 12: Waiting time = 0.000952413771301508 | Resolution time = 0.000946712214499712 | Resolution type = Policy
Job 13: Waiting time = 0.0006363349966704845 | Resolution time = 0.0006305929273366928 | Resolution type = Policy
Job 14: Waiting time = 0.0010054651647806168 | Resolution time = 0.0009989249520003796 | Resolution type = None
Job 15: Waiting time = 0.0006852541118860245 | Resolution time = 0.0006649931892752647 | Resolution type = Policy
Job 16: Waiting time = 0.0009861350990831852 | Resolution time = 0.0009653782472014427 | Resolution type = None
Job 17: Waiting time = 6.157113239169121e-05 | Resolution time = 4.7565437853336334e-05 | Resolution type = Policy
Job 18: Waiting time = 0.00037399306893348694 | Resolution time = 0.00036111194640398026 | Resolution type = Policy
Job 19: Waiting time = 0.0006854762323200703 | Resolution time = 0.0006671980954706669 | Resolution type = Policy
Job 20: Waiting time = 0.0010833540000021458 | Resolution time = 0.0010588262230157852 | Resolution type = None
Job 21: Waiting time = 0.00045910291373729706 | Resolution time = 0.0004450138658285141 | Resolution type = Policy
Job 22: Waiting time = 0.0010737166740000248 | Resolution time = 0.0010473821312189102 | Resolution type = None
Job 23: Waiting time = 0.0010447781533002853 | Resolution time = 0.0010316409170627594 | Resolution type = None
Job 24: Waiting time = 0.00013204291462898254 | Resolution time = 0.00011559901759028435 | Resolution type = Policy
Job 25: Waiting time = 0.0001260358840227127 | Resolution time = 0.0001126960851252079 | Resolution type = Policy
Job 26: Waiting time = 0.0011902209371328354 | Resolution time = 0.0011774138547480106 | Resolution type = None
Job 27: Waiting time = 0.001124274916946888 | Resolution time = 0.0010030088014900684 | Resolution type = None
Job 28: Waiting time = 0.0007146489806473255 | Resolution time = 0.0006994940340518951 | Resolution type = Policy
Job 29: Waiting time = 0.0012754537165164948 | Resolution time = 0.0012604137882590294 | Resolution type = None
Job 30: Waiting time = 0.0004548639990389347 | Resolution time = 0.0004413970746099949 | Resolution type = Policy
Job 31: Waiting time = 0.0010947100818157196 | Resolution time = 0.0010794452391564846 | Resolution type = None
Job 32: Waiting time = 0.0003842310979962349 | Resolution time = 0.000369880348443985 | Resolution type = Policy
Job 33: Waiting time = 0.0011714338324964046 | Resolution time = 0.0011478131636977196 | Resolution type = None
Job 34: Waiting time = 0.0007160892710089684 | Resolution time = 0.0006998190656304359 | Resolution type = Policy
Job 35: Waiting time = 0.0011667036451399326 | Resolution time = 0.0011510378681123257 | Resolution type = None
Job 36: Waiting time = 0.00044706184417009354 | Resolution time = 0.0004281308501958847 | Resolution type = Policy
Job 37: Waiting time = 0.0007525337859988213 | Resolution time = 0.0007394393905997276 | Resolution type = Policy
Job 38: Waiting time = 0.0006291167810559273 | Resolution time = 0.0006141620688140392 | Resolution type = Policy
Job 39: Waiting time = 0.0011841189116239548 | Resolution time = 0.0011673737317323685 | Resolution type = None
Job 40: Waiting time = 0.0011227251961827278 | Resolution time = 0.001107928343117237 | Resolution type = None
Job 41: Waiting time = 0.0004783659242093563 | Resolution time = 0.00046323100104928017 | Resolution type = Policy
Job 42: Waiting time = 0.0005195122212171555 | Resolution time = 0.0005061770789325237 | Resolution type = Policy
Job 43: Waiting time = 0.0008555720560252666 | Resolution time = 0.000842610839754343 | Resolution type = Policy
Job 44: Waiting time = 0.0007105260156095028 | Resolution time = 0.0006954576820135117 | Resolution type = Policy
Job 45: Waiting time = 0.0012248968705534935 | Resolution time = 0.0012042820453643799 | Resolution type = None
Job 46: Waiting time = 0.0006611132994294167 | Resolution time = 0.0006469180807471275 | Resolution type = Policy
Job 47: Waiting time = 0.0009354217909276485 | Resolution time = 0.0009160232730209827 | Resolution type = Policy
Job 48: Waiting time = 0.001073919702321291 | Resolution time = 0.0010577100329101086 | Resolution type = None
Job 49: Waiting time = 0.0005843858234584332 | Resolution time = 0.0005680127069354057 | Resolution type = Policy
Job 50: Waiting time = 0.00030377088114619255 | Resolution time = 0.00029046088457107544 | Resolution type = Policy
Job 51: Waiting time = 0.0006577447056770325 | Resolution time = 0.0006447830237448215 | Resolution type = Policy
Job 52: Waiting time = 0.00015069078654050827 | Resolution time = 0.00013623666018247604 | Resolution type = Policy
Job 53: Waiting time = 0.0009471792727708817 | Resolution time = 0.0009307716973125935 | Resolution type = Policy
Job 54: Waiting time = 0.0009718439541757107 | Resolution time = 0.0009591188281774521 | Resolution type = Policy
Job 55: Waiting time = 0.0010185660794377327 | Resolution time = 0.0009996891021728516 | Resolution type = Policy
Job 56: Waiting time = 0.0007211249321699142 | Resolution time = 0.0007054423913359642 | Resolution type = Policy
Job 57: Waiting time = 0.0006591682322323322 | Resolution time = 0.0006448668427765369 | Resolution type = Policy
Job 58: Waiting time = 0.0010458091273903847 | Resolution time = 0.0010315002873539925 | Resolution type = None
Job 59: Waiting time = 0.0011158469133079052 | Resolution time = 0.00109950453042984 | Resolution type = None
Job 60: Waiting time = 0.0004812823608517647 | Resolution time = 0.00035316310822963715 | Resolution type = Policy
Job 61: Waiting time = 0.00051894411444664 | Resolution time = 0.0005031423643231392 | Resolution type = Policy
Job 62: Waiting time = 0.0013579628430306911 | Resolution time = 0.0013445033691823483 | Resolution type = None
Job 63: Waiting time = 0.0009637409821152687 | Resolution time = 0.0009504910558462143 | Resolution type = Policy
Job 64: Waiting time = 0.0009684399701654911 | Resolution time = 0.0009530265815556049 | Resolution type = Policy
Job 65: Waiting time = 0.00041977502405643463 | Resolution time = 0.0004041302017867565 | Resolution type = Policy
Job 66: Waiting time = 0.0013179951347410679 | Resolution time = 0.0013041109777987003 | Resolution type = None
Job 67: Waiting time = 0.0011133961379528046 | Resolution time = 0.0010970509611070156 | Resolution type = Policy
