--- Normal Period 2 starts... ---
Job 65: Waiting time = 11.782568045891821 | Resolution time = 0.0015223827213048935 | Resolution type = None
Job 66: Waiting time = 11.571421544998884 | Resolution time = 0.0006085182540118694 | Resolution type = None
Job 67: Waiting time = 11.360482691787183 | Resolution time = 0.000560226384550333 | Resolution type = None
Job 68: Waiting time = 11.183744398877025 | Resolution time = 0.000611030962318182 | Resolution type = None
Job 69: Waiting time = 10.977667405735701 | Resolution time = 0.0006516291759908199 | Resolution type = None
Job 70: Waiting time = 10.770941566675901 | Resolution time = 0.0006910758092999458 | Resolution type = None
Job 71: Waiting time = 10.588733550161123 | Resolution time = 0.0006285440176725388 | Resolution type = None
Job 72: Waiting time = 10.38001240696758 | Resolution time = 0.0006015375256538391 | Resolution type = None
Job 73: Waiting time = 10.17573177581653 | Resolution time = 0.0006348178721964359 | Resolution type = None
Job 74: Waiting time = 9.960667955223471 | Resolution time = 0.0006778757087886333 | Resolution type = None
Job 75: Waiting time = 9.739128263201565 | Resolution time = 0.000645290594547987 | Resolution type = None
Job 76: Waiting time = 9.542716890573502 | Resolution time = 0.0006339745596051216 | Resolution type = None
Job 77: Waiting time = 9.336346119642258 | Resolution time = 0.00064853485673666 | Resolution type = None
Job 78: Waiting time = 9.126292714849114 | Resolution time = 0.0006846063770353794 | Resolution type = None
Job 79: Waiting time = 8.934575683902949 | Resolution time = 0.0007253536023199558 | Resolution type = None
Job 80: Waiting time = 8.748349120374769 | Resolution time = 0.0006315326318144798 | Resolution type = None
Job 81: Waiting time = 8.503889092244208 | Resolution time = 0.0006711860187351704 | Resolution type = None
Job 82: Waiting time = 8.312338363844901 | Resolution time = 0.0006471485830843449 | Resolution type = None
Job 83: Waiting time = 8.112756239715964 | Resolution time = 0.0006948891095817089 | Resolution type = None
Job 84: Waiting time = 7.9226919980719686 | Resolution time = 0.000674024224281311 | Resolution type = None
Job 85: Waiting time = 7.72487526293844 | Resolution time = 0.0006458568386733532 | Resolution type = None
Job 86: Waiting time = 7.529520601965487 | Resolution time = 0.0006678039208054543 | Resolution type = None
Job 87: Waiting time = 7.293968395795673 | Resolution time = 0.0006434870883822441 | Resolution type = None
Job 88: Waiting time = 7.098767377901822 | Resolution time = 0.0006371126510202885 | Resolution type = None
Job 89: Waiting time = 6.897146394941956 | Resolution time = 0.0006598862819373608 | Resolution type = None
Job 90: Waiting time = 6.693469898309559 | Resolution time = 0.0006072074174880981 | Resolution type = None
Job 91: Waiting time = 6.466524966061115 | Resolution time = 0.0005877199582755566 | Resolution type = None
Job 92: Waiting time = 6.26311180787161 | Resolution time = 0.0005914145149290562 | Resolution type = None
Job 93: Waiting time = 6.08966356003657 | Resolution time = 0.0006382660940289497 | Resolution type = None
Job 94: Waiting time = 5.882680661976337 | Resolution time = 0.0006126756779849529 | Resolution type = None
Job 95: Waiting time = 5.667649521958083 | Resolution time = 0.0006646704860031605 | Resolution type = None
Job 96: Waiting time = 5.4756889240816236 | Resolution time = 0.0006292238831520081 | Resolution type = None
Job 97: Waiting time = 5.277646463830024 | Resolution time = 0.0005712779238820076 | Resolution type = None
Job 98: Waiting time = 5.082056959159672 | Resolution time = 0.0007325774058699608 | Resolution type = None
Job 99: Waiting time = 4.880896038841456 | Resolution time = 0.0007544634863734245 | Resolution type = None
Job 100: Waiting time = 4.666595830116421 | Resolution time = 0.0006203502416610718 | Resolution type = None
Job 101: Waiting time = 4.426970102824271 | Resolution time = 0.0006572501733899117 | Resolution type = None
Job 102: Waiting time = 4.239101847168058 | Resolution time = 0.0006775064393877983 | Resolution type = None
Job 103: Waiting time = 4.0330117829144 | Resolution time = 0.0006347782909870148 | Resolution type = None
Job 104: Waiting time = 3.8409458929672837 | Resolution time = 0.0006531570106744766 | Resolution type = None
Job 105: Waiting time = 3.6542642628774047 | Resolution time = 0.0006461907178163528 | Resolution type = None
Job 106: Waiting time = 3.4423557920381427 | Resolution time = 0.0006486591883003712 | Resolution type = None
Job 107: Waiting time = 3.2241949858143926 | Resolution time = 0.0006707841530442238 | Resolution type = None
Job 108: Waiting time = 3.04120567580685 | Resolution time = 0.000586153008043766 | Resolution type = None
