Job 64: Waiting time = 0.00011760089546442032 | Resolution time = 9.80747863650322e-05 | Resolution type = Policy

----- VACATION Started -----
Start time: 13.031380584929138
Duration: 12.294010519050062
Jobs in the system: 59
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 12.073726351372898 | Resolution time = 0.0014846613630652428 | Resolution type = None
Job 66: Waiting time = 11.896051904652268 | Resolution time = 0.00067507429048419 | Resolution type = None
Job 67: Waiting time = 11.706789379008114 | Resolution time = 0.00041296379640698433 | Resolution type = Aux List
Job 68: Waiting time = 11.516992208082229 | Resolution time = 0.0006715049967169762 | Resolution type = None
Job 69: Waiting time = 11.31419877987355 | Resolution time = 0.0006676926277577877 | Resolution type = None
Job 70: Waiting time = 11.101251929067075 | Resolution time = 0.0006921109743416309 | Resolution type = None
Job 71: Waiting time = 10.9046193594113 | Resolution time = 0.0007262690924108028 | Resolution type = None
Job 72: Waiting time = 10.693806013092399 | Resolution time = 0.0006979708559811115 | Resolution type = None
Job 73: Waiting time = 10.511945321690291 | Resolution time = 0.0006759632378816605 | Resolution type = None
Job 74: Waiting time = 10.275355879217386 | Resolution time = 0.000695505179464817 | Resolution type = None
Job 75: Waiting time = 10.083206691313535 | Resolution time = 0.0006856820546090603 | Resolution type = None
Job 76: Waiting time = 9.885388551745564 | Resolution time = 0.0006505884230136871 | Resolution type = None
Job 77: Waiting time = 9.688912344165146 | Resolution time = 0.0006919661536812782 | Resolution type = None
Job 78: Waiting time = 9.493253220804036 | Resolution time = 0.0007079439237713814 | Resolution type = None
Job 79: Waiting time = 9.278505067806691 | Resolution time = 0.0007281787693500519 | Resolution type = None
Job 80: Waiting time = 9.055144984740764 | Resolution time = 0.0007054554298520088 | Resolution type = None
Job 81: Waiting time = 8.828850630205125 | Resolution time = 0.0007174988277256489 | Resolution type = None
Job 82: Waiting time = 8.642846215050668 | Resolution time = 0.0006896918639540672 | Resolution type = None
Job 83: Waiting time = 8.455105201806873 | Resolution time = 0.0006735827773809433 | Resolution type = None
Job 84: Waiting time = 8.246758555993438 | Resolution time = 0.000652580987662077 | Resolution type = None
