Job 1: Waiting time = 0.0004825121723115444 | Resolution time = 0.0004634726792573929 | Resolution type = Policy
Job 2: Waiting time = 0.0005034869536757469 | Resolution time = 0.00048561301082372665 | Resolution type = Policy
Job 3: Waiting time = 0.0017095580697059631 | Resolution time = 0.0016927081160247326 | Resolution type = None
Job 4: Waiting time = 0.0007373997941613197 | Resolution time = 0.0007136920467019081 | Resolution type = Policy
Job 5: Waiting time = 0.0015108808875083923 | Resolution time = 0.0014944486320018768 | Resolution type = None
Job 6: Waiting time = 0.0002902471460402012 | Resolution time = 0.00027762725949287415 | Resolution type = Policy
Job 7: Waiting time = 0.00043904082849621773 | Resolution time = 0.00042523210868239403 | Resolution type = Policy
Job 8: Waiting time = 0.0007849116809666157 | Resolution time = 0.0007699169218540192 | Resolution type = Policy
Job 9: Waiting time = 0.0005490719340741634 | Resolution time = 0.0005349717102944851 | Resolution type = Policy
Job 10: Waiting time = 0.0014124219305813313 | Resolution time = 0.0013972190208733082 | Resolution type = None
Job 11: Waiting time = 0.0006036940030753613 | Resolution time = 0.000575370155274868 | Resolution type = Policy
Job 12: Waiting time = 0.0005138139240443707 | Resolution time = 0.0005004680715501308 | Resolution type = Policy
Job 13: Waiting time = 0.0013205157592892647 | Resolution time = 0.0013066339306533337 | Resolution type = None
Job 14: Waiting time = 0.0014335373416543007 | Resolution time = 0.0014082682318985462 | Resolution type = None
Job 15: Waiting time = 0.0007214010693132877 | Resolution time = 0.0007080412469804287 | Resolution type = Policy
Job 16: Waiting time = 0.00012635812163352966 | Resolution time = 0.0001123831607401371 | Resolution type = Policy
Job 17: Waiting time = 0.0012790020555257797 | Resolution time = 0.001264728605747223 | Resolution type = None
Job 18: Waiting time = 0.00032879598438739777 | Resolution time = 0.0003132559359073639 | Resolution type = Policy
Job 19: Waiting time = 0.0016694418154656887 | Resolution time = 0.0015498800203204155 | Resolution type = None
Job 20: Waiting time = 0.0006117331795394421 | Resolution time = 0.0005958140827715397 | Resolution type = Policy
Job 21: Waiting time = 0.0018650395795702934 | Resolution time = 0.0018472946248948574 | Resolution type = None
Job 22: Waiting time = 0.0015327990986406803 | Resolution time = 0.0014292765408754349 | Resolution type = None
Job 23: Waiting time = 0.0012315870262682438 | Resolution time = 0.0012167636305093765 | Resolution type = None
Job 24: Waiting time = 0.0013246461749076843 | Resolution time = 0.0013111899606883526 | Resolution type = None
Job 25: Waiting time = 0.0007207607850432396 | Resolution time = 0.0007039527408778667 | Resolution type = Policy
