Job 1: Waiting time = 0.00040022702887654305 | Resolution time = 0.0003753099590539932 | Resolution type = Policy
Job 2: Waiting time = 0.0012573450803756714 | Resolution time = 0.0012413617223501205 | Resolution type = None
Job 3: Waiting time = 0.0008688811212778091 | Resolution time = 0.0007586851716041565 | Resolution type = Policy
Job 4: Waiting time = 0.0010132049210369587 | Resolution time = 0.0009991833940148354 | Resolution type = None
Job 5: Waiting time = 0.0007569054141640663 | Resolution time = 0.0007413560524582863 | Resolution type = Policy
Job 6: Waiting time = 0.00038515403866767883 | Resolution time = 0.0003713807091116905 | Resolution type = Policy
Job 7: Waiting time = 0.0010929480195045471 | Resolution time = 0.0010780086740851402 | Resolution type = None
Job 8: Waiting time = 0.0008707982487976551 | Resolution time = 0.000752563588321209 | Resolution type = Policy
Job 9: Waiting time = 0.0006901477463543415 | Resolution time = 0.0006764940917491913 | Resolution type = Policy
Job 10: Waiting time = 0.0010151690803468227 | Resolution time = 0.0010022870264947414 | Resolution type = None
Job 11: Waiting time = 0.00047975173220038414 | Resolution time = 0.0004639001563191414 | Resolution type = Policy
Job 12: Waiting time = 0.0010917112231254578 | Resolution time = 0.0009652851149439812 | Resolution type = Policy
Job 13: Waiting time = 0.001148155890405178 | Resolution time = 0.0011341376230120659 | Resolution type = None
Job 14: Waiting time = 0.00023175310343503952 | Resolution time = 0.00021934974938631058 | Resolution type = Policy
Job 15: Waiting time = 0.0003796839155256748 | Resolution time = 0.00036727311089634895 | Resolution type = Policy
Job 16: Waiting time = 0.0006958218291401863 | Resolution time = 0.000683334656059742 | Resolution type = Policy
Job 17: Waiting time = 0.0002648131921887398 | Resolution time = 0.00023755989968776703 | Resolution type = Policy
Job 18: Waiting time = 0.0008356249891221523 | Resolution time = 0.0008223582990467548 | Resolution type = Policy
Job 19: Waiting time = 0.0007876339368522167 | Resolution time = 0.0007743737660348415 | Resolution type = Policy
Job 20: Waiting time = 0.00021137483417987823 | Resolution time = 0.0001968182623386383 | Resolution type = Policy
Job 21: Waiting time = 0.0006903940811753273 | Resolution time = 0.0006761183030903339 | Resolution type = Policy
Job 22: Waiting time = 0.0011184187605977058 | Resolution time = 0.001102096401154995 | Resolution type = None
Job 23: Waiting time = 0.0011432692408561707 | Resolution time = 0.0011292072013020515 | Resolution type = None
Job 24: Waiting time = 0.0010512401349842548 | Resolution time = 0.0010191043838858604 | Resolution type = None
Job 25: Waiting time = 0.0006988868117332458 | Resolution time = 0.0006837421096861362 | Resolution type = Policy
Job 26: Waiting time = 0.0006395201198756695 | Resolution time = 0.0006258506327867508 | Resolution type = Policy
Job 27: Waiting time = 0.0007482720538973808 | Resolution time = 0.0006434698589146137 | Resolution type = Policy
Job 28: Waiting time = 0.0009142719209194183 | Resolution time = 0.0009001772850751877 | Resolution type = None
