Job 1: Waiting time = 0.0012533469125628471 | Resolution time = 0.0012422571890056133 | Resolution type = Policy
Job 2: Waiting time = 0.0011397688649594784 | Resolution time = 0.0011282088235020638 | Resolution type = Policy
Job 3: Waiting time = 0.0005193459801375866 | Resolution time = 0.0005132113583385944 | Resolution type = Policy
Job 4: Waiting time = 0.000514511950314045 | Resolution time = 0.0005062893033027649 | Resolution type = Policy
Job 5: Waiting time = 0.0007107448764145374 | Resolution time = 0.0006961030885577202 | Resolution type = Policy
Job 6: Waiting time = 0.0005934247747063637 | Resolution time = 0.0005518849939107895 | Resolution type = Policy
Job 7: Waiting time = 0.0014909706078469753 | Resolution time = 0.0009139180183410645 | Resolution type = Policy
Job 8: Waiting time = 0.0003852318041026592 | Resolution time = 0.00037105800583958626 | Resolution type = Policy
Job 9: Waiting time = 0.0013410840183496475 | Resolution time = 0.001324451994150877 | Resolution type = None
Job 10: Waiting time = 0.0009124339558184147 | Resolution time = 0.0008947569876909256 | Resolution type = Policy
Job 11: Waiting time = 0.0017662742175161839 | Resolution time = 0.0016452949494123459 | Resolution type = None
Job 12: Waiting time = 0.0012081470340490341 | Resolution time = 0.0011929427273571491 | Resolution type = None
Job 13: Waiting time = 0.001224018633365631 | Resolution time = 0.001209734007716179 | Resolution type = None
Job 14: Waiting time = 0.0009448612108826637 | Resolution time = 0.0009282459504902363 | Resolution type = Policy
Job 15: Waiting time = 0.0008121482096612453 | Resolution time = 0.0007972661405801773 | Resolution type = Policy
Job 16: Waiting time = 0.0011505153961479664 | Resolution time = 0.001134373713284731 | Resolution type = None
Job 17: Waiting time = 0.0005119321867823601 | Resolution time = 0.0004956778138875961 | Resolution type = Policy
Job 18: Waiting time = 0.0013121319934725761 | Resolution time = 0.0012953104451298714 | Resolution type = None
Job 19: Waiting time = 0.0012669931165874004 | Resolution time = 0.001247250009328127 | Resolution type = None
Job 20: Waiting time = 0.0005902540870010853 | Resolution time = 0.0005727880634367466 | Resolution type = Policy
Job 21: Waiting time = 0.0017443159595131874 | Resolution time = 0.0016269506886601448 | Resolution type = None
Job 22: Waiting time = 0.001491899136453867 | Resolution time = 0.001475512981414795 | Resolution type = None
Job 23: Waiting time = 0.00039514200761914253 | Resolution time = 0.0003779628314077854 | Resolution type = Policy
Job 24: Waiting time = 0.001092331949621439 | Resolution time = 0.0010755322873592377 | Resolution type = None
Job 25: Waiting time = 0.0008923551067709923 | Resolution time = 0.0008778250776231289 | Resolution type = Policy
Job 26: Waiting time = 0.0011489619500935078 | Resolution time = 0.0011319792829453945 | Resolution type = None
Job 27: Waiting time = 0.0013899970799684525 | Resolution time = 0.001249730121344328 | Resolution type = None
Job 28: Waiting time = 0.0012047798372805119 | Resolution time = 0.0011870847083628178 | Resolution type = None
Job 29: Waiting time = 0.0010289251804351807 | Resolution time = 0.0010149991139769554 | Resolution type = None
Job 30: Waiting time = 0.0011958330869674683 | Resolution time = 0.0011775637976825237 | Resolution type = None
Job 31: Waiting time = 0.0012034238316118717 | Resolution time = 0.0011870642192661762 | Resolution type = None
Job 32: Waiting time = 0.0008921208791434765 | Resolution time = 0.0007736911065876484 | Resolution type = Policy
Job 33: Waiting time = 0.0005121640861034393 | Resolution time = 0.0004952000454068184 | Resolution type = Policy
Job 34: Waiting time = 0.0002590077929198742 | Resolution time = 0.00024310313165187836 | Resolution type = Policy
Job 35: Waiting time = 0.0005067768506705761 | Resolution time = 0.0004904009401798248 | Resolution type = Policy
Job 36: Waiting time = 0.0013044876977801323 | Resolution time = 0.0012870482169091702 | Resolution type = None
Job 37: Waiting time = 0.0010379650630056858 | Resolution time = 0.0010216287337243557 | Resolution type = Policy
Job 38: Waiting time = 0.00028486503288149834 | Resolution time = 0.0002673291601240635 | Resolution type = Policy
Job 39: Waiting time = 0.0013370118103921413 | Resolution time = 0.0013203010894358158 | Resolution type = None
Job 40: Waiting time = 0.0004506567493081093 | Resolution time = 0.00042532430961728096 | Resolution type = Policy
Job 41: Waiting time = 0.0011731977574527264 | Resolution time = 0.0011562942527234554 | Resolution type = None
Job 42: Waiting time = 0.0020222794264554977 | Resolution time = 0.002006090711802244 | Resolution type = None
Job 43: Waiting time = 0.0011977986432611942 | Resolution time = 0.0011818520724773407 | Resolution type = None
Job 44: Waiting time = 0.0004357718862593174 | Resolution time = 0.00041243480518460274 | Resolution type = Policy
Job 45: Waiting time = 0.00046900799497962 | Resolution time = 0.00034318119287490845 | Resolution type = Policy
Job 46: Waiting time = 0.00042617321014404297 | Resolution time = 0.000402228906750679 | Resolution type = Policy
Job 47: Waiting time = 0.0006806687451899052 | Resolution time = 0.0006640637293457985 | Resolution type = Policy
Job 48: Waiting time = 0.00036210380494594574 | Resolution time = 0.0003479751758277416 | Resolution type = Policy
Job 49: Waiting time = 0.0003202850930392742 | Resolution time = 0.00030439067631959915 | Resolution type = Policy
Job 50: Waiting time = 0.0010553989559412003 | Resolution time = 0.000932683702558279 | Resolution type = Policy
Job 51: Waiting time = 0.0010570771992206573 | Resolution time = 0.001030503772199154 | Resolution type = Policy
Job 52: Waiting time = 0.001187342219054699 | Resolution time = 0.0011708131060004234 | Resolution type = None
Job 53: Waiting time = 0.0009968997910618782 | Resolution time = 0.000982687808573246 | Resolution type = Policy
Job 54: Waiting time = 0.0012936629354953766 | Resolution time = 0.0012774118222296238 | Resolution type = None
Job 55: Waiting time = 0.00048420578241348267 | Resolution time = 0.0004680170677602291 | Resolution type = Policy
Job 56: Waiting time = 0.0012555471621453762 | Resolution time = 0.0012407279573380947 | Resolution type = Policy
Job 57: Waiting time = 0.0031821844168007374 | Resolution time = 0.0031715231016278267 | Resolution type = None
Job 58: Waiting time = 0.0013373801484704018 | Resolution time = 0.0013301130384206772 | Resolution type = None
Job 59: Waiting time = 0.00017658108845353127 | Resolution time = 0.00015540700405836105 | Resolution type = Policy
Job 60: Waiting time = 0.00026240991428494453 | Resolution time = 8.867494761943817e-05 | Resolution type = Policy
Job 61: Waiting time = 0.0004917490296065807 | Resolution time = 0.0004854882135987282 | Resolution type = Policy
Job 62: Waiting time = 0.0013639861717820168 | Resolution time = 0.0013572508469223976 | Resolution type = None
Job 63: Waiting time = 0.0004783729091286659 | Resolution time = 0.00047239428386092186 | Resolution type = Policy
Job 64: Waiting time = 0.0013011731207370758 | Resolution time = 0.0012945402413606644 | Resolution type = None
Job 65: Waiting time = 0.001334873028099537 | Resolution time = 0.0013186750002205372 | Resolution type = None
Job 66: Waiting time = 0.001198203768581152 | Resolution time = 0.001181421335786581 | Resolution type = None
Job 67: Waiting time = 0.0012245383113622665 | Resolution time = 0.001209160778671503 | Resolution type = None
Job 68: Waiting time = 0.0011781798675656319 | Resolution time = 0.00115103367716074 | Resolution type = None
Job 69: Waiting time = 0.0011280211620032787 | Resolution time = 0.0011101840063929558 | Resolution type = Policy
Job 70: Waiting time = 0.0012221229262650013 | Resolution time = 0.0012057074345648289 | Resolution type = None
Job 71: Waiting time = 0.001285286620259285 | Resolution time = 0.0012703961692750454 | Resolution type = None
Job 72: Waiting time = 0.0012972182594239712 | Resolution time = 0.001280026976019144 | Resolution type = None
Job 73: Waiting time = 0.0007716822437942028 | Resolution time = 0.0007560588419437408 | Resolution type = Policy
Job 74: Waiting time = 0.0007419101893901825 | Resolution time = 0.0007251142524182796 | Resolution type = Policy
Job 75: Waiting time = 0.0006627789698541164 | Resolution time = 0.0006463248282670975 | Resolution type = Policy
Job 76: Waiting time = 0.0006332709453999996 | Resolution time = 0.0006189839914441109 | Resolution type = Policy
Job 77: Waiting time = 0.0013154977932572365 | Resolution time = 0.0013007060624659061 | Resolution type = None
Job 78: Waiting time = 0.0011146822944283485 | Resolution time = 0.0011004069820046425 | Resolution type = None
Job 79: Waiting time = 0.0004661018028855324 | Resolution time = 0.00044034793972969055 | Resolution type = Policy
Job 80: Waiting time = 0.0016045449301600456 | Resolution time = 0.0015865862369537354 | Resolution type = None
Job 81: Waiting time = 0.001162620261311531 | Resolution time = 0.0011483486741781235 | Resolution type = None
Job 82: Waiting time = 0.0013958788476884365 | Resolution time = 0.0012775207869708538 | Resolution type = None
Job 83: Waiting time = 0.0015667830593883991 | Resolution time = 0.0015523009933531284 | Resolution type = None
Job 84: Waiting time = 0.0006403620354831219 | Resolution time = 0.0006256536580622196 | Resolution type = Policy
Job 85: Waiting time = 0.0005167308263480663 | Resolution time = 0.0005005393177270889 | Resolution type = Policy
Job 86: Waiting time = 0.0013788030482828617 | Resolution time = 0.0013558394275605679 | Resolution type = None
Job 87: Waiting time = 0.00014382600784301758 | Resolution time = 0.00012819236144423485 | Resolution type = Policy
Job 88: Waiting time = 0.0004235529340803623 | Resolution time = 0.000301506370306015 | Resolution type = Policy
Job 89: Waiting time = 0.0017662923783063889 | Resolution time = 0.001748962327837944 | Resolution type = None
Job 90: Waiting time = 0.00041113607585430145 | Resolution time = 0.0003955541178584099 | Resolution type = Policy
Job 91: Waiting time = 0.00028053484857082367 | Resolution time = 0.0002655782736837864 | Resolution type = Policy
Job 92: Waiting time = 0.0009561269544064999 | Resolution time = 0.0009415452368557453 | Resolution type = Policy
Job 93: Waiting time = 0.0009260061196982861 | Resolution time = 0.0009132828563451767 | Resolution type = Policy
Job 94: Waiting time = 0.00026732077822089195 | Resolution time = 0.0002533579245209694 | Resolution type = Policy
Job 95: Waiting time = 0.0010790219530463219 | Resolution time = 0.0010644118301570415 | Resolution type = Policy
Job 96: Waiting time = 0.0008060690015554428 | Resolution time = 0.000789404846727848 | Resolution type = Policy
Job 97: Waiting time = 0.0004215720109641552 | Resolution time = 0.0002964860759675503 | Resolution type = Policy
Job 98: Waiting time = 0.0003150119446218014 | Resolution time = 0.0002977498807013035 | Resolution type = Policy
Job 99: Waiting time = 0.0013759639114141464 | Resolution time = 0.001356538850814104 | Resolution type = None
Job 100: Waiting time = 0.0006176079623401165 | Resolution time = 0.0006008693017065525 | Resolution type = Policy
Job 101: Waiting time = 0.0005395179614424706 | Resolution time = 0.00052235322073102 | Resolution type = Policy
Job 102: Waiting time = 0.0016358587890863419 | Resolution time = 0.0016187634319067001 | Resolution type = None
Job 103: Waiting time = 0.0008095069788396358 | Resolution time = 0.0007927566766738892 | Resolution type = Policy
Job 104: Waiting time = 0.0013904119841754436 | Resolution time = 0.0013760225847363472 | Resolution type = None
Job 105: Waiting time = 0.00010067084804177284 | Resolution time = 8.671404793858528e-05 | Resolution type = Policy
Job 106: Waiting time = 0.00013767369091510773 | Resolution time = 0.00012183329090476036 | Resolution type = Policy
Job 107: Waiting time = 0.00019337423145771027 | Resolution time = 0.00017871195450425148 | Resolution type = Policy
Job 108: Waiting time = 0.0004182523116469383 | Resolution time = 0.00040431227535009384 | Resolution type = Policy
Job 109: Waiting time = 0.0009770873002707958 | Resolution time = 0.000959428958594799 | Resolution type = Policy
Job 110: Waiting time = 0.0013578333891928196 | Resolution time = 0.001340971328318119 | Resolution type = None
Job 111: Waiting time = 0.0005897851660847664 | Resolution time = 0.0005722162313759327 | Resolution type = Policy
Job 112: Waiting time = 0.0010265577584505081 | Resolution time = 0.0010069250129163265 | Resolution type = Policy
Job 113: Waiting time = 0.00013571791350841522 | Resolution time = 0.00012179510667920113 | Resolution type = Policy
Job 114: Waiting time = 0.0006145881488919258 | Resolution time = 0.000596947968006134 | Resolution type = Policy
Job 115: Waiting time = 0.0014308970421552658 | Resolution time = 0.0014100391417741776 | Resolution type = None
Job 116: Waiting time = 0.0013022474013268948 | Resolution time = 0.0012875599786639214 | Resolution type = None
Job 117: Waiting time = 0.0012929821386933327 | Resolution time = 0.0012743696570396423 | Resolution type = None
