Job 1: Waiting time = 6.449315696954727e-05 | Resolution time = 4.101172089576721e-05 | Resolution type = None
Job 2: Waiting time = 6.659887731075287e-05 | Resolution time = 4.5573338866233826e-05 | Resolution type = None
Job 3: Waiting time = 6.23469240963459e-05 | Resolution time = 2.1842774003744125e-05 | Resolution type = None
Job 4: Waiting time = 9.04640182852745e-05 | Resolution time = 4.398450255393982e-05 | Resolution type = None
Job 5: Waiting time = 4.9246009439229965e-05 | Resolution time = 3.456231206655502e-05 | Resolution type = None
Job 6: Waiting time = 7.640011608600616e-05 | Resolution time = 3.0434224754571915e-05 | Resolution type = None
Job 7: Waiting time = 8.329376578330994e-05 | Resolution time = 3.0260533094406128e-05 | Resolution type = None
Job 8: Waiting time = 4.427088424563408e-05 | Resolution time = 3.05776484310627e-05 | Resolution type = None
Job 9: Waiting time = 3.131665289402008e-05 | Resolution time = 1.74548476934433e-05 | Resolution type = None
Job 10: Waiting time = 6.134435534477234e-05 | Resolution time = 4.6722590923309326e-05 | Resolution type = None
Job 11: Waiting time = 4.2786821722984314e-05 | Resolution time = 2.979021519422531e-05 | Resolution type = None
Job 12: Waiting time = 4.752771928906441e-05 | Resolution time = 3.475835546851158e-05 | Resolution type = None
Job 13: Waiting time = 5.223928019404411e-05 | Resolution time = 3.83998267352581e-05 | Resolution type = None
Job 14: Waiting time = 2.9865186661481857e-05 | Resolution time = 1.6860663890838623e-05 | Resolution type = None
Job 15: Waiting time = 6.614206358790398e-05 | Resolution time = 5.101505666971207e-05 | Resolution type = None
Job 16: Waiting time = 3.9462000131607056e-05 | Resolution time = 2.146279439330101e-05 | Resolution type = None
Job 17: Waiting time = 2.9085669666528702e-05 | Resolution time = 1.680804416537285e-05 | Resolution type = None
Job 18: Waiting time = 4.681292921304703e-05 | Resolution time = 2.0607840269804e-05 | Resolution type = None
Job 19: Waiting time = 5.031004548072815e-05 | Resolution time = 3.534369170665741e-05 | Resolution type = None
Job 20: Waiting time = 2.9164832085371017e-05 | Resolution time = 1.671910285949707e-05 | Resolution type = None
Job 21: Waiting time = 3.0769966542720795e-05 | Resolution time = 1.7070677131414413e-05 | Resolution type = None
Job 22: Waiting time = 3.627734258770943e-05 | Resolution time = 2.1861400455236435e-05 | Resolution type = None
Job 23: Waiting time = 3.48137691617012e-05 | Resolution time = 2.1377112716436386e-05 | Resolution type = None
Job 24: Waiting time = 6.695697084069252e-05 | Resolution time = 5.1371753215789795e-05 | Resolution type = None
Job 25: Waiting time = 5.936017259955406e-05 | Resolution time = 4.367576912045479e-05 | Resolution type = None
Job 26: Waiting time = 8.798995986580849e-05 | Resolution time = 6.893370300531387e-05 | Resolution type = None
Job 27: Waiting time = 3.3771153539419174e-05 | Resolution time = 2.041878178715706e-05 | Resolution type = None
Job 28: Waiting time = 3.743404522538185e-05 | Resolution time = 2.340134233236313e-05 | Resolution type = None
Job 29: Waiting time = 3.910716623067856e-05 | Resolution time = 2.3546162992715836e-05 | Resolution type = None
Job 30: Waiting time = 8.014030754566193e-05 | Resolution time = 6.54458999633789e-05 | Resolution type = None
Job 31: Waiting time = 9.397091343998909e-05 | Resolution time = 7.871445268392563e-05 | Resolution type = None
Job 32: Waiting time = 7.210392504930496e-05 | Resolution time = 4.618987441062927e-05 | Resolution type = None
Job 33: Waiting time = 3.554997965693474e-05 | Resolution time = 2.0519830286502838e-05 | Resolution type = None
Job 34: Waiting time = 8.131517097353935e-05 | Resolution time = 6.619840860366821e-05 | Resolution type = None
Job 35: Waiting time = 5.6788790971040726e-05 | Resolution time = 4.3585896492004395e-05 | Resolution type = None
Job 36: Waiting time = 7.12820328772068e-05 | Resolution time = 5.721487104892731e-05 | Resolution type = None
Job 37: Waiting time = 7.010018453001976e-05 | Resolution time = 4.7110021114349365e-05 | Resolution type = None
Job 38: Waiting time = 7.63358548283577e-05 | Resolution time = 6.179604679346085e-05 | Resolution type = None
Job 39: Waiting time = 6.98501244187355e-05 | Resolution time = 5.4903794080019e-05 | Resolution type = None
Job 40: Waiting time = 7.000798359513283e-05 | Resolution time = 5.465606227517128e-05 | Resolution type = None
Job 41: Waiting time = 5.445396527647972e-05 | Resolution time = 4.1661784052848816e-05 | Resolution type = None
Job 42: Waiting time = 3.982102498412132e-05 | Resolution time = 2.503674477338791e-05 | Resolution type = None
