Start time: 13.051284092012793
Duration: 11.691843589767814
Jobs in the system: 57
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 11.482476580888033 | Resolution time = 0.0014726989902555943 | Resolution type = None
Job 66: Waiting time = 11.27364253019914 | Resolution time = 0.0006819148547947407 | Resolution type = None
Job 67: Waiting time = 11.058308529201895 | Resolution time = 0.0006596772000193596 | Resolution type = None
Job 68: Waiting time = 10.867936752270907 | Resolution time = 0.0006236420013010502 | Resolution type = None
Job 69: Waiting time = 10.679733236785978 | Resolution time = 0.0006360365077853203 | Resolution type = None
Job 70: Waiting time = 10.473190643824637 | Resolution time = 0.0006417040713131428 | Resolution type = None
Job 71: Waiting time = 10.258838318753988 | Resolution time = 0.0006757588125765324 | Resolution type = None
Job 72: Waiting time = 10.038626627065241 | Resolution time = 0.0007018451578915119 | Resolution type = None
Job 73: Waiting time = 9.804374807048589 | Resolution time = 0.0006291503086686134 | Resolution type = None
Job 74: Waiting time = 9.601536863017827 | Resolution time = 0.0006382414139807224 | Resolution type = None
Job 75: Waiting time = 9.412564646918327 | Resolution time = 0.0005958518013358116 | Resolution type = None
Job 76: Waiting time = 9.21343131782487 | Resolution time = 0.0006689927540719509 | Resolution type = None
Job 77: Waiting time = 9.018034846987575 | Resolution time = 0.0006494489498436451 | Resolution type = None
Job 78: Waiting time = 8.80263356398791 | Resolution time = 0.0006815632805228233 | Resolution type = None
Job 79: Waiting time = 8.583279687911272 | Resolution time = 0.0005953842774033546 | Resolution type = None
Job 80: Waiting time = 8.351729850750417 | Resolution time = 0.0005937498062849045 | Resolution type = None
Job 81: Waiting time = 8.165920581202954 | Resolution time = 0.0006249742582440376 | Resolution type = None
Job 82: Waiting time = 7.97324380883947 | Resolution time = 0.000714707188308239 | Resolution type = None
Job 83: Waiting time = 7.7724076779559255 | Resolution time = 0.0007545039989054203 | Resolution type = None
Job 84: Waiting time = 7.5777876996435225 | Resolution time = 0.0006604082882404327 | Resolution type = None
Job 85: Waiting time = 7.351053084246814 | Resolution time = 0.0006067361682653427 | Resolution type = None
Job 86: Waiting time = 7.1505442024208605 | Resolution time = 0.0006179497577250004 | Resolution type = None
Job 87: Waiting time = 6.922416561283171 | Resolution time = 0.0006448877975344658 | Resolution type = None
Job 88: Waiting time = 6.707139282952994 | Resolution time = 0.0006517460569739342 | Resolution type = None
Job 89: Waiting time = 6.514013587962836 | Resolution time = 0.0006408002227544785 | Resolution type = None
Job 90: Waiting time = 6.3012006832286716 | Resolution time = 0.0006475076079368591 | Resolution type = None
Job 91: Waiting time = 6.090898402966559 | Resolution time = 0.000612268690019846 | Resolution type = None
Job 92: Waiting time = 5.885361713822931 | Resolution time = 0.0005884929560124874 | Resolution type = None
Job 93: Waiting time = 5.692279940005392 | Resolution time = 0.0006001549772918224 | Resolution type = None
Job 94: Waiting time = 5.480268510058522 | Resolution time = 0.000612395815551281 | Resolution type = None
Job 95: Waiting time = 5.268052738625556 | Resolution time = 0.000669349916279316 | Resolution type = None
Job 96: Waiting time = 5.055965553969145 | Resolution time = 0.000692443922162056 | Resolution type = None
Job 97: Waiting time = 4.8667624313384295 | Resolution time = 0.0005969498306512833 | Resolution type = None
Job 98: Waiting time = 4.67079343367368 | Resolution time = 0.0006031845696270466 | Resolution type = None
Job 99: Waiting time = 4.479081471916288 | Resolution time = 0.0006005289033055305 | Resolution type = None
Job 100: Waiting time = 4.271428168751299 | Resolution time = 0.0006227181293070316 | Resolution type = None
Job 101: Waiting time = 4.0820282911881804 | Resolution time = 0.0006941710598766804 | Resolution type = None
Job 102: Waiting time = 3.8592967921867967 | Resolution time = 0.0006648958660662174 | Resolution type = None
Job 103: Waiting time = 3.6644252468831837 | Resolution time = 0.0006447969935834408 | Resolution type = None
Job 104: Waiting time = 3.48012750223279 | Resolution time = 0.0006179437041282654 | Resolution type = None
Job 105: Waiting time = 3.256688242778182 | Resolution time = 0.000572436023503542 | Resolution type = None
Job 106: Waiting time = 3.059254136867821 | Resolution time = 0.0006361668929457664 | Resolution type = None
Job 107: Waiting time = 2.8541124179027975 | Resolution time = 0.0006439429707825184 | Resolution type = None
Job 108: Waiting time = 2.6443494521081448 | Resolution time = 0.0006280769594013691 | Resolution type = None
Job 109: Waiting time = 2.419613355305046 | Resolution time = 0.0006650839932262897 | Resolution type = None
Job 110: Waiting time = 2.2341314628720284 | Resolution time = 0.0006006425246596336 | Resolution type = None
Job 111: Waiting time = 2.0407205559313297 | Resolution time = 0.000627424567937851 | Resolution type = None
Job 112: Waiting time = 1.852146944962442 | Resolution time = 0.000680259894579649 | Resolution type = None
Job 113: Waiting time = 1.6463417201302946 | Resolution time = 0.0007527689449489117 | Resolution type = None
Job 114: Waiting time = 1.4440808449871838 | Resolution time = 0.0006342828273773193 | Resolution type = None
Job 115: Waiting time = 1.2505376902408898 | Resolution time = 0.0006582280620932579 | Resolution type = None
Job 116: Waiting time = 1.0725230569951236 | Resolution time = 0.0006742076948285103 | Resolution type = None
Job 117: Waiting time = 0.8829585989005864 | Resolution time = 0.0006339643150568008 | Resolution type = None
Job 118: Waiting time = 0.684110667090863 | Resolution time = 0.0007746708579361439 | Resolution type = None
Job 119: Waiting time = 0.4949393132701516 | Resolution time = 0.0006866902112960815 | Resolution type = None
Job 120: Waiting time = 0.29253037413582206 | Resolution time = 0.0006561996415257454 | Resolution type = None
Job 121: Waiting time = 0.12078429432585835 | Resolution time = 0.0006493013352155685 | Resolution type = None
Job 122: Waiting time = 0.0007788878865540028 | Resolution time = 0.0007659178227186203 | Resolution type = None
Job 123: Waiting time = 0.0008156639523804188 | Resolution time = 0.0008011828176677227 | Resolution type = None
Job 124: Waiting time = 0.0007369299419224262 | Resolution time = 0.0007226080633699894 | Resolution type = None
Job 125: Waiting time = 0.0007882891222834587 | Resolution time = 0.0007732231169939041 | Resolution type = None
Job 126: Waiting time = 0.0007982221432030201 | Resolution time = 0.000783371739089489 | Resolution type = None
Job 127: Waiting time = 0.0007778690196573734 | Resolution time = 0.0007635578513145447 | Resolution type = None
Job 128: Waiting time = 0.0008298452012240887 | Resolution time = 0.0008154832758009434 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 26.05816625105217
Duration: 11.330261467024684
Jobs in the system: 55
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 11.11762762768194 | Resolution time = 0.000843594316393137 | Resolution type = None
Job 130: Waiting time = 10.910534675698727 | Resolution time = 0.0006114756688475609 | Resolution type = None
Job 131: Waiting time = 10.70967765385285 | Resolution time = 0.0005755494348704815 | Resolution type = None
