Start time: 1.0729701383970678
Duration: 12.932125605642796
Jobs in the system: 753
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 12.933423856738955 | Resolution time = 0.001658557914197445 | Resolution type = None
Job 66: Waiting time = 12.92128153797239 | Resolution time = 0.0008057300001382828 | Resolution type = None
Job 67: Waiting time = 12.912328240927309 | Resolution time = 0.0007884874939918518 | Resolution type = None
Job 68: Waiting time = 12.90435861889273 | Resolution time = 0.0007182974368333817 | Resolution type = None
Job 69: Waiting time = 12.891271099913865 | Resolution time = 0.0006952169351279736 | Resolution type = None
Job 70: Waiting time = 12.872384781949222 | Resolution time = 0.0007038731127977371 | Resolution type = None
Job 71: Waiting time = 12.860674230847508 | Resolution time = 0.0008387500420212746 | Resolution type = None
Job 72: Waiting time = 12.841844737064093 | Resolution time = 0.001393158920109272 | Resolution type = None
Job 73: Waiting time = 12.830568086821586 | Resolution time = 0.0011895881034433842 | Resolution type = None
Job 74: Waiting time = 12.807795734144747 | Resolution time = 0.0007623312994837761 | Resolution type = None
Job 75: Waiting time = 12.798879751935601 | Resolution time = 0.0007200292311608791 | Resolution type = None
Job 76: Waiting time = 12.784509568009526 | Resolution time = 0.0006832946091890335 | Resolution type = None
Job 77: Waiting time = 12.775170307140797 | Resolution time = 0.0007047001272439957 | Resolution type = None
Job 78: Waiting time = 12.75600184313953 | Resolution time = 0.0006870990619063377 | Resolution type = None
Job 79: Waiting time = 12.741449177730829 | Resolution time = 0.0007514432072639465 | Resolution type = None
Job 80: Waiting time = 12.723629023879766 | Resolution time = 0.0008042920380830765 | Resolution type = None
Job 81: Waiting time = 12.704329053871334 | Resolution time = 0.0008937199600040913 | Resolution type = None
Job 82: Waiting time = 12.67780935484916 | Resolution time = 0.0007261838763952255 | Resolution type = None
Job 83: Waiting time = 12.666333395056427 | Resolution time = 0.0007186662405729294 | Resolution type = None
Job 84: Waiting time = 12.646987898740917 | Resolution time = 0.000696081668138504 | Resolution type = None
Job 85: Waiting time = 12.629987915046513 | Resolution time = 0.0006917561404407024 | Resolution type = None
Job 86: Waiting time = 12.615159014239907 | Resolution time = 0.0007182112894952297 | Resolution type = None
Job 87: Waiting time = 12.604296915233135 | Resolution time = 0.0007475940510630608 | Resolution type = None
Job 88: Waiting time = 12.58433619234711 | Resolution time = 0.0007615913636982441 | Resolution type = None
Job 89: Waiting time = 12.57127238996327 | Resolution time = 5.535781383514404e-06 | Resolution type = Policy
Job 90: Waiting time = 12.55481898970902 | Resolution time = 0.0007455255836248398 | Resolution type = None
Job 91: Waiting time = 12.537719593849033 | Resolution time = 0.0015120930038392544 | Resolution type = None
Job 92: Waiting time = 12.523808148689568 | Resolution time = 0.0011823596432805061 | Resolution type = None
Job 93: Waiting time = 12.506280974019319 | Resolution time = 0.0007765498012304306 | Resolution type = None
Job 94: Waiting time = 12.486455394886434 | Resolution time = 0.000715118832886219 | Resolution type = None
Job 95: Waiting time = 12.474191972985864 | Resolution time = 0.0006761979311704636 | Resolution type = None
Job 96: Waiting time = 12.46050848485902 | Resolution time = 0.0007136836647987366 | Resolution type = None
Job 97: Waiting time = 12.447409674990922 | Resolution time = 0.000694317277520895 | Resolution type = None
Job 98: Waiting time = 12.429515101015568 | Resolution time = 0.0006984639912843704 | Resolution type = None
Job 99: Waiting time = 12.412961321882904 | Resolution time = 0.0007528848946094513 | Resolution type = None
Job 100: Waiting time = 12.39659493835643 | Resolution time = 0.000744272954761982 | Resolution type = None
Job 101: Waiting time = 12.384556110017002 | Resolution time = 0.0007325951009988785 | Resolution type = None
Job 102: Waiting time = 12.357007823884487 | Resolution time = 0.0007532080635428429 | Resolution type = None
Job 103: Waiting time = 12.336890247650445 | Resolution time = 0.0009433059021830559 | Resolution type = None
Job 104: Waiting time = 12.328647391870618 | Resolution time = 0.0014233370311558247 | Resolution type = None
Job 105: Waiting time = 12.316098732873797 | Resolution time = 0.0010675033554434776 | Resolution type = None
Job 106: Waiting time = 12.30056771170348 | Resolution time = 0.0008149566128849983 | Resolution type = None
Job 107: Waiting time = 12.290448971092701 | Resolution time = 0.0006972597911953926 | Resolution type = None
Job 108: Waiting time = 12.271697338670492 | Resolution time = 0.0007489542476832867 | Resolution type = None
Job 109: Waiting time = 12.251234599389136 | Resolution time = 0.0006995978765189648 | Resolution type = None
Job 110: Waiting time = 12.227574992924929 | Resolution time = 0.0007825391367077827 | Resolution type = None
Job 111: Waiting time = 12.213648864999413 | Resolution time = 0.0007538567297160625 | Resolution type = None
Job 112: Waiting time = 12.205499626230448 | Resolution time = 0.0008432939648628235 | Resolution type = None
Job 113: Waiting time = 12.187345412094146 | Resolution time = 0.0007224702276289463 | Resolution type = None
Job 114: Waiting time = 12.162338555790484 | Resolution time = 0.0007109311409294605 | Resolution type = None
Job 115: Waiting time = 12.148700112011284 | Resolution time = 0.0007723364979028702 | Resolution type = None
Job 116: Waiting time = 12.138346326071769 | Resolution time = 0.0006811716593801975 | Resolution type = None
Job 117: Waiting time = 12.123134371824563 | Resolution time = 0.0007447423413395882 | Resolution type = None
Job 118: Waiting time = 12.111124778166413 | Resolution time = 0.0007223542779684067 | Resolution type = None
Job 119: Waiting time = 12.089628017973155 | Resolution time = 0.0008940864354372025 | Resolution type = None
Job 120: Waiting time = 12.075489083770663 | Resolution time = 0.0015071248635649681 | Resolution type = None
Job 121: Waiting time = 12.05588927026838 | Resolution time = 0.0011745649389922619 | Resolution type = None
Job 122: Waiting time = 12.041946143377572 | Resolution time = 0.0007272921502590179 | Resolution type = None
Job 123: Waiting time = 12.030894115101546 | Resolution time = 0.0007045059464871883 | Resolution type = None
Job 124: Waiting time = 12.019618913065642 | Resolution time = 0.000720401294529438 | Resolution type = None
Job 125: Waiting time = 12.00114331394434 | Resolution time = 0.0006891381926834583 | Resolution type = None
Job 126: Waiting time = 11.989543994888663 | Resolution time = 0.0007522753439843655 | Resolution type = None
Job 127: Waiting time = 11.977090432774276 | Resolution time = 0.0007061655633151531 | Resolution type = None
Job 128: Waiting time = 11.964021290186793 | Resolution time = 0.0007524299435317516 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 14.058224877342582
Duration: 12.051290200091898
Jobs in the system: 1391
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 24.001865413971245 | Resolution time = 0.0009359209798276424 | Resolution type = None
Job 130: Waiting time = 23.9763589752838 | Resolution time = 0.0006959633901715279 | Resolution type = None
Job 131: Waiting time = 23.962868474889547 | Resolution time = 0.0007040747441351414 | Resolution type = None
Job 132: Waiting time = 23.956992720719427 | Resolution time = 0.0012603080831468105 | Resolution type = None
Job 133: Waiting time = 23.941365082282573 | Resolution time = 0.001205288339406252 | Resolution type = None
Job 134: Waiting time = 23.92625246476382 | Resolution time = 0.0008402564562857151 | Resolution type = None
Job 135: Waiting time = 23.905139530077577 | Resolution time = 0.0007323329336941242 | Resolution type = None
