Job 64: Waiting time = 0.00010700710117816925 | Resolution time = 9.348103776574135e-05 | Resolution type = Policy

----- VACATION Started -----
Start time: 0.9513081558980048
Duration: 11.742121343966573
Jobs in the system: 710
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 11.738637649919838 | Resolution time = 0.0008807913400232792 | Resolution type = None
Job 66: Waiting time = 11.72464544326067 | Resolution time = 0.00010646739974617958 | Resolution type = None
Job 67: Waiting time = 11.711702560074627 | Resolution time = 0.00010789511725306511 | Resolution type = None
Job 68: Waiting time = 11.69899186398834 | Resolution time = 0.00010973028838634491 | Resolution type = None
Job 69: Waiting time = 11.684683743864298 | Resolution time = 0.00010933401063084602 | Resolution type = None
Job 70: Waiting time = 11.667650550138205 | Resolution time = 0.00010695122182369232 | Resolution type = None
Job 71: Waiting time = 11.654809416271746 | Resolution time = 0.00010402686893939972 | Resolution type = None
Job 72: Waiting time = 11.632897156756371 | Resolution time = 0.00010841619223356247 | Resolution type = None
Job 73: Waiting time = 11.616322015877813 | Resolution time = 0.00020263297483325005 | Resolution type = None
Job 74: Waiting time = 11.596747423056513 | Resolution time = 0.00018699653446674347 | Resolution type = None
Job 75: Waiting time = 11.581720530986786 | Resolution time = 0.0002147066406905651 | Resolution type = None
Job 76: Waiting time = 11.56081448495388 | Resolution time = 0.00021305913105607033 | Resolution type = None
Job 77: Waiting time = 11.542044190689921 | Resolution time = 0.00025573838502168655 | Resolution type = None
Job 78: Waiting time = 11.527566618286073 | Resolution time = 0.00020088395103812218 | Resolution type = None
Job 79: Waiting time = 11.512684681918472 | Resolution time = 0.00015738559886813164 | Resolution type = None
Job 80: Waiting time = 11.494110492989421 | Resolution time = 0.00012296438217163086 | Resolution type = None
Job 81: Waiting time = 11.4790820912458 | Resolution time = 0.00013192137703299522 | Resolution type = None
Job 82: Waiting time = 11.4618561998941 | Resolution time = 0.00011947331950068474 | Resolution type = None
Job 83: Waiting time = 11.452212374191731 | Resolution time = 0.00010745692998170853 | Resolution type = None
Job 84: Waiting time = 11.437192304991186 | Resolution time = 0.00012513203546404839 | Resolution type = None
Job 85: Waiting time = 11.42346412409097 | Resolution time = 0.00010542292147874832 | Resolution type = None
Job 86: Waiting time = 11.406688706949353 | Resolution time = 0.00010310811921954155 | Resolution type = None
Job 87: Waiting time = 11.39515116205439 | Resolution time = 0.0001033819280564785 | Resolution type = None
Job 88: Waiting time = 11.380806965753436 | Resolution time = 0.00010535772889852524 | Resolution type = None
Job 89: Waiting time = 11.37170856865123 | Resolution time = 0.00010593049228191376 | Resolution type = None
Job 90: Waiting time = 11.356338664889336 | Resolution time = 0.00010615726932883263 | Resolution type = None
Job 91: Waiting time = 11.337385162245482 | Resolution time = 0.00010666018351912498 | Resolution type = None
Job 92: Waiting time = 11.316380157135427 | Resolution time = 0.00010287342593073845 | Resolution type = None
Job 93: Waiting time = 11.30430075712502 | Resolution time = 0.00011154264211654663 | Resolution type = None
Job 94: Waiting time = 11.281566025223583 | Resolution time = 0.00010310579091310501 | Resolution type = None
Job 95: Waiting time = 11.25955956010148 | Resolution time = 0.00010535772889852524 | Resolution type = None
Job 96: Waiting time = 11.237350089941174 | Resolution time = 0.00010703178122639656 | Resolution type = None
Job 97: Waiting time = 11.228114131838083 | Resolution time = 0.00010239565744996071 | Resolution type = None
Job 98: Waiting time = 11.21705558290705 | Resolution time = 0.00010302290320396423 | Resolution type = None
Job 99: Waiting time = 11.207293605897576 | Resolution time = 0.00010388391092419624 | Resolution type = None
Job 100: Waiting time = 11.189141088631004 | Resolution time = 0.00010676542297005653 | Resolution type = None
Job 101: Waiting time = 11.170479489956051 | Resolution time = 0.0001150127500295639 | Resolution type = None
Job 102: Waiting time = 11.154102007858455 | Resolution time = 0.00010296236723661423 | Resolution type = None
Job 103: Waiting time = 11.139264240860939 | Resolution time = 0.00010263267904520035 | Resolution type = None
Job 104: Waiting time = 11.127296561840922 | Resolution time = 0.00010658055543899536 | Resolution type = None
Job 105: Waiting time = 11.115824163891375 | Resolution time = 0.0001052292063832283 | Resolution type = None
Job 106: Waiting time = 11.101769032888114 | Resolution time = 0.00011347280815243721 | Resolution type = None
Job 107: Waiting time = 11.087782359682024 | Resolution time = 0.00012500490993261337 | Resolution type = None
Job 108: Waiting time = 11.071845150087029 | Resolution time = 0.00012033479288220406 | Resolution type = None
Job 109: Waiting time = 11.059003205038607 | Resolution time = 0.0001175999641418457 | Resolution type = None
Job 110: Waiting time = 11.043261471670121 | Resolution time = 0.00013524293899536133 | Resolution type = None
Job 111: Waiting time = 11.034230202902108 | Resolution time = 0.00011619599536061287 | Resolution type = None
Job 112: Waiting time = 11.012253025081009 | Resolution time = 0.0001201084814965725 | Resolution type = None
Job 113: Waiting time = 11.000155238900334 | Resolution time = 0.00012038648128509521 | Resolution type = None
Job 114: Waiting time = 10.990363649092615 | Resolution time = 0.00011806190013885498 | Resolution type = None
Job 115: Waiting time = 10.971406158991158 | Resolution time = 0.00012146309018135071 | Resolution type = None
Job 116: Waiting time = 10.959567190147936 | Resolution time = 0.00014168908819556236 | Resolution type = None
Job 117: Waiting time = 10.931806943845004 | Resolution time = 0.00010937638580799103 | Resolution type = None
Job 118: Waiting time = 10.902382834814489 | Resolution time = 0.00011350307613611221 | Resolution type = None
